method,motion_count_expected,evaluated_count,missing_count,kinematic_success_count,kinematic_failure_count,kinematic_success_rate,mean_kinematic_success,median_kinematic_success,mean_similarity_available,median_similarity_available,mean_root_relative_keypoint_error_mm,median_root_relative_keypoint_error_mm,mean_bone_direction_error_deg,median_bone_direction_error_deg,mean_end_effector_relative_error_mm,median_end_effector_relative_error_mm,mean_normalized_root_trajectory_error,median_normalized_root_trajectory_error,mean_root_velocity_direction_error_deg,median_root_velocity_direction_error_deg,mean_root_speed_profile_error,median_root_speed_profile_error,mean_root_yaw_change_error_deg,median_root_yaw_change_error_deg,mean_motion_duration_error_s,median_motion_duration_error_s,mean_foot_contact_timing_mismatch_ratio,median_foot_contact_timing_mismatch_ratio,mean_keypoint_velocity_peak_timing_error_s,median_keypoint_velocity_peak_timing_error_s,mean_qpos_valid,median_qpos_valid,mean_joint_limit_violation_frames,median_joint_limit_violation_frames,mean_joint_limit_violation_ratio,median_joint_limit_violation_ratio,mean_max_joint_limit_violation_rad,median_max_joint_limit_violation_rad,mean_foot_skating_frames,median_foot_skating_frames,mean_foot_skating_distance_m,median_foot_skating_distance_m,mean_foot_skating_mean_velocity_mps,median_foot_skating_mean_velocity_mps,mean_foot_penetration_max_m,median_foot_penetration_max_m,mean_foot_penetration_mean_m,median_foot_penetration_mean_m,mean_self_collision_frames,median_self_collision_frames,mean_self_collision_ratio,median_self_collision_ratio,mean_base_height_mean_m,median_base_height_mean_m,mean_base_height_std_m,median_base_height_std_m,mean_base_roll_std_deg,median_base_roll_std_deg,mean_base_pitch_std_deg,median_base_pitch_std_deg,mean_fall_frames,median_fall_frames,mean_mean_joint_velocity_rad_s,median_mean_joint_velocity_rad_s,mean_mean_joint_acceleration_rad_s2,median_mean_joint_acceleration_rad_s2,mean_mean_joint_jerk_rad_s3,median_mean_joint_jerk_rad_s3,mean_max_joint_jerk_rad_s3,median_max_joint_jerk_rad_s3
Direct Mapping,9,9,0,0,9,0.0,0.0,0.0,1.0,1.0,306.9387357967517,301.9874043630954,62.17455647574421,61.30638635642605,361.81048565525373,347.64720924096156,0.009519605834162077,0.0087635560095024,2.226844768110558e-07,2.2679428371723987e-07,0.026165149141348536,0.030789334150634333,3.025060897036411e-13,1.0177774980683254e-13,0.0,0.0,0.3825201921498766,0.42786069651741293,2.2259259259259263,0.7333333333333333,1.0,1.0,139.11111111111111,60.0,0.4979040827674505,0.5074626865671642,0.31829385745670913,0.34155474590285473,224.11111111111111,84.0,10.130842660717756,2.470086949655132,1.7454676430118092,1.5584752432050974,0.07328881811369081,0.046369730103929856,0.007692857957734651,0.004569889902591483,245.77777777777777,108.0,0.7187131987918556,0.8166804293971924,0.7882810113254997,0.7870775708684831,0.04303366782455747,0.036863997049344635,4.2720282041129805,2.3324990430782977,3.8316007498079148,2.5589766905628903,0.0,0.0,0.554991637102796,0.4701046799631126,11.816813743347483,10.786854311836285,522.2600997401854,508.7110578380258,20828.915193981287,15036.759581466893
Basic IK,9,9,0,0,9,0.0,0.0,0.0,1.0,1.0,249.05860237889763,203.52673034136632,48.87271786552603,43.59781601491349,241.10606805131368,178.43527523231486,0.16195738956199668,0.1093177517393502,38.12765041896477,4.675569643415358,0.291511306657281,0.25246087040382525,49.265192336565526,38.550366554800554,0.014814814814815428,0.0,0.1134247919568959,0.12162162162162163,1.6229629629629627,0.32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,72.0,7.8083059177624214,3.1576142246083214,1.0758428458291869,0.9507244092812621,0.09379592578439344,0.09447097513505484,0.021986080868489393,0.018948993015734723,112.33333333333333,54.0,0.5081008063639829,0.5096153846153846,0.730617145722544,0.7368034382554323,0.03187681136205646,0.024426493072498685,4.387619283286155,3.194308274905347,8.540959816748407,7.690125319937291,0.0,0.0,0.3969413647237992,0.359987782485468,4.549095175845208,3.71374715556533,145.39880708654178,139.86425371407572,7099.965961067534,5165.163251529917
GMR,9,9,0,4,5,0.4444444444444444,0.4444444444444444,0.0,1.0,1.0,170.2133785384939,172.36872727939505,36.68714814802,36.7379859854289,138.9098137533255,138.2801372585424,0.051161964428083295,0.05168821598765638,8.186952865940006,2.6068956157334875,0.18103581939512275,0.16260638344378028,6.725402213906626,2.47720771917687,0.033333333333333735,0.033333333333333215,0.16137736223296456,0.18099173553719008,0.6303703703703705,0.09333333333333334,1.0,1.0,0.0,0.0,0.0,0.0,1.2335811384723961e-17,0.0,149.11111111111111,108.0,4.468550436296769,4.892102339577457,0.9826439371094133,0.8681810913818893,0.05711363812528531,0.04024058788929558,0.020467293872107318,0.016023366093015835,20.0,12.0,0.07440242995583818,0.0945945945945946,0.7390877368279115,0.7306113969610691,0.034647200797233046,0.02745303822015046,2.590517655090934,2.4111892529566323,4.887622052194201,3.5321504772614523,0.0,0.0,0.9534932658815648,0.7772671521753878,17.976644171957034,14.820520229672086,676.8672884085942,600.4425174988143,19751.08468912513,17343.347928419567
