method,frames,sample_violation_ratio_percent_tol0,max_excess_deg,median_positive_excess_deg,p95_positive_excess_deg,frame_ratio_percent_gt_0p0deg,frame_ratio_percent_gt_0p01deg,frame_ratio_percent_gt_0p1deg,frame_ratio_percent_gt_0p5deg,frame_ratio_percent_gt_1p0deg,frame_ratio_percent_gt_5p0deg
Direct Mapping,320.44444444444446,2.3688592164595175,26.402786814693386,8.239835564586222,21.160335730331873,44.71813229308593,44.71813229308593,44.441018767291986,43.15197443829601,40.87859032766908,31.585945767075216
Basic IK,320.44444444444446,19.39813102693849,599.2495966003275,66.9398853770312,336.8310403008366,100.0,100.0,100.0,100.0,100.0,100.0
GMR,318.77777777777777,0.007147916010249333,1.766974823035287e-15,1.4135798584282298e-15,1.731635326574581e-15,0.20728956429723067,0.0,0.0,0.0,0.0,0.0
