motion,method,penetration_frame_ratio_percent_gt_0mm,penetration_frame_ratio_percent_gt_5mm,maximum_ground_penetration_cm,current_contact_sample_ratio_percent,valid_contact_sample_ratio_percent,deep_penetration_counted_as_contact_percent,actual_floor_contact_frame_ratio_percent,current_sliding_total_cm,current_sliding_cm_s,valid_contact_sliding_total_cm,valid_contact_sliding_cm_s,strict_2cm_sliding_total_cm,strict_2cm_sliding_cm_s,mujoco_floor_contact_sliding_total_cm,mujoco_floor_contact_sliding_cm_s
05_04,Direct Mapping,56.00000000000001,55.00000000000001,6.248313145010003,60.83333333333333,35.333333333333336,25.5,56.00000000000001,145.91116029416673,14.639915748578602,84.16566876414048,8.444715929512423,66.7530843897372,6.697633885257913,71.79755958544206,7.203768520278468
111_23,Direct Mapping,48.76325088339223,41.69611307420495,4.862603743290161,53.18021201413428,39.75265017667844,13.427561837455832,48.76325088339223,583.7933312246628,62.10567353453859,366.4946868100349,38.988796469152646,156.5693740073837,16.65631638376422,225.5605380904731,23.995801924518414
113_20,Direct Mapping,22.92817679558011,9.668508287292818,2.4904778758625565,32.87292817679558,29.41988950276243,3.4530386740331496,22.92817679558011,516.7254803228536,42.94117565009864,417.71155304405386,34.7128714441042,286.1365000257179,23.778656511832512,148.80641944914896,12.366184441757532
113_21,Direct Mapping,99.12280701754386,97.36842105263158,2.9529155743662128,100.0,38.30409356725146,61.69590643274854,99.12280701754386,370.07993981073935,32.55835247601812,159.3074932721567,14.015321988752788,126.88492863009186,11.162896946928903,249.95477159896086,21.990155859146117
114_15,Direct Mapping,22.832369942196532,15.606936416184972,3.1523883371601538,36.84971098265896,31.9364161849711,4.913294797687861,22.832369942196532,575.0931042492134,50.00809602167073,472.1005112359052,41.05221836833958,131.81344941204514,11.462039079308273,97.27671277401821,8.45884458904506
124_11,Direct Mapping,56.39999999999999,49.2,8.77856033190536,62.6,36.199999999999996,26.400000000000002,56.39999999999999,33.70054897271897,4.0603071051468635,17.321979127909742,2.086985437097559,15.1675397688351,1.8274144299801325,18.41798928539302,2.2190348536618094
135_04,Direct Mapping,67.17325227963525,35.56231003039514,12.142428314908802,78.26747720364742,51.21580547112462,27.0516717325228,67.17325227963525,252.5071474429565,23.095165924660655,156.73109325131782,14.335160968108337,86.76735574033934,7.936038634787135,133.1797511361624,12.181074799039243
47_01,Direct Mapping,14.242424242424242,12.727272727272727,4.848629389390993,8.787878787878787,6.666666666666667,2.1212121212121215,14.242424242424242,92.27690658947942,8.414307591745844,75.63336514915603,6.896659436093255,19.21851365893965,1.752448054006655,17.51157959573465,1.5968005710396336
76_10,Direct Mapping,99.12280701754386,65.49707602339181,4.065753785070001,100.0,66.52046783625731,33.47953216374269,99.12280701754386,238.21171775871179,20.957042618068485,151.7669609618042,13.351932049425589,151.7669609618042,13.351932049425589,153.53085768687657,13.507113579490607
05_04,Basic IK,100.0,99.66666666666667,6.100505898611839,74.66666666666667,26.333333333333332,48.333333333333336,100.0,193.32718367307297,19.39737628826819,97.77610679617419,9.810311718679685,48.11076177947378,4.827166733726466,104.64454370325733,10.499452545477324
111_23,Basic IK,100.0,98.58657243816255,7.393590017144229,73.85159010600707,7.243816254416961,66.6077738515901,100.0,566.6017883718944,60.27678599701004,94.56751582180196,10.060374023595953,41.31296110462742,4.394995862194406,481.21359910822787,51.19293607534339
113_20,Basic IK,70.44198895027624,69.88950276243095,10.944975432074438,59.806629834254146,12.98342541436464,46.8232044198895,70.44198895027624,361.1915885373307,30.015921485096733,75.93338572179687,6.310253661091153,21.185687965171084,1.7605834874103394,285.2582028155338,23.70566782400558
113_21,Basic IK,100.0,100.0,11.551524283460058,98.83040935672514,0.0,98.83040935672514,100.0,91.88090500139768,8.083364076369296,0.0,0.0,0.0,0.0,91.88090500139768,8.083364076369296
114_15,Basic IK,99.42196531791907,96.82080924855492,5.436644936732755,56.5028901734104,10.54913294797688,45.95375722543353,99.42196531791907,274.88126928768816,23.902719068494623,57.58938841993378,5.007772906081199,24.27207348429534,2.1106150855908994,221.1558862228423,19.230946628073244
124_11,Basic IK,82.8,79.2,7.286188244353697,65.8,15.6,50.2,82.8,53.69929834749946,6.46979498162644,12.534963622788284,1.5102365810588294,10.676067483159176,1.2862731907420693,46.809796372448034,5.639734502704582
135_04,Basic IK,59.27051671732523,49.544072948328264,2.934443145586435,76.13981762917933,51.671732522796354,24.46808510638298,59.27051671732523,128.51323713278617,11.754259493852393,91.30166460185504,8.350762006267228,31.590753290077423,2.889398166775374,43.12689302785119,3.944532898888828
47_01,Basic IK,94.24242424242424,93.33333333333333,7.21327756963522,58.03030303030303,9.848484848484848,48.18181818181818,94.24242424242424,366.0616876658515,33.379485197494056,157.22348398070983,14.33648790097658,49.08497015048206,4.475833144420856,208.83820368514162,19.042997296517473
76_10,Basic IK,81.28654970760235,43.567251461988306,2.174012111170758,95.17543859649122,73.53801169590643,21.637426900584796,81.28654970760235,109.74938171848984,9.655370825673593,87.44592678556597,7.693190039785862,79.52500219784709,6.996334504209421,40.74355944997936,3.5844773709659257
05_04,GMR,99.66442953020133,99.32885906040269,6.0065680932525,73.3221476510067,24.161073825503358,49.16107382550335,99.66442953020133,129.41170017123392,13.039181928104714,56.92826316736096,5.735941798987684,14.579644220022491,1.4690065363515807,72.79604782755553,7.334737972026892
