metric,comparison,valid_pair_count,statistic,raw_p_value,corrected_p_value,significant,effect_size,effect_size_interpretation
global_body_position_error_median,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_median,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_std,Friedman: all methods,9,9.555555555555543,0.008414677489201218,0.008414677489201218,True,0.5308641975308634,large
global_body_position_error_std,direct_mapping vs basic_ik,9,9.0,0.12890625,0.12890625,False,0.6,large
global_body_position_error_std,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_std,basic_ik vs gmr,9,5.0,0.0390625,0.078125,False,0.7777777777777778,large
global_body_position_error_max,Friedman: all methods,9,18.0,0.00012340980408667962,0.00012340980408667962,True,1.0,large
global_body_position_error_max,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_max,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_p95,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
global_body_position_error_p95,direct_mapping vs basic_ik,9,1.0,0.0078125,0.01171875,True,0.9555555555555556,large
global_body_position_error_p95,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
global_body_position_error_p95,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
root_relative_position_error_median,Friedman: all methods,9,3.555555555555543,0.16901331540606715,0.16901331540606715,False,0.19753086419753016,small
root_relative_position_error_median,direct_mapping vs basic_ik,9,11.0,0.203125,0.203125,False,0.5111111111111111,large
root_relative_position_error_median,direct_mapping vs gmr,9,8.0,0.09765625,0.1953125,False,0.6444444444444445,large
root_relative_position_error_median,basic_ik vs gmr,9,6.0,0.0546875,0.1640625,False,0.7333333333333333,large
root_relative_position_error_std,Friedman: all methods,9,6.222222222222214,0.04455142624448988,0.04455142624448988,True,0.34567901234567855,medium
root_relative_position_error_std,direct_mapping vs basic_ik,9,9.0,0.12890625,0.12890625,False,0.6,large
root_relative_position_error_std,direct_mapping vs gmr,9,6.0,0.0546875,0.109375,False,0.7333333333333333,large
root_relative_position_error_std,basic_ik vs gmr,9,2.0,0.01171875,0.03515625,True,0.9111111111111111,large
root_relative_position_error_max,Friedman: all methods,9,3.555555555555543,0.16901331540606715,0.16901331540606715,False,0.19753086419753016,small
root_relative_position_error_max,direct_mapping vs basic_ik,9,9.0,0.12890625,0.12890625,False,0.6,large
root_relative_position_error_max,direct_mapping vs gmr,9,5.0,0.0390625,0.1171875,False,0.7777777777777778,large
root_relative_position_error_max,basic_ik vs gmr,9,6.0,0.0546875,0.1171875,False,0.7333333333333333,large
root_relative_position_error_p95,Friedman: all methods,9,1.555555555555543,0.4594258240359297,0.4594258240359297,False,0.08641975308641905,negligible
root_relative_position_error_p95,direct_mapping vs basic_ik,9,12.0,0.25,0.328125,False,0.4666666666666667,medium
root_relative_position_error_p95,direct_mapping vs gmr,9,10.0,0.1640625,0.328125,False,0.5555555555555556,large
root_relative_position_error_p95,basic_ik vs gmr,9,3.0,0.01953125,0.05859375,False,0.8666666666666667,large
scale_normalised_position_error_median,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
scale_normalised_position_error_median,direct_mapping vs basic_ik,9,3.0,0.01953125,0.0390625,True,0.8666666666666667,large
scale_normalised_position_error_median,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
scale_normalised_position_error_median,basic_ik vs gmr,9,16.0,0.49609375,0.49609375,False,0.28888888888888886,small
scale_normalised_position_error_std,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
scale_normalised_position_error_std,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
scale_normalised_position_error_std,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
scale_normalised_position_error_std,basic_ik vs gmr,9,16.0,0.49609375,0.49609375,False,0.28888888888888886,small
scale_normalised_position_error_max,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
scale_normalised_position_error_max,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
scale_normalised_position_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
scale_normalised_position_error_max,basic_ik vs gmr,9,19.0,0.734375,0.734375,False,0.15555555555555556,small
scale_normalised_position_error_p95,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
scale_normalised_position_error_p95,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
scale_normalised_position_error_p95,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
scale_normalised_position_error_p95,basic_ik vs gmr,9,16.0,0.49609375,0.49609375,False,0.28888888888888886,small
end_effector_error_median,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
end_effector_error_median,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_median,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_median,basic_ik vs gmr,9,18.0,0.65234375,0.65234375,False,0.2,small
end_effector_error_std,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
end_effector_error_std,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_std,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_std,basic_ik vs gmr,9,16.0,0.49609375,0.49609375,False,0.28888888888888886,small
end_effector_error_max,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
end_effector_error_max,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
end_effector_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_max,basic_ik vs gmr,9,19.0,0.734375,0.734375,False,0.15555555555555556,small
end_effector_error_p95,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
end_effector_error_p95,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_p95,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
end_effector_error_p95,basic_ik vs gmr,9,17.0,0.5703125,0.5703125,False,0.24444444444444444,small
left_foot_end_effector_error_mean,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
left_foot_end_effector_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
left_foot_end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
left_foot_end_effector_error_mean,basic_ik vs gmr,9,14.0,0.359375,0.359375,False,0.37777777777777777,medium
left_foot_end_effector_error_max,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
left_foot_end_effector_error_max,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
left_foot_end_effector_error_max,direct_mapping vs gmr,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
left_foot_end_effector_error_max,basic_ik vs gmr,9,18.0,0.65234375,0.65234375,False,0.2,small
right_foot_end_effector_error_mean,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
right_foot_end_effector_error_mean,direct_mapping vs basic_ik,9,4.0,0.02734375,0.0546875,False,0.8222222222222222,large
right_foot_end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
right_foot_end_effector_error_mean,basic_ik vs gmr,9,15.0,0.42578125,0.42578125,False,0.3333333333333333,medium
right_foot_end_effector_error_max,Friedman: all methods,9,8.222222222222214,0.016389553790213653,0.016389553790213653,True,0.4567901234567897,medium
right_foot_end_effector_error_max,direct_mapping vs basic_ik,9,3.0,0.01953125,0.0390625,True,0.8666666666666667,large
right_foot_end_effector_error_max,direct_mapping vs gmr,9,2.0,0.01171875,0.03515625,True,0.9111111111111111,large
right_foot_end_effector_error_max,basic_ik vs gmr,9,19.0,0.734375,0.734375,False,0.15555555555555556,small
left_hand_end_effector_error_mean,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
left_hand_end_effector_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
left_hand_end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
left_hand_end_effector_error_mean,basic_ik vs gmr,9,20.0,0.8203125,0.8203125,False,0.1111111111111111,small
left_hand_end_effector_error_max,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
left_hand_end_effector_error_max,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
left_hand_end_effector_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
left_hand_end_effector_error_max,basic_ik vs gmr,9,19.0,0.734375,0.734375,False,0.15555555555555556,small
right_hand_end_effector_error_mean,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
right_hand_end_effector_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,1.0,large
right_hand_end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
right_hand_end_effector_error_mean,basic_ik vs gmr,9,19.0,0.734375,0.734375,False,0.15555555555555556,small
right_hand_end_effector_error_max,Friedman: all methods,9,10.666666666666657,0.004827949993831463,0.004827949993831463,True,0.5925925925925921,large
right_hand_end_effector_error_max,direct_mapping vs basic_ik,9,1.0,0.0078125,0.015625,True,0.9555555555555556,large
right_hand_end_effector_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
right_hand_end_effector_error_max,basic_ik vs gmr,9,18.0,0.65234375,0.65234375,False,0.2,small
head_end_effector_error_mean,Friedman: all methods,9,11.555555555555543,0.00309558685236526,0.00309558685236526,True,0.6419753086419746,large
