Episode_Termination/ee_body_pos,Metrics/motion/error_anchor_rot,Metrics/motion/sampling_top1_prob,Perf/learning_time,video,_runtime,Episode_Reward/action_rate_l2,Perf/collection_time,Episode_Termination/anchor_pos,Loss/surrogate,Loss/value,Metrics/motion/error_body_rot,Metrics/motion/error_anchor_pos,_step,_timestamp,Perf/total_fps,Metrics/motion/error_body_lin_vel,Loss/entropy,Episode_Reward/motion_global_root_ori,Metrics/motion/sampling_top1_bin,Metrics/motion/error_body_ang_vel,Episode_Reward/self_collisions,Episode_Termination/time_out,Episode_Reward/joint_limit,Metrics/motion/error_joint_pos,Policy/mean_std,Episode_Reward/motion_body_ori,Train/mean_episode_length,Episode_Reward/motion_body_pos,Metrics/motion/sampling_entropy,Loss/learning_rate,Metrics/motion/error_body_pos,Episode_Reward/motion_global_root_pos,Metrics/motion/error_anchor_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Termination/anchor_ori,Metrics/motion/error_joint_vel,Episode_Reward/motion_body_ang_vel,Metrics/motion/error_anchor_lin_vel,Train/mean_reward
1.875,0.25088465213775635,0.15218868851661682,0.5692217350006104,,10.055599003,-0.03535207733511925,4.020254850387573,0.625,0.05029527856968343,0.143024493008852,0.32490962743759155,0.11788513511419296,999,1784471548.5104988,21419,0.8450435996055603,15.223421669006347,0.008155275136232376,0.3888889253139496,3.774291753768921,-0.004106990993022919,8.041666984558105,-0.005913655739277601,1.056261420249939,0.4151321053504944,0.010991591028869152,20.1,0.021026378497481346,0.9879550337791443,1e-05,1.9824256896972656,0.010007369332015514,2.2630553245544434,0.009285956621170044,0.125,14.658079147338867,0.0027078213170170784,0.6651432514190674,0.3070955826714635
1.2083333730697632,0.22211019694805145,0.19614389538764954,0.29807591438293457,,14.844221228,-0.08383961766958237,1.949878454208374,0.3333333432674408,-0.005048252467531711,0.04573186095803976,0.2923867702484131,0.22577500343322754,1000,1784471550.8574443,43730,0.7603809237480164,15.22162914276123,0.025746550410985947,0.6944445371627808,3.2930619716644287,-0.004925912246108055,8.416666984558105,-0.005242475308477879,1.0059800148010254,0.4149632155895233,0.03414338082075119,42.46,0.061833761632442474,0.955695629119873,5.062500000000001e-05,0.08720101416110992,0.02433091402053833,1.9817588329315186,0.03294282779097557,0.0416666679084301,13.105659484863281,0.011806685477495193,0.6329159736633301,1.3595571632124483
0.8333333730697632,0.1986907422542572,0.20192518830299377,0.31896305084228516,,17.468708422,-0.12985721230506897,2.352461099624634,0.3333333432674408,-0.009249559316594968,0.04374403394758701,0.27953144907951355,0.31336748600006104,1001,1784471555.6834645,36798,0.6563541889190674,15.181032037734985,0.04383514076471329,0.7685185670852661,2.8876311779022217,-0.004074216820299625,8.208333969116211,-0.0057600317522883415,0.8918429613113403,0.41414105892181396,0.05943722650408745,64.37,0.1025741845369339,0.9531644582748413,0.00011390625000000003,0.08421023935079575,0.03315380960702896,1.7260158061981201,0.05926390737295151,0.0,11.499178886413574,0.02200465276837349,0.5803367495536804,1.9090230428613721
0.8333333730697632,0.18035346269607544,0.21232715249061584,0.3255343437194824,,19.951213988,-0.17381367087364197,2.155869483947754,0.1666666716337204,-0.010279326111776755,0.044390289857983586,0.2640640139579773,0.3542650640010834,1002,1784471558.2817073,39616,0.7008742690086365,15.10058398246765,0.06465046107769012,0.7777778506278992,3.174713134765625,-0.0072270771488547325,7.625,-0.006527466233819723,0.9108160734176636,0.4129508137702942,0.08791323006153107,88.21,0.14563602209091187,0.9468663930892944,0.00017085937500000009,0.08088456094264984,0.04098398983478546,1.802368402481079,0.088558629155159,0.0,12.554496765136719,0.03428903967142105,0.5834455490112305,2.9634516985714434
0.5833333730697632,0.16857098042964935,0.22439825534820557,0.2840297222137451,,22.418517133,-0.22460894286632538,2.0868935585021973,0.25,-0.009873330325353891,0.041277837194502356,0.24564361572265625,0.4173193573951721,1003,1784471560.7554922,41462,0.6211315393447876,15.028062677383422,0.08343692868947983,0.7777778506278992,2.883086681365967,-0.005353072192519903,8.041666984558105,-0.007305679842829704,0.8503044843673706,0.41210901737213135,0.11532863229513168,113.8,0.18952326476573944,0.9398476481437683,0.00017085937500000009,0.07321479916572571,0.04685857146978378,1.6709623336791992,0.11577578634023666,0.0,11.966471672058105,0.045842282474040985,0.5285915732383728,3.9123649764060975
0.8333333730697632,0.19925463199615479,0.23541180789470673,0.29086756706237793,,24.871377426,-0.2680422067642212,2.0742340087890625,0.4583333432674408,-0.009585152892395855,0.040810013003647325,0.27848705649375916,0.49363988637924194,1004,1784471563.1989908,41564,0.7299391627311707,14.976512002944947,0.09862636774778366,0.7777778506278992,3.014307737350464,-0.006473364308476448,8.666666984558105,-0.009077579714357853,0.9195958971977234,0.4115014672279358,0.1368463933467865,135.13,0.22585755586624146,0.936174750328064,0.00017085937500000009,0.08310148864984512,0.04793844744563103,1.8018087148666382,0.13906055688858032,0.0,12.09347152709961,0.05580361932516098,0.6429809927940369,4.229222837537527
1.125,0.2069581151008606,0.22551006078720093,0.28728246688842773,,27.35020596,-0.30286532640457153,2.0892086029052734,0.375,-0.009872655279468744,0.048753792978823186,0.28021588921546936,0.4999985694885254,1005,1784471565.672867,41365,0.7363027334213257,14.9329514503479,0.11481010913848877,0.7777778506278992,3.1000726222991943,-0.005935876630246639,8.041666984558105,-0.009028656408190727,0.9244675636291504,0.4108428955078125,0.15864357352256775,152.19,0.25874829292297363,0.9358605742454529,0.00011390625000000006,0.08556607365608215,0.05402815341949463,1.8446741104125977,0.16279344260692596,0.0,12.461272239685059,0.06531430780887604,0.623058557510376,5.022941974401474
0.75,0.17978666722774506,0.2307060807943344,0.29736328125,,29.899710357,-0.35858893394470215,2.081895112991333,0.5,-0.00945494129191502,0.04459516927599907,0.2531816363334656,0.5350562930107117,1006,1784471568.1529436,41317,0.7024561762809753,14.88803310394287,0.13811074197292328,0.7777778506278992,3.0063719749450684,-0.011161670088768005,8.666666984558105,-0.009917378425598145,0.9094237685203552,0.41026630997657776,0.19043242931365967,179.71,0.30909937620162964,0.9293370246887207,0.00011390625000000006,0.07834403961896896,0.05832018703222275,1.761968970298767,0.19164979457855225,0.0,12.027621269226074,0.07711111754179001,0.6058229207992554,6.021061412543059
0.875,0.19635602831840515,0.23774604499340057,0.29575037956237793,,32.352987144,-0.40369051694869995,2.1523261070251465,0.2916666865348816,-0.009586879122070967,0.048927958495914935,0.2682874798774719,0.517168402671814,1007,1784471570.71586,40155,0.7258089780807495,14.845327663421632,0.154455304145813,0.7777778506278992,3.049595594406128,-0.007691107224673033,7.208333492279053,-0.011764008551836014,0.8997580409049988,0.4096459448337555,0.2168569415807724,200.34,0.3474457263946533,0.923766016960144,0.00017085937500000009,0.08068076521158218,0.06616988033056259,1.8190244436264038,0.2181200385093689,0.0,12.745534896850586,0.08762823045253754,0.643736720085144,6.860171869695186
1.2916667461395264,0.21160101890563965,0.2573215365409851,0.29160070419311523,,34.862241093,-0.44833827018737793,2.0465190410614014,0.4583333432674408,-0.009632716909982264,0.05424434430897236,0.28895825147628784,0.6338783502578735,1008,1784471573.154224,42044,0.7637701034545898,14.800262928009033,0.17321673035621643,0.7777778506278992,3.095479965209961,-0.00991011317819357,7.7916669845581055,-0.014059408567845821,0.9046453237533569,0.40909239649772644,0.24044427275657654,224.04,0.38623660802841187,0.911268413066864,0.00017085937500000009,0.09107162058353424,0.06424997746944427,1.8974285125732422,0.23984448611736298,0.0,12.053988456726074,0.09828104823827744,0.6744247674942017,7.436672546118498
