Episode_Reward/motion_global_root_ori,Metrics/motion/error_body_rot,_runtime,Loss/surrogate,Loss/learning_rate,Metrics/motion/error_anchor_rot,Episode_Reward/motion_body_ang_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_joint_vel,Episode_Termination/anchor_ori,Episode_Reward/joint_limit,Perf/total_fps,Perf/learning_time,Metrics/motion/error_body_lin_vel,Episode_Reward/motion_body_ori,Loss/entropy,video,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,_timestamp,Policy/mean_std,Episode_Reward/motion_body_lin_vel,_step,Episode_Termination/ee_body_pos,Train/mean_episode_length,Metrics/motion/error_anchor_ang_vel,Perf/collection_time,Metrics/motion/error_body_pos,Episode_Reward/motion_global_root_pos,Episode_Termination/time_out,Episode_Reward/self_collisions,Loss/value,Episode_Reward/action_rate_l2,Metrics/motion/sampling_entropy,Metrics/motion/error_body_ang_vel,Metrics/motion/error_joint_pos,Metrics/motion/error_anchor_lin_vel,Train/mean_reward,Episode_Reward/motion_body_pos,Episode_Termination/anchor_pos
0.00923085492104292,0.32490605115890503,10.030854645,0.05068094863090664,1e-05,0.25089967250823975,0.005227797664701939,0.1178746446967125,14.651443481445312,0.125,-0.005888598971068859,21359,0.5846190452575684,0.8446769714355469,0.014161928556859493,15.222061347961425,,0.3888889253139496,0.15218868851661682,1784466219.4940395,0.4151066839694977,0.012436725199222565,999,1.875,20.1,2.26271915435791,4.0177154541015625,1.9824426174163818,0.010765161365270615,8.041666984558105,-0.0048115854151546955,0.1352811437100172,-0.03535127267241478,0.9879550337791443,3.774057388305664,1.0562268495559692,0.665074348449707,0.496683732829988,0.02227804623544216,0.625
0.02855231985449791,0.2921569049358368,14.945848382,-0.005342542846710785,5.062500000000001e-05,0.22317056357860565,0.02117316424846649,0.22510075569152832,13.005853652954102,0.0416666679084301,-0.005302758887410164,42986,0.28381800651550293,0.7579172849655151,0.043822433799505234,15.219710445404052,,0.6944445371627808,0.19596683979034424,1784466221.8778214,0.41492292284965515,0.041745513677597046,1000,1.2083333730697632,42.46,1.9773128032684326,2.003046751022339,0.08698009699583054,0.027334198355674744,8.416666984558105,-0.004978332202881575,0.04202657230198383,-0.08387678861618042,0.9557409286499023,3.280007839202881,1.0057462453842163,0.6292259097099304,1.7857821321487426,0.06529434025287628,0.375
0.0480080246925354,0.26867353916168213,17.377248667,-0.00894929562928155,0.00011390625000000003,0.18599693477153778,0.03804849833250046,0.30390697717666626,11.704534530639648,0.0,-0.005941422656178474,35396,0.3148465156555176,0.6493809223175049,0.07498368620872498,15.181815147399902,,0.763888955116272,0.1987990140914917,1784466226.808053,0.41423267126083374,0.07240165770053864,1001,0.875,63.79,1.7383034229278564,2.4624154567718506,0.08049920946359634,0.03860855475068092,8.208333969116211,-0.004543372429907322,0.04231297019869089,-0.12878859043121338,0.9541000127792358,2.914445400238037,0.8742666244506836,0.5659878849983215,2.5457605320215224,0.107682004570961,0.3333333432674408
0.07070767879486084,0.2578851580619812,19.882707281,-0.010440797469345852,0.00011390625000000006,0.17601513862609863,0.05838882178068161,0.36222147941589355,12.196891784667969,0.0,-0.006242580711841583,42384,0.29250383377075195,0.6793580055236816,0.11027898639440536,15.11208667755127,,0.7777778506278992,0.2045993059873581,1784466229.219376,0.4131799340248108,0.10695630311965942,1002,0.6666666865348816,87.95,1.7954950332641602,2.0268194675445557,0.07887759059667587,0.0489221028983593,7.625,-0.0073752254247665405,0.03663715347647667,-0.1745554655790329,0.9478583335876465,3.0762908458709717,0.8933652639389038,0.5694363713264465,3.8608003306388854,0.15334075689315796,0.1666666716337204
0.08984549343585968,0.25066787004470825,22.39111433,-0.01061905744136311,0.00011390625000000006,0.17194759845733643,0.07570856064558029,0.4121403098106384,12.01941967010498,0.0,-0.007959607988595963,40734,0.30722498893737793,0.6385208368301392,0.14173361659049988,15.051023864746094,,0.7777778506278992,0.2126564234495163,1784466231.7420378,0.412482351064682,0.13664191961288452,1003,0.75,112.49,1.7060914039611816,2.106088399887085,0.07561688125133514,0.05566384643316269,8.041666984558105,-0.004539261572062969,0.044651196151971814,-0.22244980931282043,0.9426931142807007,2.932188034057617,0.869975209236145,0.5462044477462769,5.001403814554214,0.19606909155845642,0.25
0.10813707113265991,0.27676013112068176,24.985427207,-0.009624483762308955,0.00017085937500000009,0.20344668626785278,0.09291856735944748,0.4836362600326538,11.940890312194824,0.0,-0.009132606908679008,41003,0.31783342361450195,0.7067822217941284,0.1710282862186432,15.006356239318848,,0.7777778506278992,0.2204606533050537,1784466234.2496054,0.41186320781707764,0.16582803428173065,1004,1.0416667461395264,133.59,1.7191638946533203,2.0796303749084473,0.08380510658025742,0.05937489867210388,8.666666984558105,-0.007445075549185276,0.04118498861789703,-0.2689639925956726,0.9391335844993591,2.985616683959961,0.9143028259277344,0.6300720572471619,5.572099699676037,0.23766295611858368,0.375
0.1277417242527008,0.2602273225784302,27.608385739,-0.010206207388546319,0.00011390625000000006,0.19261488318443298,0.11091720312833786,0.5179336667060852,12.109527587890625,0.0,-0.00995823834091425,39575,0.30445408821105957,0.7266170382499695,0.20208021998405457,14.95957522392273,,0.7777778506278992,0.21592728793621063,1784466236.8408086,0.4111941456794739,0.19679169356822968,1005,0.875,154.39,1.891211748123169,2.179488182067871,0.08021815121173859,0.06634505093097687,8.083333969116211,-0.006192867644131184,0.04245311040431261,-0.31073784828186035,0.9382588267326355,3.0761804580688477,0.8878226280212402,0.6083189845085144,6.656001548580825,0.2781637907028198,0.1666666716337204
0.14912959933280945,0.25691860914230347,30.169990812,-0.00901449348893948,0.00011390625000000006,0.18017570674419403,0.1275480091571808,0.5396549701690674,12.181291580200195,0.0,-0.011897707358002663,39080,0.32618069648742676,0.7059111595153809,0.234759122133255,14.916805171966553,,0.7777778506278992,0.2291797697544098,1784466239.4655676,0.41056105494499207,0.2265920341014862,1006,0.7916666865348816,184.58,1.8189939260482788,2.189262866973877,0.07858651876449585,0.07245629280805588,8.666666984558105,-0.009171536192297935,0.04252777397632599,-0.3584858179092407,0.9269339442253113,3.081045627593994,0.8958374857902527,0.5888288021087646,8.074545695781708,0.32226336002349854,0.375
0.16882836818695068,0.2558140754699707,32.762099799,-0.010151940025389194,0.00011390625000000006,0.18155351281166077,0.14611180126667023,0.507141649723053,12.231269836425781,0.0,-0.013036052696406841,40089,0.316455602645874,0.7078797817230225,0.26930975914001465,14.869025182723998,,0.7777778506278992,0.23485533893108368,1784466242.0368485,0.41004225611686707,0.2597990036010742,1007,0.9166666865348816,202.86,1.8659358024597168,2.1356663703918457,0.0785275399684906,0.0810452327132225,7.125,-0.008223995566368103,0.05348041616380215,-0.4083496928215027,0.9247865080833435,2.9456377029418945,0.8865424990653992,0.640507161617279,8.861218118667603,0.3666066825389862,0.1666666716337204
0.1851302832365036,0.2659628689289093,35.298962525,-0.010087710694642737,0.00011390625000000006,0.19541893899440765,0.16110114753246307,0.6112522482872009,12.121414184570312,0.0,-0.013951875269412994,39766,0.29824209213256836,0.7288419604301453,0.29391834139823914,14.827577781677245,,0.7777778506278992,0.25085800886154175,1784466244.6102781,0.40933552384376526,0.2809525728225708,1008,1.0833333730697632,225.04,1.842291235923767,2.1737782955169678,0.08405330032110214,0.0802609920501709,7.875,-0.00998151395469904,0.04394821468740702,-0.44120773673057556,0.9151308536529541,3.047605037689209,0.8706993460655212,0.624062180519104,9.635779930055142,0.39948201179504395,0.2916666865348816
