Episode_Termination/ee_body_pos,Loss/learning_rate,Perf/learning_time,Episode_Termination/anchor_ori,video,Metrics/motion/error_joint_vel,Episode_Reward/motion_global_root_pos,Metrics/motion/error_anchor_pos,Metrics/motion/sampling_entropy,Policy/mean_std,Perf/collection_time,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_rot,Metrics/motion/error_anchor_ang_vel,_step,Loss/surrogate,Episode_Reward/joint_limit,Metrics/motion/error_body_lin_vel,Episode_Termination/time_out,Episode_Reward/motion_body_pos,Metrics/motion/error_body_ang_vel,Loss/entropy,Train/mean_episode_length,Loss/value,_runtime,Episode_Reward/motion_body_ori,Episode_Reward/motion_global_root_ori,Metrics/motion/sampling_top1_prob,Perf/total_fps,Episode_Reward/self_collisions,Episode_Termination/anchor_pos,Episode_Reward/action_rate_l2,Metrics/motion/error_joint_pos,Metrics/motion/sampling_top1_bin,_timestamp,Train/mean_reward,Episode_Reward/motion_body_lin_vel,Metrics/motion/error_body_pos,Episode_Reward/motion_body_ang_vel
1.875,1e-05,0.5668549537658691,0.125,,14.655067443847656,0.00868222489953041,0.11787399649620056,0.9879550337791443,0.4151962995529175,3.8581788539886475,0.6649786233901978,0.25087374448776245,0.3249143958091736,2.2626214027404785,999,0.04915279622655362,-0.005888637155294418,0.8446167707443237,8.041666984558105,0.01871606707572937,3.774183750152588,15.2269296169281,20.1,0.14963102377951146,9.9485363,0.0066587962210178375,0.006433460395783186,0.15218868851661682,22215,-0.0033884900622069836,0.625,-0.03535182774066925,1.056203842163086,0.3888889253139496,1784476890.459536,0.06446656415238977,0.005313204135745764,1.9824433326721191,0.0007590317982248962
1.2083333730697632,5.062500000000001e-05,0.31351804733276367,0.0416666679084301,,12.976970672607422,0.01974140852689743,0.22595390677452087,0.9557362794876099,0.41508105397224426,2.044393301010132,0.6335804462432861,0.22039559483528137,0.2910381555557251,1.9838037490844727,1000,-0.004762828227831051,-0.005050342064350843,0.7608293294906616,8.416666984558105,0.05510072037577629,3.269866466522217,15.227831506729126,42.46,0.07568136267364026,14.814276495,0.020345885306596756,0.02096923254430294,0.1960538923740387,41691,-0.005471528973430395,0.375,-0.08373840898275375,1.004298210144043,0.6944445371627808,1784476892.9335666,0.7362808974739165,0.021063819527626038,0.08712183684110641,0.003683587070554495
0.9583333730697632,0.00017085937500000006,0.31132030487060547,0.0,,11.920634269714355,0.024855241179466248,0.30908796191215515,0.9531848430633545,0.4143310487270355,2.3402702808380127,0.5891897082328796,0.20172695815563202,0.28358834981918335,1.8149809837341309,1001,-0.008272260540979914,-0.005942892283201218,0.6766607165336609,8.208333969116211,0.09000325202941895,2.9963128566741943,15.190790796279908,63.24,0.09639530535787344,17.31225845,0.03551311045885086,0.035689644515514374,0.20107993483543396,37073,-0.004486041143536568,0.4166666865348816,-0.1283172219991684,0.9022893309593201,0.7685185670852661,1784476897.7955277,0.974035075455904,0.03973455727100372,0.08582544326782227,0.0070494189858436584
0.7083333730697632,0.0002562890625000001,0.3218259811401367,0.0,,12.123870849609375,0.03011935204267502,0.3588046431541443,0.9475998282432556,0.4136912524700165,2.061094045639038,0.5646194219589233,0.16104629635810852,0.24391576647758484,1.7750556468963623,1002,-0.008432529191486538,-0.005750059150159359,0.6697198748588562,7.625,0.13306255638599396,3.064307689666748,15.139340353012084,87.29,0.06522523369640112,19.935910811,0.05565119907259941,0.05567072331905365,0.20287534594535828,41253,-0.008110510185360909,0.0,-0.17448757588863373,0.8752263784408569,0.7731481790542603,1784476900.2965188,1.7318063239753245,0.06339855492115021,0.07579277455806732,0.011974520049989223
0.5416666865348816,0.0002562890625000001,0.3035314083099365,0.0,,12.017805099487305,0.0344565287232399,0.41370534896850586,0.9399956464767456,0.4132455885410309,2.2048113346099854,0.5286879539489746,0.16523759067058563,0.24450473487377167,1.6912767887115479,1003,-0.007480733166448772,-0.00696340948343277,0.6275953650474548,8.041666984558105,0.17076373100280762,2.9098784923553467,15.10447425842285,113.31,0.07866726834326983,22.324002146,0.0733056589961052,0.0707981139421463,0.2123388946056366,39190,-0.005532446783035994,0.3333333432674408,-0.22394351661205292,0.852697491645813,0.7777778506278992,1784476902.913279,2.419656780064106,0.08442815393209457,0.07504568994045258,0.01619722694158554
1.125,0.00017085937500000009,0.2899158000946045,0.0,,12.20179271697998,0.03457437455654144,0.4771765172481537,0.9330903887748718,0.4127732217311859,1.9910788536071777,0.6303614377975464,0.19322696328163147,0.27085423469543457,1.8121929168701172,1004,-0.007843505579512567,-0.008491767570376396,0.7145070433616638,8.708333969116211,0.2027166187763214,3.035600185394287,15.069551086425781,133.76,0.050756337307393554,24.790732171,0.08683430403470993,0.08314329385757446,0.2296479195356369,43096,-0.006397982593625784,0.375,-0.266780287027359,0.9114605188369751,0.7777778506278992,1784476905.300983,2.446964782960713,0.1017480120062828,0.08269448578357697,0.01987406238913536
0.9583333730697632,7.593750000000004e-05,0.3130803108215332,0.0,,12.200674057006836,0.038615282624959946,0.48928579688072205,0.9331616163253784,0.412163645029068,2.0464251041412354,0.5958232283592224,0.19579152762889862,0.2685708999633789,1.9323186874389648,1005,-0.008853248452942353,-0.008263818919658661,0.7214624881744385,8.041666984558105,0.23569796979427338,3.1148624420166016,15.02738847732544,154.05,0.046359925903379916,27.222341926,0.10230785608291626,0.09850649535655975,0.22470848262310028,41662,-0.006143088452517986,0.3333333432674408,-0.30549225211143494,0.9125377535820007,0.7777778506278992,1784476907.7614188,3.011444955468178,0.12168875336647034,0.08377537131309509,0.02368903160095215
0.7083333730697632,0.00017085937500000006,0.294830322265625,0.0,,12.243799209594727,0.04182642698287964,0.540662944316864,0.9250652194023132,0.4113982915878296,2.0342345237731934,0.5764560699462891,0.17419825494289398,0.24846628308296204,1.806168794631958,1006,-0.009726517787203192,-0.009563123807311058,0.6913158297538757,8.666666984558105,0.2783085107803345,3.080094814300537,14.981604719161988,183.51,0.04045559167861938,29.549938262,0.12086053937673569,0.11738293617963791,0.22884881496429443,42207,-0.00932234339416027,0.3333333432674408,-0.35883161425590515,0.883952796459198,0.7777778506278992,1784476910.1847944,3.653039336130023,0.1398129165172577,0.07851811498403549,0.02726823091506958
0.7916666865348816,0.00017085937500000009,0.29152345657348633,0.0,,12.318426132202148,0.04853707179427147,0.529341459274292,0.921727180480957,0.4107398986816406,1.944596290588379,0.6227695941925049,0.1855623424053192,0.261501669883728,1.8931478261947632,1007,-0.010397947143064811,-0.011048562824726105,0.7194477915763855,7.083333492279053,0.31710419058799744,3.0664000511169434,14.92578320503235,203.89,0.055655799061059955,32.101081861,0.1405346840620041,0.1333594024181366,0.23583905398845673,43961,-0.007443542592227459,0.25,-0.4095875024795532,0.8868778944015503,0.7777778506278992,1784476912.5228071,4.303726486265659,0.1607741117477417,0.08086686581373215,0.031077608466148376
1.0,0.00017085937500000009,0.31194281578063965,0.0,,11.882200241088867,0.04602498933672905,0.6385876536369324,0.9163165092468262,0.40986278653144836,2.1366114616394043,0.646955132484436,0.20004427433013916,0.2721574604511261,1.811726450920105,1008,-0.009931938711088151,-0.013743679039180279,0.720964789390564,7.708333492279053,0.35355374217033386,2.9954867362976074,14.871019220352172,229.85,0.04105962384492159,34.60104173,0.1578826755285263,0.14972993731498718,0.24556145071983337,40147,-0.010499491356313229,0.4166666865348816,-0.4554562568664551,0.8580488562583923,0.7777778506278992,1784476915.0759656,4.587634604871273,0.18028578162193298,0.08606627583503723,0.03592218458652496
1.25,0.00017085937500000009,0.3260345458984375,0.0,,12.722960472106934,0.052256159484386444,0.57964026927948,0.9108445048332214,0.409140408039093,2.0696511268615723,0.6114583015441895,0.20106661319732666,0.2741042971611023,1.8088067770004272,1009,-0.009712554008001462,-0.014184701256453991,0.7178280353546143,7.0,0.37780532240867615,3.1582934856414795,14.81220908164978,239.7,0.03887380603700876,37.06500264,0.1698201596736908,0.15993796288967133,0.2603207528591156,41033,-0.011244198307394981,0.2083333432674408,-0.4895476698875427,0.8994242548942566,0.7777778506278992,1784476917.5731914,5.0067541682720185,0.192741259932518,0.08583816140890121,0.03784472122788429
