Episode_Termination/time_out,Loss/entropy,Episode_Reward/joint_limit,Perf/collection_time,Perf/learning_time,Episode_Termination/anchor_pos,Metrics/motion/error_body_ang_vel,Metrics/motion/sampling_top1_bin,Loss/learning_rate,Metrics/motion/sampling_top1_prob,Episode_Reward/self_collisions,Policy/mean_std,Episode_Reward/motion_body_lin_vel,Episode_Reward/action_rate_l2,Metrics/motion/error_joint_pos,Metrics/motion/error_body_pos,Metrics/motion/error_body_lin_vel,Metrics/motion/sampling_entropy,Metrics/motion/error_anchor_ang_vel,_timestamp,Metrics/motion/error_anchor_lin_vel,_step,Metrics/motion/error_body_rot,Loss/surrogate,Perf/total_fps,Episode_Reward/motion_global_root_ori,Train/mean_episode_length,_runtime,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_ori,Episode_Termination/anchor_ori,Metrics/motion/error_anchor_rot,Episode_Termination/ee_body_pos,video,Metrics/motion/error_joint_vel,Train/mean_reward,Metrics/motion/error_anchor_pos,Episode_Reward/motion_global_root_pos,Loss/value
8.041666984558105,15.221789693832397,-0.0058889081701636314,4.183488845825195,0.6057353019714355,0.625,3.774007797241211,0.3888889253139496,1e-05,0.15218868851661682,-0.00391667615622282,0.4150978922843933,0.013717780821025372,-0.035353295505046844,1.056206464767456,1.9824512004852295,0.8446428179740906,0.9879550337791443,2.263418197631836,1784463542.6265862,0.6647963523864746,999,0.32491475343704224,0.05055887708440423,20526,0.009621972218155861,20.1,10.603330493,0.02269371971487999,0.0065072160214185715,0.015394551679491997,0.125,0.2508796453475952,1.8333333730697632,,14.65156078338623,0.5886075564846397,0.11787380278110504,0.011023289524018764,0.09161502942442894
8.416666984558105,15.218776082992553,-0.005249335430562496,2.1814794540405273,0.31423044204711914,0.3333333432674408,3.2741336822509766,0.6944445371627808,5.062500000000001e-05,0.19610106945037842,-0.0050764563493430614,0.4148980975151062,0.0451970100402832,-0.08380448818206787,1.0062202215194702,0.08703221380710602,0.7594151496887207,0.955643892288208,1.9822887182235718,1784463545.218284,0.6318206787109375,1000,0.29279178380966187,-0.005441674399958174,39389,0.02952083945274353,42.45,15.276637184,0.06637438386678696,0.025583690032362938,0.04737723618745804,0.0416666679084301,0.22345702350139618,1.2083333730697632,,12.99128246307373,1.983351579606533,0.22510376572608948,0.028430625796318054,0.038347176276147366
8.208333969116211,15.169775533676148,-0.0057541197165846825,2.289905309677124,0.31721019744873047,0.2916666865348816,2.852782726287842,0.7685186266899109,0.00011390625000000003,0.20229113101959229,-0.004121061880141497,0.41402295231819153,0.07785050570964813,-0.12944354116916656,0.8740329742431641,0.07950636744499207,0.6495627164840698,0.952756404876709,1.7086198329925537,1784463549.8961828,0.5663973689079285,1001,0.2662872076034546,-0.00864241199924436,37706,0.04977306351065636,63.75,17.68913747,0.109910748898983,0.045698367059230804,0.08108162134885788,0.0,0.18495583534240723,0.875,,11.576197624206543,2.8051789416372777,0.31026315689086914,0.04081762582063675,0.042387545108795166
7.625,15.102445030212403,-0.006879617925733328,2.0296554565429688,0.28288722038269043,0.125,3.218395709991455,0.7777778506278992,0.00017085937500000009,0.20638029277324677,-0.006907136645168066,0.412958025932312,0.1100003644824028,-0.17382584512233734,0.9488486051559448,0.08533614128828049,0.7315976023674011,0.9486517310142517,1.8730714321136475,1784463552.302698,0.6217938661575317,1002,0.2776804566383362,-0.010189850858296268,42509,0.07014723122119904,86.39,20.249115723,0.1518268585205078,0.06648876518011093,0.11400847882032394,0.0,0.19692251086235046,0.875,,12.566045761108398,4.104258045125753,0.37213069200515747,0.050925713032484055,0.03584731481969357
8.041666984558105,15.035504865646363,-0.0073839714750647545,2.1497104167938232,0.3146841526031494,0.25,2.893019676208496,0.7777778506278992,7.593750000000004e-05,0.2117999792098999,-0.005613885819911957,0.41234996914863586,0.14731432497501373,-0.2243994176387787,0.863440990447998,0.07378212362527847,0.6321282386779785,0.9439995288848877,1.678699016571045,1784463554.874277,0.53773033618927,1003,0.24265053868293762,-0.010161917190998793,39889,0.09331867098808289,113.27,22.627740322,0.20113639533519745,0.0909280925989151,0.15359961986541748,0.0,0.16790252923965454,0.5416666865348816,,11.977168083190918,5.446573565602303,0.4202910363674164,0.06033382937312126,0.04528925530612469
8.666666984558105,15.002013015747071,-0.00907769426703453,1.9817767143249512,0.28846263885498047,0.4583333432674408,3.053950071334839,0.7777778506278992,0.00017085937500000006,0.21847862005233765,-0.00794493779540062,0.411812961101532,0.17315928637981415,-0.26397475600242615,0.9305227994918823,0.08534930646419525,0.7299118041992188,0.9394704699516296,1.7911633253097534,1784463557.2443044,0.6402513384819031,1004,0.2840884327888489,-0.00969792935065925,43301,0.10891005396842957,130.02,25.080978271,0.23674538731575012,0.10783376544713974,0.17981278896331787,0.0416666679084301,0.212374746799469,1.1666667461395264,,12.341288566589355,5.900283402986824,0.4879154562950134,0.06343136727809906,0.046924179047346117
8.041666984558105,14.957988166809082,-0.009999568574130535,2.044525146484375,0.3103930950164795,0.3333333432674408,3.1138381958007812,0.7777778506278992,0.00011390625000000006,0.22197769582271576,-0.005859776400029659,0.41121459007263184,0.2039899080991745,-0.30627045035362244,0.9350287318229675,0.08671003580093384,0.7554337382316589,0.9384560585021973,1.9104108810424805,1784463559.7110448,0.6324570178985596,1005,0.2861403822898865,-0.0103028605110012,41744,0.1280752420425415,159.01,27.551689704,0.27613791823387146,0.12704259157180786,0.21019010245800018,0.0,0.21921640634536743,1.0833333730697632,,12.582321166992188,7.431188806723803,0.5002278685569763,0.0715968981385231,0.042190895043313505
8.625,14.92052149772644,-0.010945480316877365,2.0647830963134766,0.29071831703186035,0.2916666865348816,3.047224760055542,0.7777778506278992,0.00011390625000000006,0.23074042797088623,-0.010892896912992,0.4107639789581299,0.2391514629125595,-0.359318345785141,0.8996474742889404,0.08173063397407532,0.7476240992546082,0.9298337697982788,1.7932233810424805,1784463562.1639774,0.6235194206237793,1006,0.25963538885116577,-0.009675459937716369,41733,0.15236501395702362,180.69,30.124151378,0.3260310888290405,0.15002718567848206,0.24995049834251404,0.0,0.18402263522148132,0.9583333730697632,,12.129972457885742,8.524999903328716,0.5540496706962585,0.07840045541524887,0.047297393530607225
7.0416669845581055,14.880907344818116,-0.012501288205385208,2.159743070602417,0.319242000579834,0.2916666865348816,2.9772868156433105,0.7777778506278992,0.00017085937500000009,0.2418283224105835,-0.010495340451598167,0.41019585728645325,0.2742569148540497,-0.4065706729888916,0.9009849429130554,0.08035014569759369,0.7441638708114624,0.9236336946487427,1.8536901473999023,1784463564.7538335,0.6519450545310974,1007,0.25733238458633423,-0.010603012834326363,39654,0.1724209487438202,202.17,32.537802926,0.36978623270988464,0.17142543196678162,0.28566983342170715,0.0,0.18189159035682678,0.875,,12.167181968688965,9.598215878158808,0.5396825075149536,0.08853431791067123,0.04949732571840286
7.7916669845581055,14.84114212989807,-0.01345304399728775,2.019507884979248,0.2830021381378174,0.4166666865348816,3.0997419357299805,0.7777778506278992,0.00011390625000000006,0.24374103546142578,-0.007192062214016914,0.4097784757614136,0.29896265268325806,-0.44408082962036133,0.8654458522796631,0.08628164231777191,0.6973127126693726,0.9201631546020508,1.8286126852035522,1784463567.1520195,0.608293890953064,1008,0.2734416425228119,-0.00983838940737769,42694,0.1908811330795288,223.36,35.025305221,0.4071740508079529,0.19022665917873383,0.31442850828170776,0.0,0.19767135381698608,1.1666667461395264,,12.19832992553711,10.330970849767327,0.6354535818099976,0.08603708446025848,0.04933347385376692
