Episode_Reward/motion_body_ang_vel,Episode_Termination/time_out,Train/mean_reward,Episode_Reward/motion_body_ori,Loss/surrogate,Metrics/motion/error_body_lin_vel,Metrics/motion/error_joint_pos,Episode_Reward/motion_global_root_pos,Episode_Termination/anchor_pos,Train/mean_episode_length,Metrics/motion/sampling_top1_bin,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_anchor_ang_vel,Episode_Termination/anchor_ori,Metrics/motion/error_body_rot,Loss/learning_rate,Episode_Reward/joint_limit,Episode_Reward/action_rate_l2,Perf/collection_time,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_pos,Metrics/motion/sampling_top1_prob,Episode_Reward/self_collisions,Episode_Reward/motion_global_root_ori,Policy/mean_std,Metrics/motion/error_anchor_lin_vel,Loss/entropy,Perf/total_fps,Perf/learning_time,_runtime,Metrics/motion/error_joint_vel,_timestamp,Episode_Reward/motion_body_pos,Episode_Termination/ee_body_pos,Metrics/motion/sampling_entropy,_step,Loss/value,video,Episode_Reward/motion_body_lin_vel
9.95189111563377e-07,8.041666984558105,-0.44840907148085535,0.00026450722361914814,0.04258888594340533,0.8450427055358887,1.0562280416488647,0.004017667844891548,0.625,20.1,0.3888889253139496,0.11788235604763031,0.2508767247200012,2.263425350189209,0.125,0.324886292219162,1e-05,-0.0059135351330041885,-0.03535560891032219,4.000405550003052,3.774961471557617,1.9824206829071045,0.15218868851661682,-0.004046207293868065,0.0018623396754264832,0.41536787152290344,0.664962649345398,15.236194610595703,21798,0.5093092918395996,10.039315454,14.6622953414917,1784484887.3581169,0.008629499934613705,1.875,0.9879550337791443,999,0.21316572949290274,,0.0002585786860436201
4.7471012294408865e-06,8.416666984558105,-0.5170946887135506,0.0006177084287628531,-0.00450846636085771,0.7592047452926636,1.0064716339111328,0.00734171224758029,0.3333333432674408,42.64,0.6990741491317749,0.2255723923444748,0.21767012774944305,1.9403972625732422,0.0416666679084301,0.28862738609313965,5.062500000000001e-05,-0.0048693204298615456,-0.08378776162862778,1.9990592002868652,3.2463033199310303,0.08675702661275864,0.1961054801940918,-0.004870257340371609,0.006536239292472601,0.4153784513473511,0.6334999799728394,15.24381971359253,42489,0.31455063819885254,14.713316908,12.91529655456543,1784484889.7810538,0.02315884828567505,1.1666667461395264,0.9558269381523132,1000,0.1812873013317585,,0.0018281078664585948
9.845054592005908e-06,8.208333969116211,-0.87019372086972,0.0013837115839123726,-0.008478396211285145,0.6658120155334473,0.8815619349479675,0.007853073999285698,0.4166666865348816,64.24,0.7083333730697632,0.309353232383728,0.18304412066936493,1.7182643413543701,0.0,0.26095762848854065,0.00017085937500000006,-0.005730016157031059,-0.12969829142093658,2.2319653034210205,2.8481569290161133,0.08010630309581757,0.19632557034492493,-0.004154449328780174,0.012465040199458599,0.4150417745113373,0.5826401710510254,15.225896406173707,38564,0.31714391708374023,17.265694923,11.40234375,1784484894.4593818,0.038808614015579224,1.0,0.9539705514907837,1001,0.16609699353575708,,0.005184050649404526
2.1619924154947512e-05,7.625,-0.8788620448112487,0.0018912123050540686,-0.009297104144934565,0.705810546875,0.9058374166488647,0.009291581809520721,0.0833333358168602,86.83,0.6666667461395264,0.3543151617050171,0.17636582255363464,1.8022420406341553,0.0,0.25808820128440857,0.0002562890625000001,-0.006319704931229353,-0.17240707576274872,2.1334779262542725,3.1696438789367676,0.08040153980255127,0.1981954425573349,-0.007808168884366751,0.019479528069496155,0.4148285388946533,0.5815013647079468,15.20887336730957,40313,0.3049912452697754,19.644464967,12.463896751403809,1784484897.0028913,0.056768059730529785,0.75,0.9529339075088501,1002,0.14871752262115479,,0.008599743247032166
2.935036172857508e-05,8.041666984558105,-1.0578783624619246,0.0030699323397129774,-0.009143198042875157,0.6373496055603027,0.8669688105583191,0.01059632282704115,0.375,113.13,0.6805555820465088,0.4155467748641968,0.17015236616134644,1.721469759941101,0.0,0.2504066824913025,0.0002562890625000001,-0.006116945296525955,-0.22282421588897705,1.9742872714996338,2.925212860107422,0.07697977125644684,0.20198331773281097,-0.006191646214574575,0.02569950930774212,0.41477417945861816,0.5425347089767456,15.200153827667236,43231,0.299609899520874,22.169954262,11.974642753601074,1784484899.3763506,0.07595375180244446,0.5833333730697632,0.9454097747802734,1003,0.1550667028874159,,0.012824533507227898
3.75946365238633e-05,8.708333969116211,-1.4064076563343406,0.0036370072048157454,-0.007779919146560133,0.6928743720054626,0.8643171191215515,0.010380210354924202,0.3333333432674408,135.5,0.7546296119689941,0.49547943472862244,0.16469506919384003,1.6659015417099,0.0,0.24659983813762665,0.00017085937500000009,-0.007064878474920988,-0.2679471969604492,2.1213326454162598,2.857388973236084,0.07494978606700897,0.20497111976146698,-0.006640886887907982,0.030103959143161774,0.41459617018699646,0.6086794137954712,15.194368124008179,40484,0.30683350563049316,24.535160244,11.845720291137695,1784484901.909659,0.09055723994970322,0.6666666865348816,0.9419102072715759,1004,0.1119554728269577,,0.015607873909175396
4.911995347356424e-05,8.041666984558105,-1.5869422712922097,0.00406678905710578,-0.009915748855564743,0.7106444239616394,0.901519775390625,0.011516092345118523,0.2083333432674408,153.89,0.6666667461395264,0.5042659044265747,0.1818007081747055,1.7848352193832397,0.0416666679084301,0.25593823194503784,0.0002562890625000001,-0.007037147879600525,-0.3065779507160187,1.9727416038513184,3.0419270992279053,0.07993301749229431,0.2084650993347168,-0.007215853314846754,0.03620528057217598,0.4143352806568146,0.5851632356643677,15.17811131477356,43509,0.2866387367248535,26.872380227,12.508257865905762,1784484904.2682745,0.10769593715667725,0.9166666865348816,0.9387747645378113,1005,0.10614558346569539,,0.018992457538843155
5.1575501856859773e-05,8.625,-1.8112722465395927,0.0049704695120453835,-0.008535280383148347,0.721598744392395,0.8867669105529785,0.012998930178582668,0.375,182.52,0.6666667461395264,0.5769190192222595,0.1646673083305359,1.7662439346313477,0.0,0.24806587398052216,0.00017085937500000009,-0.008690930902957916,-0.3621310591697693,1.943500280380249,2.9578070640563965,0.0793459415435791,0.21803441643714905,-0.008304081857204437,0.04365772008895874,0.4142695367336273,0.622992992401123,15.167018270492553,43971,0.29215383529663086,29.37900741,11.862780570983887,1784484906.605427,0.12397073209285736,0.75,0.9303455352783203,1006,0.0995344027876854,,0.02140534296631813
5.678838351741433e-05,7.1666669845581055,-1.8803913792967797,0.006212013773620129,-0.010049420967698097,0.7105488777160645,0.9146725535392761,0.014846807345747948,0.3333333432674408,200.35,0.6666667461395264,0.5405348539352417,0.17525456845760345,1.7946161031723022,0.0,0.25913769006729126,0.0002562890625000001,-0.010194340720772743,-0.4079534709453583,2.101916551589966,3.0016136169433594,0.07869300246238708,0.22515057027339935,-0.006826705764979124,0.049942608922719955,0.41398173570632935,0.6231578588485718,15.153915929794312,40854,0.3042571544647217,31.74757156,12.45081615447998,1784484909.1164913,0.1409764289855957,0.75,0.9226815104484558,1007,0.08784120716154575,,0.02526145800948143
7.429967081407085e-05,7.75,-2.301849389076233,0.006744494196027517,-0.008888969678082503,0.7365559339523315,0.909850001335144,0.01342449989169836,0.2916666865348816,228.69,0.7407407760620117,0.637748122215271,0.20407310128211975,1.85519540309906,0.0416666679084301,0.270771324634552,0.0002562890625000001,-0.011057289317250252,-0.451984703540802,1.9760708808898926,3.014636516571045,0.0858197808265686,0.23744061589241028,-0.011166080832481384,0.05443575978279114,0.4137886166572571,0.64170241355896,15.13873929977417,43414,0.2882411479949951,34.286261185,12.19446849822998,1784484911.4765856,0.1547916978597641,1.1666667461395264,0.9124888181686401,1008,0.0843107596039772,,0.028680166229605675
