_timestamp,Loss/entropy,Metrics/motion/sampling_top1_prob,video,Episode_Termination/anchor_ori,Episode_Reward/motion_global_root_ori,Train/mean_episode_length,Metrics/motion/error_anchor_ang_vel,Loss/surrogate,Metrics/motion/error_anchor_rot,Episode_Termination/ee_body_pos,Episode_Reward/motion_body_ang_vel,Policy/mean_std,Perf/collection_time,Episode_Termination/anchor_pos,Episode_Termination/time_out,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_body_ang_vel,Loss/learning_rate,Episode_Reward/self_collisions,Episode_Reward/motion_body_lin_vel,_step,Perf/total_fps,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_lin_vel,_runtime,Perf/learning_time,Episode_Reward/joint_limit,Metrics/motion/error_body_pos,Metrics/motion/sampling_entropy,Train/mean_reward,Episode_Reward/action_rate_l2,Metrics/motion/sampling_top1_bin,Metrics/motion/error_body_lin_vel,Episode_Reward/motion_global_root_pos,Metrics/motion/error_joint_vel,Loss/value
1784468882.6175888,15.222577381134034,0.15218868851661682,,0.125,0.008751901797950268,20.1,2.2630021572113037,0.05070075425319374,0.25087970495224,1.875,0.003940993454307318,0.4151160418987274,4.0240867137908936,0.625,8.041666984558105,0.3249245584011078,1.0562477111816406,3.7741522789001465,1e-05,-0.004151455592364073,0.010965196415781975,999,21318,0.012708152644336224,0.021738765761256218,0.11788544058799744,0.6651210784912109,10.175588861,0.5871713161468506,-0.005913741886615753,1.982427954673767,0.9879550337791443,0.4150177572853863,-0.03535456955432892,0.3888889253139496,0.8450870513916016,0.010435200296342373,14.657161712646484,0.14841114431619645
1784468885.0476909,15.21978826522827,0.19605779647827148,,0.0416666679084301,0.027305996045470238,42.45,1.9810662269592285,-0.005267464586358983,0.22344446182250977,1.2083333730697632,0.01650944910943508,0.41491803526878357,2.040574073791504,0.375,8.416666984558105,0.293048620223999,1.0067585706710815,3.284623146057129,5.062500000000001e-05,-0.005571717396378517,0.0376722626388073,1000,42172,0.03940749168395996,0.06377702206373215,0.2258354276418686,0.6327516436576843,14.979256171,0.2904384136199951,-0.005306828301399946,0.08733224123716354,0.9557401537895203,1.581801843419671,-0.0837591215968132,0.6944445371627808,0.7599870562553406,0.0259519275277853,13.062171936035156,0.041174822486937046
1784468889.8497655,15.178549146652221,0.20269665122032166,,0.0,0.04590190574526787,63.92,1.8309234380722046,-0.008893666708900128,0.20609991252422333,1.0,0.02968885377049446,0.41413748264312744,2.4231410026550293,0.375,8.208333969116211,0.28421443700790405,0.8979365825653076,3.0100743770599365,0.00011390625000000003,-0.004778769798576832,0.0653802752494812,1001,36074,0.06736480444669724,0.10505442321300507,0.31264278292655945,0.5871536135673523,17.455660794,0.3018918037414551,-0.006507999263703823,0.08570799231529236,0.953042209148407,2.233394022881985,-0.12991684675216675,0.7685185670852661,0.6744498610496521,0.03585425764322281,11.924098014831543,0.04427170008420944
1784468892.3284047,15.104346132278442,0.20707063376903534,,0.0,0.06738780438899994,88.11,1.8163478374481201,-0.008904424162756186,0.1734025925397873,0.7083333730697632,0.046316228806972504,0.4129709303379059,2.0869686603546143,0.0833333358168602,7.625,0.2562309801578522,0.9065112471580505,3.080399990081787,0.00017085937500000009,-0.00656603230163455,0.09795811027288437,1002,41258,0.0993959903717041,0.1488935798406601,0.3551539182662964,0.5578937530517578,19.937839313,0.29569149017333984,-0.0066660805605351925,0.07870734483003616,0.9475957751274109,3.4415693029761316,-0.173143669962883,0.7777778506278992,0.6796383857727051,0.04509977623820305,12.124168395996094,0.0364848056808114
1784468894.8179135,15.035220718383789,0.21516528725624084,,0.0,0.08729402720928192,113.09,1.710221767425537,-0.009766704519279301,0.17110662162303925,0.5833333730697632,0.061531469225883484,0.41227203607559204,2.072948932647705,0.25,8.041666984558105,0.2490987777709961,0.8525590300559998,2.887261152267456,0.00017085937500000009,-0.005455056205391884,0.12774716317653656,1003,41217,0.13036076724529266,0.19417624175548553,0.4068276882171631,0.5281919240951538,22.431947152,0.3120851516723633,-0.007462566718459129,0.07433363795280457,0.9415924549102783,4.4869278001785275,-0.22411128878593445,0.7777778506278992,0.6213891506195068,0.05170354247093201,11.868803977966309,0.044407959654927255
1784468897.3098524,14.989154815673828,0.22165167331695557,,0.0416666679084301,0.10289838910102844,133.96,1.757856845855713,-0.009567716496530921,0.21476739645004272,0.875,0.07405763864517212,0.41169071197509766,2.0918595790863037,0.4166666865348816,8.708333969116211,0.28016969561576843,0.9254201650619507,3.048072338104248,0.00017085937500000009,-0.006775399204343557,0.15208175778388977,1004,41198,0.154170423746109,0.23056885600090027,0.48530063033103943,0.6396079063415527,24.910894469,0.2942233085632324,-0.008954761549830437,0.08494774997234344,0.9408366084098816,4.9670258188247685,-0.2657291889190674,0.7777778506278992,0.7218234539031982,0.05339622497558594,12.292872428894043,0.04409846644848585
1784468899.7814267,14.944915390014648,0.22177128493785858,,0.0,0.11898808181285858,152.37,2.064659833908081,-0.009883268395788037,0.2104627788066864,1.2916667461395264,0.08647307008504868,0.4110199809074402,2.08101224899292,0.375,8.083333969116211,0.29168424010276794,0.9501670598983765,3.3294520378112793,0.00011390625000000006,-0.006245548836886883,0.1770821064710617,1005,41367,0.17740663886070251,0.26413577795028687,0.49728888273239136,0.6731858253479004,27.393475691,0.29534125328063965,-0.01154593750834465,0.08784733712673187,0.9380882978439331,5.672464505881071,-0.30282559990882874,0.7777778506278992,0.8103891611099243,0.05948735401034355,12.943449974060059,0.04864441584795713
1784468902.2664504,14.899402332305907,0.22785764932632446,,0.0,0.146161749958992,183.29,1.7165918350219727,-0.009914575738366693,0.16644485294818878,0.7916666865348816,0.10440117120742798,0.4103565812110901,2.10091495513916,0.2083333432674408,8.625,0.24356785416603088,0.8554686307907104,2.920905113220215,0.00017085937500000009,-0.01033054944127798,0.213470458984375,1006,41161,0.2174069732427597,0.3195112645626068,0.5265580415725708,0.5584244132041931,29.843654526,0.2873106002807617,-0.010502545163035393,0.07391780614852905,0.9285781383514404,7.267705010175705,-0.36047276854515076,0.7777778506278992,0.6663707494735718,0.06610725075006485,11.822216033935547,0.04489114694297314
1784468904.7211204,14.857470035552979,0.23519155383110046,,0.0,0.16179239749908447,199.82,1.9247363805770874,-0.009866618478554301,0.20969191193580627,0.7916666865348816,0.11714643239974976,0.4099852442741394,2.061673641204834,0.4583333432674408,7.125,0.276095449924469,0.9163912534713745,3.0882129669189453,0.00011390625000000006,-0.00881042517721653,0.2403119057416916,1007,41797,0.24429261684417725,0.35655707120895386,0.5021587610244751,0.6572323441505432,32.306779094,0.29025769233703613,-0.012958740815520287,0.08474741876125336,0.923029899597168,7.961657908856869,-0.4043121337890625,0.7777778506278992,0.7468374967575073,0.07358819246292114,12.681503295898438,0.055288739316165444
1784468907.1789346,14.818833780288696,0.2523174583911896,,0.0,0.18161915242671967,226.2,1.8572033643722534,-0.010101465409388766,0.20194058120250702,1.25,0.13166511058807373,0.40928250551223755,2.0763309001922607,0.375,7.7916669845581055,0.2799372673034668,0.8730470538139343,3.1258647441864014,0.00017085937500000009,-0.012075085192918777,0.26482096314430237,1008,41663,0.2722665071487427,0.39731311798095703,0.6036800146102905,0.6539678573608398,34.851992379,0.28314781188964844,-0.015017658472061157,0.08885493874549866,0.9147054553031921,8.773905168659985,-0.4482511878013611,0.7777778506278992,0.7430806159973145,0.0732073113322258,12.31645393371582,0.04666647221893072
