Loss/learning_rate,Episode_Reward/motion_global_root_pos,Metrics/motion/sampling_top1_bin,_timestamp,Metrics/motion/error_anchor_ang_vel,Perf/total_fps,Metrics/motion/error_anchor_pos,_step,Perf/collection_time,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_ang_vel,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos,video,Train/mean_reward,Episode_Reward/self_collisions,Metrics/motion/error_joint_vel,Train/mean_episode_length,Episode_Reward/motion_body_pos,Loss/surrogate,Metrics/motion/error_body_rot,Episode_Reward/action_rate_l2,Episode_Reward/motion_body_lin_vel,Metrics/motion/error_anchor_lin_vel,Episode_Reward/motion_body_ang_vel,Metrics/motion/sampling_top1_prob,Episode_Termination/anchor_pos,Metrics/motion/error_joint_pos,Loss/value,Policy/mean_std,Metrics/motion/error_body_lin_vel,Episode_Reward/joint_limit,Metrics/motion/sampling_entropy,Perf/learning_time,Episode_Reward/motion_global_root_ori,Loss/entropy,Episode_Reward/motion_body_ori,Episode_Termination/time_out,_runtime
1e-05,0.006148619577288628,0.3888889253139496,1784482224.2053032,2.2625083923339844,21518,0.11788575351238251,999,4.006152629852295,0.25087010860443115,1.9824227094650269,3.774183988571167,0.125,1.875,,-0.26077464457601307,-0.003512539668008685,14.659097671508789,20.1,0.013691830448806286,0.04420226973597892,0.32487958669662476,-0.035352133214473724,0.001373034785501659,0.6651678681373596,3.328359889565036e-05,0.15218868851661682,0.625,1.0561888217926025,0.16101700589060783,0.4153071939945221,0.8450344800949097,-0.005913616623729467,0.9879550337791443,0.5621645450592041,0.0036296704784035683,15.232951021194458,0.0017437683418393135,8.041666984558105,10.157013734
5.062500000000001e-05,0.012428142130374908,0.6990741491317749,1784482226.5559516,1.9707229137420654,43606,0.2261040210723877,1000,1.9615702629089355,0.2187151163816452,0.08711760491132736,3.256793975830078,0.0416666679084301,1.1666667461395264,,-0.05802316572517156,-0.005100265610963106,12.947784423828125,42.65,0.03928624838590622,-0.004644845832081046,0.28992512822151184,-0.08380874246358871,0.007249104790389538,0.635131299495697,0.00019307664479129016,0.1963699460029602,0.3333333432674408,1.0053629875183105,0.11773055009543895,0.41526392102241516,0.7621898055076599,-0.004913711454719305,0.9558138847351074,0.29277658462524414,0.012445643544197083,15.237799739837646,0.0048625958152115345,8.416666984558105,14.835453368
0.00017085937500000006,0.014293445274233818,0.763888955116272,1784482231.251336,1.7576007843017578,37903,0.3128012716770172,1001,2.281369924545288,0.1962318867444992,0.08318179100751877,2.9248218536376953,0.0,0.875,,-0.1935172900930047,-0.004317672923207283,11.687000274658203,63.67,0.06399761140346527,-0.008564231649506837,0.27301156520843506,-0.1290285587310791,0.015920281410217285,0.5854407548904419,0.00040149263804778457,0.19701680541038513,0.375,0.9075630903244019,0.1207996379584074,0.414750337600708,0.6802611351013184,-0.005698353052139282,0.9528819918632507,0.31218457221984863,0.02194836735725403,15.211365222930908,0.009089413098990917,8.208333969116211,17.434944234
0.0002562890625000001,0.01659759134054184,0.7222222685813904,1784482233.8322852,1.753300666809082,39652,0.3572865426540375,1002,2.1753218173980713,0.16674625873565674,0.07875802367925644,3.0613465309143066,0.0,0.6666666865348816,,0.14226137361489236,-0.0062982807867228985,12.070621490478516,88.42,0.09487651288509369,-0.00945418405754026,0.24838392436504364,-0.17166768014431,0.026757940649986267,0.5718125104904175,0.0007227600435726345,0.1998884379863739,0.0833333358168602,0.8866558074951172,0.10366854332387447,0.41430601477622986,0.6817006468772888,-0.005276970099657774,0.9479197263717651,0.3038294315338135,0.035127490758895874,15.178955173492431,0.014033160172402859,7.625,19.789953822
0.0002562890625000001,0.01884210668504238,0.7685185670852661,1784482236.1899436,1.768146276473999,43453,0.4299132823944092,1003,1.9743189811706543,0.18035906553268433,0.07949532568454742,2.984959125518799,0.0,0.6666666865348816,,0.20593784719705582,-0.004742773249745369,12.018969535827637,112.24,0.12273505330085754,-0.007471142802387476,0.2588347792625427,-0.22236114740371704,0.03753116726875305,0.5635071992874146,0.0010280401911586523,0.2030562162399292,0.4583333432674408,0.8804916739463806,0.08386354446411133,0.41394826769828796,0.6623058319091797,-0.006976680364459753,0.9399370551109314,0.2879819869995117,0.04461663216352463,15.154537153244018,0.02006581798195839,8.041666984558105,22.246927088
0.00017085937500000009,0.018535124137997627,0.773148238658905,1784482238.6608033,1.8789829015731812,41659,0.4792201519012451,1004,2.0486462116241455,0.2018159031867981,0.08365271985530853,3.056978940963745,0.0,1.0,,0.05051284270361066,-0.006603021174669266,12.230302810668945,131.12,0.14310340583324432,-0.0057647425914183256,0.27618321776390076,-0.2609174847602844,0.04450755938887596,0.6605584025382996,0.0012211734429001808,0.2101883888244629,0.4166666865348816,0.9219333529472351,0.06813075747340917,0.4135857820510864,0.7422486543655396,-0.00807100534439087,0.9360040426254272,0.31105470657348633,0.051527976989746094,15.129222393035889,0.02346564643085003,8.708333969116211,24.686220796
0.0002562890625000001,0.021330736577510834,0.7314815521240234,1784482241.0839384,1.9428361654281616,42239,0.48442208766937256,1005,2.0344669818878174,0.18687483668327332,0.08305424451828003,3.156940221786499,0.0,0.9583333730697632,,0.15091481637209653,-0.007133806124329567,12.7003173828125,152.57,0.17130160331726074,-0.009401988113404513,0.26862573623657227,-0.3020403981208801,0.05531702935695648,0.622162938117981,0.0015657078474760056,0.21015486121177673,0.2916666865348816,0.9148802757263184,0.0800750158727169,0.4131350517272949,0.7414692640304565,-0.008735919371247292,0.9335491061210632,0.292816162109375,0.06289654225111008,15.095675468444824,0.02804875746369362,8.041666984558105,27.16004633
0.00017085937500000009,0.023661402985453606,0.6666667461395264,1784482243.5830388,1.7711451053619385,41329,0.5558710098266602,1006,2.0827808380126953,0.18422356247901917,0.08000363409519196,2.9789881706237793,0.0,0.8333333730697632,,0.2291895680502057,-0.00854259543120861,11.941737174987793,184.45,0.20425349473953247,-0.005832862155511975,0.25935444235801697,-0.360236257314682,0.06391645222902298,0.5984089374542236,0.001803561463020742,0.22651290893554688,0.5416666865348816,0.9054720401763916,0.05692666061222553,0.41298165917396545,0.6938300132751465,-0.009440870955586433,0.9216107130050659,0.29573726654052734,0.076683908700943,15.083865118026733,0.033437035977840424,8.625,29.624476415
0.00017085937500000009,0.02646660804748535,0.6666667461395264,1784482246.0268428,1.9383573532104492,41967,0.5091959238052368,1007,2.047348976135254,0.20332735776901245,0.08388906717300415,3.132779598236084,0.0,0.8333333730697632,,0.38004016855731604,-0.008685817010700703,12.517881393432617,198.56,0.23079904913902283,-0.009706073685083538,0.2754974365234375,-0.40522027015686035,0.07439207285642624,0.6621888875961304,0.0020563702564686537,0.2243744134902954,0.3333333432674408,0.9316903948783875,0.06121407188475132,0.41245296597480774,0.7536144256591797,-0.01043991930782795,0.9222175478935242,0.2950146198272705,0.08646707236766815,15.054215478897095,0.04047265648841858,7.208333492279053,32.126293939
0.00017085937500000009,0.0252801813185215,0.6944445371627808,1784482248.5448768,1.78863525390625,40925,0.6419118046760559,1008,2.0840673446655273,0.18438535928726196,0.08225031197071075,2.978414535522461,0.0,1.0,,0.3694644230045378,-0.010918720625340939,12.188097953796387,231.35,0.2587476670742035,-0.007723695086315274,0.26424604654312134,-0.4566822648048401,0.08383675664663315,0.6089223623275757,0.0023942128755152225,0.22663180530071259,0.1666666716337204,0.8707525134086609,0.05023446045815945,0.41204404830932617,0.7027058601379395,-0.012310350313782692,0.9206579923629761,0.3179759979248047,0.09776073694229126,15.02643632888794,0.04589901491999626,7.875,34.592215801
