Episode_Reward/action_rate_l2,Metrics/motion/error_body_ang_vel,Episode_Termination/ee_body_pos,Episode_Reward/motion_body_lin_vel,Policy/mean_std,Metrics/motion/error_body_rot,Episode_Reward/motion_body_ori,Perf/total_fps,Metrics/motion/error_anchor_rot,Perf/learning_time,Metrics/motion/error_joint_vel,Metrics/motion/error_joint_pos,video,Episode_Reward/motion_body_ang_vel,Perf/collection_time,Metrics/motion/error_body_lin_vel,Metrics/motion/error_anchor_ang_vel,Episode_Reward/motion_global_root_ori,Episode_Termination/anchor_ori,Loss/learning_rate,Episode_Reward/motion_body_pos,Metrics/motion/sampling_top1_prob,Train/mean_episode_length,Episode_Reward/self_collisions,Metrics/motion/error_anchor_pos,Loss/surrogate,Episode_Reward/motion_global_root_pos,Episode_Termination/anchor_pos,Loss/entropy,_step,_timestamp,Metrics/motion/error_body_pos,_runtime,Loss/value,Episode_Termination/time_out,Train/mean_reward,Metrics/motion/error_anchor_lin_vel,Metrics/motion/sampling_top1_bin,Episode_Reward/joint_limit,Metrics/motion/sampling_entropy
-0.03535183146595955,3.7740466594696045,1.875,1.4183485745888902e-06,0.41541409492492676,0.324862003326416,1.1189904398634098e-06,21113,0.2508770227432251,0.581291675567627,14.658256530761719,1.0561676025390625,,1.3442149303377615e-11,4.0747621059417725,0.8449881076812744,2.2630133628845215,0.0003709172597154975,0.125,1e-05,0.0015973512781783938,0.15218868851661682,20.1,-0.004307751543819904,0.11788501590490341,0.0415537262102589,0.0012662096414715052,0.625,15.238956594467163,999,1784490123.8246787,1.9824217557907104,10.105834364,0.2785580694675446,8.041666984558105,-0.6246557712554932,0.6650769710540771,0.3888889253139496,-0.005913534667342901,0.9879550337791443
-0.08376096934080124,3.255685567855835,1.1666667461395264,2.4001237761694938e-05,0.41547104716300964,0.2880942225456238,6.509305308100011e-07,41256,0.21733775734901428,0.29835009574890137,12.968172073364258,1.0070297718048096,,8.662639355838664e-11,2.08441424369812,0.7609013319015503,1.9382246732711792,0.0013636965304613113,0.0416666679084301,5.062500000000001e-05,0.0033461092971265316,0.19592636823654175,42.64,-0.004884988069534302,0.225764662027359,-0.004511124035343528,0.002006844850257039,0.3333333432674408,15.248653554916382,1000,1784490126.308603,0.08686129748821259,14.756102036,0.25875605419278147,8.416666984558105,-0.9340810713171959,0.6341527700424194,0.6990741491317749,-0.0048913899809122086,0.9558732509613037
-0.1298634260892868,2.830967903137207,0.8333333730697632,0.0001287388731725514,0.4152907431125641,0.258626788854599,2.6296836495021125e-06,38060,0.17995679378509521,0.3139979839324951,11.322952270507812,0.8743546009063721,,1.9911029422448046e-11,2.268850326538086,0.6554362177848816,1.711944580078125,0.002890803851187229,0.0,0.00017085937500000006,0.005680616945028305,0.19748663902282715,64.77,-0.004613853991031647,0.3086313009262085,-0.00815741229453124,0.0019721360877156258,0.25,15.239261865615845,1001,1784490130.9730477,0.07972362637519836,17.223427319,0.22984640970826148,8.208333969116211,-1.4285758233070374,0.5709124803543091,0.708333432674408,-0.005298254545778036,0.9533418416976929
-0.17322036623954773,2.991579532623291,0.625,0.00020562787540256977,0.4151586890220642,0.24483251571655273,1.747601231727458e-06,41700,0.16529591381549835,0.2907745838165283,11.853631973266602,0.8749790191650391,,1.363182677849295e-09,2.0666120052337646,0.664857029914856,1.7132394313812256,0.004400024190545082,0.0,0.0002562890625000001,0.008874937891960144,0.207863450050354,87.75,-0.007387190125882626,0.3560645282268524,-0.00851088710478507,0.0024960911832749844,0.0833333358168602,15.231058025360108,1002,1784490133.4228647,0.07727493345737457,19.514362177,0.2009211540222168,7.625,-1.7942684775590896,0.5612945556640625,0.6666667461395264,-0.005365915596485138,0.9499835968017578
-0.2242623269557953,2.9437360763549805,0.625,0.0003298373194411397,0.4152461886405945,0.25101226568222046,4.893589903076645e-06,44678,0.17219673097133636,0.29260849952697754,11.98810863494873,0.8745061755180359,,1.4373744416928957e-09,1.9076685905456543,0.6668504476547241,1.7367274761199951,0.006254959385842085,0.0,0.0002562890625000001,0.012432224117219448,0.21130883693695068,113.14,-0.005061253439635038,0.4290287494659424,-0.008390125185542274,0.00293398997746408,0.375,15.229306030273438,1003,1784490135.7214096,0.07819278538227081,21.999081648,0.20526332929730415,8.041666984558105,-2.2522588002681734,0.5713659524917603,0.6666667461395264,-0.006866121198982,0.9425570368766785
-0.2664894461631775,3.0068471431732178,1.0416667461395264,0.00033933797385543585,0.41532617807388306,0.2653459906578064,6.707156899210531e-06,41209,0.18641269207000732,0.3122832775115967,12.19630241394043,0.9099556803703308,,1.0038209152796185e-09,2.0731754302978516,0.6982007026672363,1.765765905380249,0.007108238525688648,0.0,0.00011390625000000006,0.014004414901137352,0.21473407745361328,134.86,-0.007028604857623577,0.47704991698265076,-0.006840446568094194,0.002519815694540739,0.2916666865348816,15.241167783737183,1004,1784490138.211772,0.07996132224798203,24.367014891,0.16262231543660163,8.666666984558105,-2.7624829065799714,0.6002916097640991,0.6666667461395264,-0.007074297405779362,0.9355409145355225
-0.3065583109855652,3.118971586227417,0.7916666865348816,0.0004306468181312084,0.4152315855026245,0.26515981554985046,4.4728612920152955e-06,43490,0.19632238149642944,0.28595590591430664,12.556379318237305,0.9197471141815186,,1.2703642582323482e-09,1.9744179248809814,0.7130445837974548,1.8501999378204346,0.008330540731549263,0.0,0.0002562890625000001,0.01791365072131157,0.21643035113811493,156.36,-0.005584392696619034,0.48406779766082764,-0.008817573677515612,0.003144471440464258,0.2916666865348816,15.239412879943847,1005,1784490140.5710783,0.08293133229017258,26.845572858,0.15140501484274865,8.083333969116211,-3.1268030148744583,0.5792498588562012,0.6666667461395264,-0.007472620811313391,0.9292017817497253
-0.36396050453186035,3.007368803024292,0.875,0.00046542793279513717,0.4153224527835846,0.2619180679321289,7.023770649539074e-06,41242,0.18599393963813782,0.28943300247192383,12.076944351196289,0.9183981418609619,,7.417963465705668e-10,2.094102144241333,0.7008511424064636,1.8347415924072266,0.010044709779322147,0.0,0.0002562890625000001,0.0196880754083395,0.225750133395195,186.62,-0.009803567081689835,0.5341942310333252,-0.006184123433195054,0.003572585992515087,0.25,15.241336917877197,1006,1784490143.052168,0.08036211133003235,29.280679958,0.1339706927537918,8.625,-3.7040658593177795,0.5930321216583252,0.6666667461395264,-0.009191581979393959,0.9199375510215759
-0.4004904627799988,3.1504478454589844,1.0,0.000598770915530622,0.4152846038341522,0.2729114294052124,9.10221478989115e-06,42059,0.20352409780025482,0.2907993793487549,12.935893058776855,0.9712227582931519,,1.6778780587145548e-09,2.046477794647217,0.7565500140190125,1.9382216930389404,0.011700107716023922,0.0,0.0002562890625000001,0.02188435196876526,0.226959228515625,201.38,-0.00735828559845686,0.5225813984870911,-0.007819125457899645,0.004064821172505617,0.375,15.242139720916748,1007,1784490145.4851842,0.08683376759290695,31.646274729,0.12910725735127926,7.125,-3.9469138377904893,0.6374472379684448,0.6666667461395264,-0.009362900629639626,0.9153016805648804
-0.44995105266571045,3.1436805725097656,1.2083333730697632,0.0006578873144462705,0.4153662621974945,0.2665374279022217,9.0660232672235e-06,43322,0.1922292411327362,0.29593443870544434,12.610855102539062,0.911533772945404,,6.940627184093273e-09,1.9732012748718262,0.7505612373352051,1.8821971416473389,0.012409968301653862,0.0,0.0002562890625000001,0.02422168478369713,0.23367953300476074,223.78,-0.010801529511809349,0.6180669069290161,-0.007777858374174685,0.003453924087807536,0.2083333432674408,15.246490859985352,1008,1784490147.8516414,0.08629880845546722,34.150001253,0.12401085533201694,7.958333492279053,-4.497651662230492,0.6347168684005737,0.6944445371627808,-0.011156860738992691,0.9074832797050476
