Episode_Termination/time_out,Episode_Termination/anchor_ori,Metrics/motion/error_anchor_pos,Policy/mean_std,Loss/learning_rate,Metrics/motion/error_body_rot,Episode_Reward/motion_body_ang_vel,Metrics/motion/error_anchor_ang_vel,Episode_Termination/anchor_pos,Metrics/motion/error_body_lin_vel,Episode_Reward/action_rate_l2,Episode_Reward/motion_body_ori,Loss/value,Episode_Termination/ee_body_pos,Metrics/motion/error_anchor_rot,Loss/entropy,Metrics/motion/error_body_pos,Metrics/motion/error_body_ang_vel,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_lin_vel,Metrics/motion/sampling_top1_prob,Train/mean_reward,Metrics/motion/error_anchor_lin_vel,Episode_Reward/motion_global_root_ori,_step,Train/mean_episode_length,Metrics/motion/sampling_entropy,Episode_Reward/motion_global_root_pos,Episode_Reward/self_collisions,Loss/surrogate,Metrics/motion/error_joint_pos,Episode_Reward/joint_limit,Perf/learning_time,_timestamp,Perf/collection_time,_runtime,Metrics/motion/sampling_top1_bin,video,Metrics/motion/error_joint_vel,Perf/total_fps
8.041666984558105,0.125,0.11787425726652145,0.4152347445487976,1e-05,0.3249225616455078,0.0002359408827032894,2.2631654739379883,0.625,0.844672679901123,-0.03535410761833191,0.004131489433348179,0.1364692110568285,1.875,0.25087690353393555,15.229057264328002,1.982445240020752,3.7746167182922363,0.01675092801451683,0.0032034306786954403,0.15218868851661682,-0.10922243593260646,0.6648927927017212,0.005188915878534317,999,20.1,0.9879550337791443,0.007633750792592764,-0.0044392975978553295,0.04664460408966988,1.0562212467193604,-0.005888146813958883,0.5213000774383545,1784479555.4175951,4.078354358673096,10.158978652,0.3888889253139496,,14.653522491455078,21372
8.416666984558105,0.0416666679084301,0.22639593482017517,0.4151354730129242,5.062500000000001e-05,0.28964224457740784,0.0012479611905291677,1.9617319107055664,0.3333333432674408,0.762299656867981,-0.08371341228485107,0.012334519997239113,0.08278264440596103,1.1666667461395264,0.21758511662483215,15.231019639968872,0.08700146526098251,3.2520549297332764,0.04918833076953888,0.014199985191226006,0.19610828161239624,0.3697173555754125,0.6373056769371033,0.01736815832555294,1000,42.63,0.9557635188102722,0.016508670523762703,-0.005709623917937279,-0.004547073614958208,1.0049638748168945,-0.004864973481744528,0.30153965950012207,1784479557.859041,2.045403242111206,15.030112894,0.6990741491317749,,12.930697441101074,41885
8.208333969116211,0.0,0.31618303060531616,0.41441258788108826,0.00017085937500000006,0.27865803241729736,0.002469522412866354,1.7684849500656128,0.375,0.6894288063049316,-0.1298183649778366,0.02191663533449173,0.10311163738369941,0.875,0.20310673117637634,15.194434022903442,0.0848889946937561,2.9591586589813232,0.08013571053743362,0.028184061869978905,0.19589924812316895,0.399657927621156,0.5951184630393982,0.029919028282165527,1001,64.37,0.9534482955932617,0.0200758408755064,-0.004007244948297739,-0.008239987684646621,0.9102331399917603,-0.006085525266826153,0.31018519401550293,1784479562.7415416,2.4276700019836426,17.473513232,0.7546296119689941,,11.915884017944336,35905
7.625,0.0,0.363697350025177,0.41370296478271484,0.0002562890625000001,0.2497948259115219,0.004358386155217886,1.7147490978240967,0.0416666679084301,0.683627724647522,-0.17428629100322723,0.034473542124032974,0.08146672919392586,0.7916666865348816,0.16631433367729187,15.142782306671142,0.07806558907032013,3.0525426864624023,0.11837305873632431,0.046348415315151215,0.19759297370910645,0.9907648792862892,0.5732649564743042,0.04711811989545822,1002,88.49,0.9493919610977173,0.02376905456185341,-0.008203793317079544,-0.009839068527799099,0.8806657791137695,-0.005913532804697752,0.31818580627441406,1784479565.1918838,2.016637086868286,20.032335969,0.7592593431472778,,12.109535217285156,42103
8.041666984558105,0.0,0.4168282151222229,0.4132749140262604,0.0002562890625000001,0.24126872420310974,0.006040253676474094,1.724562406539917,0.2916666865348816,0.6260395050048828,-0.22313866019248962,0.0465952605009079,0.061532941088080405,0.625,0.1616039127111435,15.10561466217041,0.07385838031768799,2.8845133781433105,0.15310093760490417,0.06316808611154556,0.21358804404735565,1.3549296534620225,0.5373088717460632,0.06035172939300537,1003,112.27,0.93950355052948,0.026965443044900894,-0.005129195284098387,-0.006588057389308233,0.8408389091491699,-0.006399897392839193,0.31086134910583496,1784479567.7421615,2.133089065551758,22.404206133,0.7777778506278992,,11.921358108520508,40223
8.666666984558105,0.0,0.48934707045555115,0.4127660393714905,0.00017085937500000009,0.2660887837409973,0.007374330423772335,1.8083900213241577,0.5,0.724089503288269,-0.26576584577560425,0.055478524416685104,0.04972402900457382,0.9166666865348816,0.18995317816734314,15.071080636978149,0.08073590695858002,3.0488317012786865,0.1820862740278244,0.07641701400279999,0.21994799375534058,1.3326269805245101,0.6402841210365295,0.07064976543188095,1004,132.61,0.9364701509475708,0.026319697499275208,-0.006654408760368824,-0.008069574006367475,0.9010724425315857,-0.00813362281769514,0.28708958625793457,1784479570.102676,1.9786887168884277,24.908807963,0.7777778506278992,,12.308935165405273,43386
8.041666984558105,0.0416666679084301,0.49139174818992615,0.4120829701423645,0.00017085937500000009,0.2682724595069885,0.008793909102678299,1.8583769798278809,0.0833333358168602,0.722403883934021,-0.3044006824493408,0.06458523869514465,0.05111283641308546,1.0833333730697632,0.1984100192785263,15.027605390548706,0.08283495157957077,3.158342123031616,0.21074697375297546,0.09084930270910263,0.2119172066450119,1.6401289154589176,0.580721914768219,0.08337575197219849,1005,154.54,0.9355770945549011,0.029782023280858994,-0.006714362185448408,-0.009827836963813752,0.9352824091911316,-0.008458320051431656,0.31534457206726074,1784479572.6205845,2.094672918319702,27.456712386,0.7546296119689941,,12.49563217163086,40789
8.625,0.0,0.5443571209907532,0.41154590249061584,0.0002562890625000001,0.26340386271476746,0.010017979890108109,1.964900255203247,0.4166666865348816,0.7466835379600525,-0.3559745252132416,0.07634591311216354,0.05095528755337,1.125,0.1861080825328827,14.9826171875,0.0823306143283844,3.1980395317077637,0.2463514804840088,0.10390253365039825,0.21854722499847412,2.01065903827548,0.6289640665054321,0.09908616542816162,1006,178.35,0.9277688264846802,0.03266633301973343,-0.008432852104306221,-0.00953873535618186,0.9212768077850342,-0.01032189279794693,0.31278109550476074,1784479575.1748085,2.1240196228027344,29.974980948,0.6712963581085205,,12.51725959777832,40341
7.1666669845581055,0.0,0.5137621760368347,0.4109497368335724,0.00011390625000000006,0.274580180644989,0.01119746919721365,1.9106944799423218,0.3333333432674408,0.7382003664970398,-0.3989923894405365,0.0880270004272461,0.04115813039243221,0.9583333730697632,0.20015357434749603,14.946423435211182,0.08453407883644104,3.131354331970215,0.2770764231681824,0.11822587251663208,0.22488945722579956,2.4197924126125874,0.6519335508346558,0.1111302375793457,1007,197.59,0.9195337295532227,0.03738204017281532,-0.011158759705722332,-0.008544440722835134,0.9198452830314636,-0.010889681056141853,0.3023703098297119,1784479577.678519,2.1021721363067627,32.375300841,0.6759259700775146,,12.595945358276367,40882
7.75,0.0416666679084301,0.6468316316604614,0.41034355759620667,0.00017085937500000009,0.24261054396629333,0.013856219127774239,1.731241226196289,0.2083333432674408,0.674748420715332,-0.45631158351898193,0.10403621196746826,0.03708353266119957,0.875,0.16871720552444458,14.902122735977173,0.0781642273068428,2.917935848236084,0.3211159110069275,0.13975663483142853,0.23736682534217834,2.799858394563198,0.584023118019104,0.13009749352931976,1008,230.65,0.911649227142334,0.036564625799655914,-0.010099356062710285,-0.009744659427087753,0.8438305854797363,-0.010727055370807648,0.2909557819366455,1784479580.0762005,2.010284662246704,34.959542307,0.7592592239379883,,11.979342460632324,42717
