method,tracker_name,motion_name,source_motion_pkl,output_pkl,video_path,success,failure_reason,duration_completed_ratio,mean_joint_position_error,max_joint_position_error,mean_joint_velocity_error,max_joint_velocity_error,mean_root_position_error,max_root_position_error,mean_root_rotation_error,max_root_rotation_error,mean_ctrl,max_ctrl,mean_torque,max_torque,mean_jerk,foot_slip_score,ground_penetration_depth,root_height_min,root_height_mean,root_height_max,kp,kd,torque_clip,time_scale,smooth_window,target_blend,root_height_offset,extra_joint_damping,score
pd_tracking,gmr_pd_tracking,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,08_04_unitree_g1_gmr.pkl,outputs/final product/pkl/08_04_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,08_05_unitree_g1_gmr.pkl,outputs/final product/pkl/08_05_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,09_01_unitree_g1_gmr.pkl,outputs/final product/pkl/09_01_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,09_12_unitree_g1_gmr.pkl,outputs/final product/pkl/09_12_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,10_01_unitree_g1_gmr.pkl,outputs/final product/pkl/10_01_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,13_01_unitree_g1_gmr.pkl,outputs/final product/pkl/13_01_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,13_11_unitree_g1_gmr.pkl,outputs/final product/pkl/13_11_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
pd_tracking,gmr_pd_tracking,13_17_unitree_g1_gmr.pkl,outputs/final product/pkl/13_17_unitree_g1_gmr.pkl,,,False,final validation failed with returncode=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0
