time_s,global_body_position_error,root_relative_body_position_error,scale_normalised_body_position_error,end_effector_error,root_height,pelvis_root_position_error,torso_position_error,head_position_error,left_shoulder_position_error,right_shoulder_position_error,left_elbow_position_error,right_elbow_position_error,left_hand_position_error,right_hand_position_error,left_hip_position_error,right_hip_position_error,left_knee_position_error,right_knee_position_error,left_foot_position_error,right_foot_position_error,root_trajectory_error,root_vertical_error,root_heading_error_deg,body_orientation_error_deg,mean_joint_jerk,maximum_joint_jerk,root_linear_jerk,root_angular_jerk,discontinuity,left_foot_contact,right_foot_contact,left_foot_sliding_velocity,right_foot_sliding_velocity,ground_penetration_depth,self_collision_pair_count,joint_limit_violation_count
0.0,2.2512848963474204,0.20618414419690118,0.11124280991309818,0.11127645107527603,0.7654247069896427,0.07906530781437959,0.11482242642143999,0.04648199480901149,0.1327687553201756,0.13341937318910205,0.14814596573801525,0.16338492877847968,0.14130340162680527,0.18570203045896352,0.06340634955961182,0.05430054839188282,0.11646748990528397,0.10647874820172173,0.09546146178473977,0.0874333666968601,0.0,0.13623823875773278,0.0,1.0063327567740753e-14,5391.379716294309,59984.64270787377,62.490249170942626,62290.9757483725,0,0,1,0.0,0.0,0.018648648932198343,1,2
0.03333333333333333,2.248385897015677,0.2083745174372785,0.10970733507604412,0.09925481209926054,0.7629579855511003,0.0770944633135512,0.12419895354814048,0.04059399518738271,0.1341750681127488,0.1436357402817726,0.1448736950629182,0.1371252647442073,0.13731645562971562,0.13902547217725894,0.07739804120812718,0.09087835936427237,0.1227333468259049,0.09722303318271615,0.08751513072268807,0.09182300677925741,0.00926061131659192,0.1387367294719405,39.039008852135076,26.866569397903607,3424.8442424094433,19642.464924819305,78.66804115594341,29872.421817951345,1,0,1,0.0,0.9761260963030456,0.02125634939953396,3,4
0.06666666666666667,2.248114360852242,0.20918213421063372,0.11001591470890808,0.09953783593625185,0.7630184521032579,0.07743930010936415,0.12630797761061938,0.04023477938477441,0.13096509382283741,0.1417147508132118,0.14286550900887243,0.13664434094832936,0.13461053010199606,0.1435400593261942,0.08202499300253703,0.09830387693751513,0.12109270821832106,0.09519099048075419,0.08795148948442102,0.09135232138387346,0.011607715739965259,0.13863048655259536,42.849765462491284,32.52909647413633,2678.2239240281215,14264.18728293556,89.08498358064755,1180.112467201644,0,0,0,0.0,0.0,0.02303530573273347,3,4
0.1,2.248232806229045,0.20927000510669622,0.11012498213438895,0.09821131167619615,0.7625160415832859,0.07691079789001412,0.12660145257549568,0.040018426000850205,0.1304697339533624,0.14197663176857875,0.144183629415617,0.13643696031238228,0.13069998854105772,0.14370145288284497,0.08241109701874692,0.09926822827582381,0.12734281597631225,0.0952168264485205,0.08537579116014755,0.09126089979608029,0.010365936958850797,0.13889388244701806,40.30499523546975,44.985277063245114,1081.100534611054,3554.8459881456088,39.307437367964674,6385.581928018642,1,1,1,0.0,0.0,0.03152398115469844,3,4
0.13333333333333333,2.248501996515457,0.2088685218471516,0.10960856358341774,0.09803384819723862,0.762578792536236,0.0773130651335769,0.1265012160618552,0.040721489252902206,0.12815478820703688,0.14084659966266977,0.14467855972899615,0.13894475935662381,0.1276182614696313,0.14283400553124034,0.08348962686050998,0.09892577482636436,0.12007588334190449,0.09502893958553556,0.08751857399910325,0.09147691073331603,0.012328359248505678,0.13866221193077455,42.01843177683999,44.02975636556166,1079.5435577001533,21365.075380388047,8.064616618965498,512.0039563544192,1,0,1,0.0,0.01641924597391878,0.03157667871147133,3,4
0.16666666666666666,2.2486486790185936,0.20898006984160739,0.10976048199194459,0.09815463532921208,0.7624671664105178,0.07721334488562005,0.12637611287119122,0.04111427220305266,0.12843804101950665,0.14187933743088071,0.14501930588555417,0.13880331805334536,0.12748178274729985,0.14283685952023856,0.08397737795978737,0.0993430251670736,0.11976922594603309,0.0948149640141164,0.08773347512417658,0.09160678705129274,0.012454146200693506,0.138743499292302,41.9215004749038,40.48199279065572,441.8856938096856,6329.752573640484,2.3248717868333353,380.97629861397536,0,1,1,0.0,0.006171856926946592,0.031203150086914808,3,4
0.2,2.2486545126750666,0.20912273989150912,0.1098848148563841,0.09834785216928736,0.7624669239283421,0.07710220498759435,0.1263769361639915,0.04126574737450401,0.12826797776505577,0.1421923909658162,0.14555463275017957,0.13864726374185032,0.12775329283710055,0.14376510940876025,0.0844111183348759,0.09979505581295259,0.11954644869609732,0.09463893278091128,0.08729959729266991,0.0916555139334021,0.012565369903794706,0.13887826945773574,41.1359852230843,40.949094842681625,319.2800539158648,5992.56712892423,5.972353498088218,183.17415435983148,0,1,1,0.08343856931536453,0.0033208366716798382,0.03042570341690042,3,4
0.23333333333333334,2.248877423738688,0.20898560315939063,0.10978978194198401,0.09775806880458544,0.7624573598987249,0.0769515930680825,0.12641085226755022,0.041547422595601964,0.12855737888573887,0.1428414817932222,0.14600070041623386,0.13853539581189292,0.12667892631728958,0.1421387355843345,0.08458313590798995,0.10018908019884892,0.11948846657520708,0.09449830018206619,0.08669259057099535,0.0917326689547058,0.012427387795577574,0.13900209559138743,40.345211794951005,40.64097032110259,167.80652643451228,1493.5090013886363,1.3818738664152643,49.1870764257783,0,1,1,0.10368316998044522,0.002727387597292309,0.02996864089090446,2,4
0.26666666666666666,2.2489464898890947,0.2089157608339368,0.10974799806143798,0.09738363952377638,0.7624337648342006,0.0768450524700345,0.1264867525793318,0.04175898216608709,0.12831291287297658,0.142750160221933,0.14625215842948172,0.139340754204325,0.1261261571319099,0.14114583528940652,0.08480733985372872,0.10067482963745417,0.11940252732959353,0.09442928570382848,0.08602191564854879,0.09186530738292958,0.012412819402148344,0.13908195744057972,39.43485374747907,40.343351183374594,62.602643682920714,470.6129309128827,1.6535190457314763,63.92375094309008,0,1,1,0.11310883803331748,0.004337455951043312,0.029586910677860054,3,3
0.3,2.2490017737928003,0.2089405853384789,0.10977375156430555,0.09734697369852145,0.7624069070052102,0.07677956714100725,0.12644401446417136,0.04213493489394676,0.12798981134131274,0.14275919067249004,0.14642105874951192,0.1394742874437241,0.12563709194609074,0.14154726040752302,0.08505529106972559,0.10111265304682819,0.11946445690840087,0.09437107413480382,0.08546273804701164,0.09195284319803512,0.012331913284256375,0.13907299287806008,38.81149405960793,40.49689393164901,35.834100189436136,353.0145163948469,1.344519076493101,54.59333064932568,0,1,1,0.05440524877184856,0.009518358676032538,0.029558020098003335,2,3
