Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,0,-1.0001621778309344,8.25,0.9992867112159729,0.06182185932993889,0.22523626685142517,0.07945854216814041,0.5225486755371094,1.1978123188018799,9.294900894165039,51.79630661010742,0.02397128939628601,0.08840876817703247,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.375
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,1,-1.233309614956379,9.34,0.9986032247543335,0.06736825406551361,0.2379346787929535,0.0859079584479332,0.5670255422592163,1.2346441745758057,9.199576377868652,53.55878829956055,0.024596121162176132,0.09960488975048065,0.125,6.0,0.7083333730697632,493.5
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,2,-0.5310582062602043,6.79,0.9966298937797546,0.06763654202222824,0.2367907613515854,0.08599019050598145,0.5670726299285889,1.2361817359924316,9.191469192504883,53.28205108642578,0.024024978280067444,0.0991024598479271,0.0,5.625,0.375,492.625
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,3,-0.846274909377098,7.98,0.9935983419418335,0.06742304563522339,0.23746037483215332,0.08579878509044647,0.5695935487747192,1.237476110458374,9.232280731201172,52.82110595703125,0.024176649749279022,0.08803766965866089,0.0,5.4166669845581055,0.5416666865348816,493.375
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,4,-0.6357510317116976,7.11,0.9894996881484985,0.06695839762687683,0.23390600085258484,0.08512401580810547,0.5686031579971313,1.2393275499343872,9.244123458862305,52.20052719116211,0.02394205331802368,0.07915130257606506,0.0,4.458333492279053,0.6666666865348816,500.5833435058594
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,5,-0.7103430332243442,7.52,0.9850808382034302,0.06712047755718231,0.23616334795951843,0.08568086475133896,0.5694311857223511,1.240065574645996,9.239788055419922,51.62791442871094,0.024340931326150894,0.0804070234298706,0.0,5.125,0.2083333432674408,500.41668701171875
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,6,-0.7383420947194099,8.4,0.979388415813446,0.06654714047908783,0.23478767275810242,0.08501338958740234,0.5676094889640808,1.2397754192352295,9.244359970092773,50.93110656738281,0.0241264458745718,0.07037908583879471,0.0,4.833333492279053,0.2083333432674408,505.5833435058594
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,7,-0.9474136421084404,9.07,0.973065972328186,0.06597527861595154,0.23520147800445557,0.08466696739196777,0.5645361542701721,1.2392933368682861,9.226188659667969,49.99327087402344,0.023915356025099754,0.06278763711452484,0.0,4.708333492279053,0.3333333432674408,511.4583435058594
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,8,-0.5707389928400517,7.5,0.9669340252876282,0.06582756340503693,0.23284843564033508,0.08423285186290741,0.5629663467407227,1.2426602840423584,9.235184669494629,48.94721221923828,0.024318305775523186,0.0588393360376358,0.0,4.208333492279053,0.4166666865348816,517.2083740234375
No joint limit,6gq87ju7,2026-07-17_18-39-32_05_04_gmr_no_joint_limit_seed_42_iter_1000_20260717T143245Z,9,-0.6096569418162108,7.6,0.9624993205070496,0.06521227210760117,0.23219966888427734,0.0840529203414917,0.561896800994873,1.2432925701141357,9.217753410339355,47.957054138183594,0.02429470233619213,0.05542948842048645,0.0,4.708333492279053,0.3333333432674408,523.25
