Configuration,Run ID,Checkpoint path,Checkpoint exists,Deserialization successful,Checkpoint iteration,actor_state_dict exists,critic_state_dict exists,optimizer_state_dict exists,distribution.std_param exists,Action dimension,Policy std from checkpoint,Checkpoint std across-action SD,Checkpoint std minimum,Checkpoint std maximum,Checkpoint SHA256,Error
Full,p5jxr34o,/mnt/d/GMR_WORK/mjlab/wandb/run-20260705_111629-p5jxr34o/files/model_999.pt,True,True,999,True,True,True,True,29,0.4011688705148368,0.06398755276238502,0.30341100692749023,0.5390875935554504,92ec359386a1b61612cd5b690d56e630377e6c273299516bb040c11b532d75f6,
No global root,09yrh4qp,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_153520-09yrh4qp/files/model_999.pt,True,True,999,True,True,True,True,29,0.36758120614906836,0.062208604914469216,0.2830168902873993,0.5180349946022034,e8ce9160c97d8c5ea4e9dc4ec994f6a59442a8f047e53fc4bb9886cadd501f4b,
No body pose,y84gf3sj,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_161923-y84gf3sj/files/model_999.pt,True,True,999,True,True,True,True,29,0.3410275331858931,0.0524830682240612,0.2702281177043915,0.46645814180374146,09cf3b232a7e311d7540a26b052cdbc06a8e17611ad398d547dc2ee111e4b48c,
No velocity,6rlspqk0,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_170512-6rlspqk0/files/model_999.pt,True,True,999,True,True,True,True,29,0.3688764325503645,0.04654636144756754,0.3092931807041168,0.46361038088798523,43dcd8f6c679e8cd38dddbc73a92363e3535ae2ac8e4b1008b10b07540e32170,
No action rate,p6vbd18i,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_175045-p6vbd18i/files/model_999.pt,True,True,999,True,True,True,True,29,1.5542466578812435,0.6722094261668898,0.7139081358909607,2.8599865436553955,f5a7de8e08490700cad1b48af672b260c957279d94ce60e2a75e65da706e4b00,
No joint limit,6gq87ju7,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_183943-6gq87ju7/files/model_999.pt,True,True,999,True,True,True,True,29,0.4222550957367338,0.06850174167208549,0.2938462495803833,0.5732389688491821,0935db88be748580a0608854831d4c2fb07304686a366cb7735dd5c4a193e618,
No self collision,q2l4sxxn,/mnt/d/GMR_WORK/mjlab/wandb/run-20260717_193105-q2l4sxxn/files/model_999.pt,True,True,999,True,True,True,True,29,0.39304882287979126,0.06959142467685966,0.2897343039512634,0.5535720586776733,2a490a32e9e389c39e8176a0c3e8c8ed691ba6d996d380f670ee594d3e778c5d,
