Configuration,Run ID,Run name,_step,Train/mean_reward,Train/mean_episode_length,Policy/mean_std,Episode_Metrics/root_position_error,Episode_Metrics/root_orientation_error,Episode_Metrics/body_position_error,Episode_Metrics/body_orientation_error,Episode_Metrics/body_linear_velocity_error,Episode_Metrics/body_angular_velocity_error,Episode_Metrics/action_rate_l2_raw,Episode_Metrics/joint_limit_raw,Episode_Metrics/self_collision_raw,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,0,-1.157920930981636,8.25,0.9994406700134277,0.06182295083999634,0.22523963451385498,0.07945844531059265,0.5225490927696228,1.197817087173462,9.294885635375977,51.79632568359375,0.023971078917384148,0.08840543031692505,3.5416667461395264,2.7083334922790527,0.2083333432674408,419.375
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,1,-1.1489257097244263,8.33,0.9986340999603271,0.06725530326366425,0.23789605498313904,0.08582817763090134,0.5670366287231445,1.2356109619140625,9.208613395690918,53.62956237792969,0.024206629022955894,0.0988866537809372,0.125,6.0416669845581055,0.7083333730697632,493.7083435058594
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,2,-1.0056278479099274,7.94,0.9958193302154541,0.06731882691383362,0.23634272813796997,0.08583948016166687,0.5677158236503601,1.235087513923645,9.194486618041992,53.21650695800781,0.0231457706540823,0.09593545645475388,0.0,5.7916669845581055,0.625,495.5
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,3,-0.944006336927414,7.77,0.9930563569068909,0.06718087941408157,0.2368815392255783,0.08558472245931625,0.5691324472427368,1.2372615337371826,9.223308563232422,52.80242156982422,0.022742636501789093,0.08740117400884628,0.0,5.375,0.625,492.0
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,4,-0.9537346878647804,8.03,0.9903008341789246,0.06701186299324036,0.23472344875335693,0.08500462770462036,0.5680290460586548,1.2387676239013672,9.232717514038086,52.28657531738281,0.022408565506339073,0.08111779391765594,0.0,4.6666669845581055,0.3333333432674408,504.5
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,5,-1.0284516589343549,8.58,0.986366331577301,0.06666159629821777,0.2351660132408142,0.08533626794815063,0.568530261516571,1.2411397695541382,9.247961044311523,51.764129638671875,0.021748244762420654,0.08030243217945099,0.0,5.375,0.2916666865348816,501.75
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,6,-0.8619337004423141,7.57,0.9821094274520874,0.0666508898139,0.23490777611732483,0.08491486310958862,0.5676554441452026,1.2398215532302856,9.255422592163086,51.12998580932617,0.02124851569533348,0.07526913285255432,0.0,4.375,0.1666666716337204,505.75
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,7,-0.8222058072686196,7.28,0.977821409702301,0.06617355346679688,0.234566792845726,0.08481769263744354,0.5663493871688843,1.241469144821167,9.241328239440918,50.42333221435547,0.020287731662392616,0.06716392189264297,0.0,5.375,0.4166666865348816,513.4166870117188
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,8,-0.8440625217556953,8.41,0.9723605513572693,0.06572432816028595,0.2347995638847351,0.08432094752788544,0.5649136900901794,1.2437926530838013,9.25141716003418,49.66374969482422,0.019939254969358444,0.06089647859334946,0.0,4.083333492279053,0.3333333432674408,517.1666870117188
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,9,-0.7183621661365032,7.29,0.9664983749389648,0.06589724868535995,0.2340567409992218,0.08402436971664429,0.5632140040397644,1.2449486255645752,9.236518859863281,48.86246871948242,0.019225986674427986,0.057315945625305176,0.0,3.9166667461395264,0.5,531.125
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,10,-0.7652314272522927,7.42,0.960629403591156,0.06471120566129684,0.23340696096420288,0.08347471058368683,0.5597242116928101,1.245263934135437,9.240671157836914,47.962371826171875,0.018185770139098167,0.05150224268436432,0.0,3.8333334922790527,0.5,530.0833740234375
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,11,-0.7029525667428971,7.43,0.9543818235397339,0.06487399339675903,0.2330876588821411,0.08324906975030899,0.5581111907958984,1.2488675117492676,9.238432884216309,47.13651657104492,0.01794050820171833,0.046656519174575806,0.0,3.0,0.375,542.0416870117188
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,12,-0.6864794175326824,6.88,0.9495791792869568,0.06343407928943634,0.23122316598892212,0.08301545679569244,0.5568053126335144,1.2478089332580566,9.229076385498047,46.1805419921875,0.017132017761468887,0.04352038353681564,0.0,3.0,0.5833333730697632,541.25
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,13,-0.7570600831508636,8.06,0.9413518905639648,0.06383009254932404,0.2345203012228012,0.08264537900686264,0.5540964603424072,1.2494785785675049,9.227509498596191,45.339996337890625,0.016802944242954254,0.03830023109912872,0.0,2.75,0.6666666865348816,551.2083740234375
No global root,09yrh4qp,2026-07-17_15-35-08_05_04_gmr_no_global_root_seed_42_iter_1000_20260717T143245Z,14,-0.5966634769737721,7.25,0.9348775744438171,0.06349179148674011,0.23305261135101318,0.08231565356254578,0.5518389940261841,1.250156044960022,9.201534271240234,44.10668182373047,0.016154859215021133,0.033728472888469696,0.0,2.2916667461395264,0.625,555.0
