Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
No global root,09yrh4qp,42,Episode_Termination/anchor_ori,100,100,0.000416666679084301,0.00416666679084301,0.0,0.0416666679084301,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No global root,09yrh4qp,42,Episode_Termination/ee_body_pos,100,100,18.652500495910644,1.3467107734617105,15.958333969116211,21.666667938232422,18.541666984558105,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Train/mean_reward,100,100,2.7883922986344434,0.33146747716416447,2.0619843538478015,3.805512142684311,2.7584132449887693,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Train/mean_episode_length,100,100,137.3078,13.842694355879678,106.64,182.53,136.125,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Policy/mean_std,100,100,0.3374056312441826,0.0022583532707993663,0.33320969343185425,0.3410615622997284,0.3372804969549179,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/root_position_error,100,100,0.23508036360144616,0.004616712444816647,0.2219328135251999,0.24738848209381104,0.2348761036992073,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/root_orientation_error,100,100,0.1437741957604885,0.0017116672034680565,0.13973037898540497,0.1478780061006546,0.1438453197479248,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/body_position_error,100,100,0.09935832396149635,0.0007646994770245702,0.09770335257053375,0.10106806457042694,0.09927554428577423,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/body_orientation_error,100,100,0.6253387868404389,0.00533986697196994,0.6135631799697876,0.639266848564148,0.6250739991664886,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/body_linear_velocity_error,100,100,0.7706314843893051,0.010178331010448394,0.7470823526382446,0.7954105138778687,0.769502729177475,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/body_angular_velocity_error,100,100,3.4748118996620176,0.02813876079031827,3.3846964836120605,3.547374725341797,3.4725735187530518,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/action_rate_l2_raw,100,100,6.678506784439087,0.10121778380320935,6.468897819519043,6.8533782958984375,6.67410135269165,900.0,999.0,Temporal SD within one run; not cross-seed SD
