Configuration,Action rate raw mean,Action rate raw temporal SD,Action rate change vs Full (%),Action rate absolute difference vs Full,Joint-limit raw mean,Joint-limit raw temporal SD,Joint-limit change vs Full (%),Joint-limit absolute difference vs Full,Self-collision raw mean,Self-collision raw temporal SD,Self-collision change vs Full (%),Self-collision absolute difference vs Full,Policy mean std from W&B,Policy mean std temporal SD,Policy std from checkpoint,Checkpoint std across-action SD,Checkpoint std minimum,Checkpoint std maximum
Full,,,,,,,,,,,,,0.40265885680913927,0.0010212232316857736,0.4011688705148368,0.06398755276238502,0.30341100692749023,0.5390875935554504
No global root,8.337305002212524,0.08141463450216928,,,0.005045407121069729,0.0004739059929249428,,,0.0025883329403586686,0.001420849957506227,,,0.3662834650278091,0.0017034812671629957,0.36758120614906836,0.062208604914469216,0.2830168902873993,0.5180349946022034
No body pose,6.678506784439087,0.10121778380320935,,,0.0036858874466270206,0.00033628782368979785,,,0.0017363464209483937,0.0007344561395193099,,,0.3374056312441826,0.0022583532707993663,0.3410275331858931,0.0524830682240612,0.2702281177043915,0.46645814180374146
No velocity,7.99992124080658,0.035812466733967915,,,0.004259276408702135,0.0002898108667614109,,,0.0029772870417218654,0.0015716676474731234,,,0.36909303545951844,0.00040977463474290305,0.3688764325503645,0.04654636144756754,0.3092931807041168,0.46361038088798523
No action rate,335.27831878662107,4.619078519669055,,,0.00518954151077196,0.0006466678191927666,,,0.0019054695952218025,0.002505724767693478,,,1.5380267524719238,0.009375856193307615,1.5542466578812435,0.6722094261668898,0.7139081358909607,2.8599865436553955
No joint limit,10.728398885726929,0.0462034801136924,,,0.2341832421720028,0.00417763679928645,,,0.0028815605526324364,0.000960514408716139,,,0.42332764238119125,0.0008508650979840812,0.4222550957367338,0.06850174167208549,0.2938462495803833,0.5732389688491821
No self collision,9.866602716445923,0.05612359953250623,,,0.006979320296086371,0.0005057223833947975,,,0.11317683421075345,0.011915714409798215,,,0.3963077077269554,0.001707755748464258,0.39304882287979126,0.06959142467685966,0.2897343039512634,0.5535720586776733
