Configuration,Root position error mean,Root position error temporal SD,Root position error change vs Full (%),Root position error absolute difference vs Full,Root orientation error mean,Root orientation error temporal SD,Root orientation error change vs Full (%),Root orientation error absolute difference vs Full,Body position error mean,Body position error temporal SD,Body position error change vs Full (%),Body position error absolute difference vs Full,Body orientation error mean,Body orientation error temporal SD,Body orientation error change vs Full (%),Body orientation error absolute difference vs Full,Linear velocity error mean,Linear velocity error temporal SD,Linear velocity error change vs Full (%),Linear velocity error absolute difference vs Full,Angular velocity error mean,Angular velocity error temporal SD,Angular velocity error change vs Full (%),Angular velocity error absolute difference vs Full,Mean episode length,Episode length temporal SD,Max episode length from config,Normalized episode length,Episode length change vs Full (%),Episode length absolute difference vs Full
Full,,,,,,,,,,,,,,,,,,,,,,,,,220.03740000000002,18.486934650386928,500,0.44007480000000004,0.0,0.0
No global root,0.3296462309360504,0.01407948578022532,,,0.3260767287015915,0.006636911084672398,,,0.08682688973844051,0.000978543120096038,,,0.38755268454551695,0.004644194625861561,,,0.7967119026184082,0.012829592624017094,,,3.3747598791122435,0.02601555133341078,,,182.31890000000004,15.284312211803277,500,0.36463780000000007,-17.141858611308795,-37.71849999999998
No body pose,0.23508036360144616,0.004616712444816647,,,0.1437741957604885,0.0017116672034680565,,,0.09935832396149635,0.0007646994770245702,,,0.6253387868404389,0.00533986697196994,,,0.7706314843893051,0.010178331010448394,,,3.4748118996620176,0.02813876079031827,,,137.3078,13.842694355879678,500,0.27461559999999996,-37.597971981126854,-82.72960000000003
No velocity,0.34494960963726046,0.009118114273558513,,,0.16800277233123778,0.0021346005622240793,,,0.09171631693840027,0.001165669033819939,,,0.4628802162408829,0.0066311196920195645,,,0.8572637408971786,0.013040685780645425,,,4.221015019416809,0.035650219784738264,,,199.5093,17.903396735160776,500,0.3990186,-9.32936855280058,-20.528100000000023
No action rate,0.2914727863669395,0.011396473151108049,,,0.12806911811232566,0.002500274649111094,,,0.08344658382236958,0.0008324962449207242,,,0.540357518196106,0.007269763826854107,,,0.8489778810739517,0.009095489209970916,,,9.389617757797241,0.043430174691314355,,,465.34460000000007,10.499646787709894,500,0.9306892000000001,111.48432039280596,245.30720000000005
No joint limit,0.3257980334758759,0.008399225902499034,,,0.1785693347454071,0.0029349374797911967,,,0.08416937008500099,0.0010694398829005894,,,0.4015554696321487,0.004235682934440237,,,0.7835284036397934,0.011327114543937505,,,3.602199378013611,0.02682805075393191,,,204.93589999999998,17.326171311433214,500,0.40987179999999995,-6.863151446072369,-15.101500000000044
No self collision,0.35102166622877123,0.009244887536078618,,,0.16342948943376542,0.002604319467893093,,,0.07872796133160591,0.0012205451694669164,,,0.3701029402017593,0.006086582491607594,,,0.7369721776247025,0.013012758434373327,,,3.4502190828323362,0.03390018322141073,,,266.61799999999994,21.795094712695178,500,0.5332359999999998,21.169401201795658,46.58059999999992
