Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
No global root,09yrh4qp,0,0.08431577682495117,0.2829311192035675,2.0222630500793457,0.786424994468689,1.3881667852401733,8.903966903686523,-0.07383738458156586,-0.003713567741215229,-0.025061260908842087
No global root,09yrh4qp,1,0.09740447998046875,0.31154322624206543,0.12688273191452026,0.786919116973877,1.477453589439392,9.140069007873535,-0.09007126092910767,-0.004778179340064526,-0.03646130487322807
No global root,09yrh4qp,2,0.09744297713041306,0.30971401929855347,0.12726394832134247,0.7886204719543457,1.4790939092636108,9.113672256469727,-0.08964893221855164,-0.0045734127052128315,-0.034468330442905426
No global root,09yrh4qp,3,0.09739487618207932,0.3086780309677124,0.12671779096126556,0.789731502532959,1.4800879955291748,9.123446464538574,-0.0883149802684784,-0.004452609457075596,-0.030812185257673264
No global root,09yrh4qp,4,0.09633015096187592,0.3062394857406616,0.1258257031440735,0.7881032824516296,1.481062650680542,9.131476402282715,-0.08660291880369186,-0.004358864855021238,-0.028294328600168228
No global root,09yrh4qp,5,0.09514033794403076,0.3055534362792969,0.12599465250968933,0.7872934341430664,1.4842376708984375,9.168195724487305,-0.08556914329528809,-0.004257987719029188,-0.027517130598425865
No global root,09yrh4qp,6,0.09541263431310654,0.3059214651584625,0.12539421021938324,0.7858954668045044,1.484194278717041,9.177995681762695,-0.08451273292303085,-0.004152688197791576,-0.025777539238333702
No global root,09yrh4qp,7,0.09424996376037598,0.3054949641227722,0.12504562735557556,0.7841919660568237,1.4825706481933594,9.159273147583008,-0.08206036686897278,-0.00396408187225461,-0.021839551627635956
No global root,09yrh4qp,8,0.09263213723897934,0.3042580187320709,0.12423350661993027,0.7830777168273926,1.4876426458358765,9.16577434539795,-0.07957039773464203,-0.003817722899839282,-0.01939716748893261
No global root,09yrh4qp,9,0.09330300986766815,0.3038613498210907,0.12368696928024292,0.780378520488739,1.4881577491760254,9.150374412536621,-0.07802960276603699,-0.003691225778311491,-0.018031086772680283
