Configuration,Run ID,Anchor position error mean,Anchor position error temporal SD,Anchor position error change vs Full (%),Anchor position error N,Anchor rotation error mean,Anchor rotation error temporal SD,Anchor rotation error change vs Full (%),Anchor rotation error N,Body position error mean,Body position error temporal SD,Body position error change vs Full (%),Body position error N,Body rotation error mean,Body rotation error temporal SD,Body rotation error change vs Full (%),Body rotation error N,Body linear velocity error mean,Body linear velocity error temporal SD,Body linear velocity error change vs Full (%),Body linear velocity error N,Body angular velocity error mean,Body angular velocity error temporal SD,Body angular velocity error change vs Full (%),Body angular velocity error N,Mean episode length,Episode length temporal SD,Normalized episode length,Episode length change vs Full (%)
Full,p5jxr34o,0.5590718704462051,0.01742038173517994,0.0,100,0.3285232737660408,0.01183029933298957,0.0,100,0.18576940923929214,0.006014395789259657,0.0,100,0.674719157218933,0.019227834102865934,0.0,100,1.529011617898941,0.039668779893338384,0.0,100,4.762569537162781,0.08551070337567256,0.0,100,220.03740000000002,18.486934650386928,0.44007480000000004,0.0
No global root,09yrh4qp,0.5924983632564544,0.01703656284123973,5.978925890793087,100,0.6265303963422775,0.019819004046482284,90.71111436338106,100,0.1940085230767727,0.0030742351240575626,4.435129481876983,100,0.6838390988111496,0.011064928556931274,1.3516648363457209,100,1.613242565393448,0.029211806807580232,5.50884941019945,100,4.669279732704163,0.06815256726815085,-1.9588124379217808,100,182.31890000000004,15.284312211803277,0.36463780000000007,-17.141858611308795
No body pose,y84gf3sj,0.5548494380712509,0.020097069424087757,-0.7552575255815026,100,0.2405868598818779,0.0043702884157002025,-26.767179346565012,100,0.21950396835803987,0.004992030040872968,18.15937255594853,100,0.9348540794849396,0.010083002125958217,38.55454813795925,100,1.6479991710186004,0.027822552174537423,7.781991433339375,100,4.31021436214447,0.05709266515083084,-9.498132709423778,100,137.3078,13.842694355879678,0.27461559999999996,-37.597971981126854
No velocity,6rlspqk0,0.60772116959095,0.02237568507081832,8.701796981113905,100,0.3153024959564209,0.007580094513402973,-4.024304780012365,100,0.2079964816570282,0.003823319489333178,11.964872208375846,100,0.7913564163446426,0.01780313216612319,17.2867863432938,100,1.6827877759933472,0.03264722069388819,10.057226269196986,100,5.5106996107101445,0.08509129449771455,15.708538588458051,100,199.5093,17.903396735160776,0.3990186,-9.32936855280058
No action rate,p6vbd18i,0.3291384094953537,0.023150380940122724,-41.127710604959866,100,0.16192081585526466,0.01135574993507622,-50.712528217840294,100,0.09868418276309968,0.0047865111571042595,-46.878130706663754,100,0.5912553036212921,0.024506489582705415,-12.37016211925321,100,1.0143771731853486,0.038239405276454065,-33.657981318727096,100,10.58765495300293,0.24259810127031914,122.30971895289835,100,465.34460000000007,10.499646787709894,0.9306892000000001,111.48432039280596
No joint limit,6gq87ju7,0.6073405236005783,0.01613756343282508,8.633711639945178,100,0.3588170492649078,0.010636658508419937,9.221196158066068,100,0.20683874174952507,0.0036549292650071355,11.341658778218559,100,0.761774119734764,0.01150953511534452,12.902399699847766,100,1.6231388533115387,0.025876154215477568,6.156083728254509,100,5.053977341651916,0.07637456958431645,6.118709705239002,100,204.93589999999998,17.326171311433214,0.40987179999999995,-6.863151446072369
No self collision,q2l4sxxn,0.5867950731515884,0.01783328033240954,4.958790483101383,100,0.28791141211986543,0.008952753899866847,-12.361943548357937,100,0.17181093841791154,0.006006118365702522,-7.513869413989741,100,0.611225174665451,0.01688613477276257,-9.410431269684477,100,1.4268628466129303,0.0446313004685805,-6.680706025398049,100,4.540424118041992,0.09397366707817445,-4.6644026378484815,100,266.61799999999994,21.795094712695178,0.5332359999999998,21.169401201795658
