N,Mean,Temporal SD,Minimum,Maximum,Median,Configuration,Run ID,Metric display name,Metric,Source,Statistical interpretation
100,-0.17662927702069284,0.008703183291381925,-0.19360420107841492,-0.15265093743801117,-0.1769946813583374,No body pose,y84gf3sj,Action-rate penalty contribution,Episode_Reward/action_rate_l2,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.005850022044032812,0.00048112143808093675,-0.0069029382430016994,-0.0047148726880550385,-0.005899481009691954,No body pose,y84gf3sj,Joint-limit penalty contribution,Episode_Reward/joint_limit,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.003233045198721811,0.001074483564070911,-0.008069895207881927,-0.0016726069152355194,-0.003034390741959214,No body pose,y84gf3sj,Self-collision penalty contribution,Episode_Reward/self_collisions,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.60772116959095,0.02237568507081832,0.5470053553581238,0.666266143321991,0.6106936037540436,No velocity,6rlspqk0,Anchor position error,Metrics/motion/error_anchor_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.3153024959564209,0.007580094513402973,0.2928718030452728,0.3350057601928711,0.31584158539772034,No velocity,6rlspqk0,Anchor rotation error,Metrics/motion/error_anchor_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.2079964816570282,0.003823319489333178,0.19786159694194794,0.21788136661052704,0.20809432119131088,No velocity,6rlspqk0,Body position error,Metrics/motion/error_body_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.7913564163446426,0.01780313216612319,0.7428803443908691,0.8271393775939941,0.792187362909317,No velocity,6rlspqk0,Body rotation error,Metrics/motion/error_body_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,1.6827877759933472,0.03264722069388819,1.60300612449646,1.748741865158081,1.685360848903656,No velocity,6rlspqk0,Body linear velocity error,Metrics/motion/error_body_lin_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,5.5106996107101445,0.08509129449771455,5.277609825134277,5.682717800140381,5.522014379501343,No velocity,6rlspqk0,Body angular velocity error,Metrics/motion/error_body_ang_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.3084816747903824,0.01253720490097184,-0.33679553866386414,-0.2717069685459137,-0.3094929903745651,No velocity,6rlspqk0,Action-rate penalty contribution,Episode_Reward/action_rate_l2,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.010918279718607664,0.0005672064454775099,-0.012428322806954384,-0.009657977148890495,-0.010968366172164679,No velocity,6rlspqk0,Joint-limit penalty contribution,Episode_Reward/joint_limit,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.007486357926391065,0.0018459997466871662,-0.013369785621762276,-0.004055088385939598,-0.007072344422340393,No velocity,6rlspqk0,Self-collision penalty contribution,Episode_Reward/self_collisions,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.3291384094953537,0.023150380940122724,0.2686399221420288,0.3913509249687195,0.3284313529729843,No action rate,p6vbd18i,Anchor position error,Metrics/motion/error_anchor_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.16192081585526466,0.01135574993507622,0.13349568843841553,0.1905711144208908,0.16142788529396057,No action rate,p6vbd18i,Anchor rotation error,Metrics/motion/error_anchor_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.09868418276309968,0.0047865111571042595,0.0884549468755722,0.1115758866071701,0.09874285385012627,No action rate,p6vbd18i,Body position error,Metrics/motion/error_body_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.5912553036212921,0.024506489582705415,0.5344031453132629,0.6459414958953857,0.5927443206310272,No action rate,p6vbd18i,Body rotation error,Metrics/motion/error_body_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,1.0143771731853486,0.038239405276454065,0.9338432550430298,1.1131134033203125,1.0139506459236145,No action rate,p6vbd18i,Body linear velocity error,Metrics/motion/error_body_lin_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,10.58765495300293,0.24259810127031914,10.023463249206543,11.210670471191406,10.554737567901611,No action rate,p6vbd18i,Body angular velocity error,Metrics/motion/error_body_ang_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.0,0.0,0.0,0.0,0.0,No action rate,p6vbd18i,Action-rate penalty contribution,Episode_Reward/action_rate_l2,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.03697667624801397,0.0015081500123059256,-0.04034571349620819,-0.03366527706384659,-0.036878207698464394,No action rate,p6vbd18i,Joint-limit penalty contribution,Episode_Reward/joint_limit,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.012300195856951177,0.0023143520677744002,-0.019251473248004913,-0.006043912377208471,-0.012042633723467588,No action rate,p6vbd18i,Self-collision penalty contribution,Episode_Reward/self_collisions,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.6073405236005783,0.01613756343282508,0.5632778406143188,0.6507776975631714,0.6071094572544098,No joint limit,6gq87ju7,Anchor position error,Metrics/motion/error_anchor_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.3588170492649078,0.010636658508419937,0.3365670144557953,0.38061103224754333,0.35854896903038025,No joint limit,6gq87ju7,Anchor rotation error,Metrics/motion/error_anchor_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.20683874174952507,0.0036549292650071355,0.19793498516082764,0.21471843123435974,0.2071874588727951,No joint limit,6gq87ju7,Body position error,Metrics/motion/error_body_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.761774119734764,0.01150953511534452,0.7378451228141785,0.789792537689209,0.7619861364364624,No joint limit,6gq87ju7,Body rotation error,Metrics/motion/error_body_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,1.6231388533115387,0.025876154215477568,1.5686378479003906,1.690496802330017,1.6259788274765015,No joint limit,6gq87ju7,Body linear velocity error,Metrics/motion/error_body_lin_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
