Configuration,Run ID,_step,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_ang_vel,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions
Full,p5jxr34o,0,0.08441253751516342,0.28290238976478577,2.0222880840301514,0.7865864038467407,1.388441801071167,8.90239429473877,-0.0738740861415863,-0.003714241087436676,-0.025223761796951294
Full,p5jxr34o,1,0.09695068001747131,0.31107982993125916,0.12673205137252808,0.7869288325309753,1.4763396978378296,9.13300895690918,-0.08994241058826447,-0.004755930043756962,-0.035641398280858994
Full,p5jxr34o,2,0.09720196574926376,0.3108118176460266,0.12675757706165314,0.786052405834198,1.477286696434021,9.115020751953125,-0.08905822038650513,-0.004628228023648262,-0.03420846164226532
Full,p5jxr34o,3,0.09701961278915405,0.3113676905632019,0.12675981223583221,0.7908009886741638,1.4811224937438965,9.159241676330566,-0.08896984905004501,-0.0045345500111579895,-0.03230556100606918
Full,p5jxr34o,4,0.09691443294286728,0.30835703015327454,0.12611471116542816,0.7895488739013672,1.4797838926315308,9.133456230163574,-0.08738013356924057,-0.004430032335221767,-0.029436733573675156
Full,p5jxr34o,5,0.09465603530406952,0.3068758547306061,0.1255808174610138,0.7872122526168823,1.4778070449829102,9.133708953857422,-0.08544270694255829,-0.004243699833750725,-0.02694953978061676
Full,p5jxr34o,6,0.09466107934713364,0.3051692843437195,0.12488390505313873,0.7848507761955261,1.477837324142456,9.124346733093262,-0.08379960060119629,-0.004076632205396891,-0.024220723658800125
Full,p5jxr34o,7,0.09315158426761627,0.30353981256484985,0.12445714324712753,0.782474160194397,1.4759024381637573,9.130655288696289,-0.08156700432300568,-0.0039228592067956924,-0.021526923403143883
Full,p5jxr34o,8,0.09325222671031952,0.30477890372276306,0.12457621097564697,0.7851270437240601,1.4807522296905518,9.136160850524902,-0.07981524616479874,-0.0038150278851389885,-0.019603891298174858
Full,p5jxr34o,9,0.09233555197715759,0.3027246594429016,0.12322837114334106,0.7786217927932739,1.4792550802230835,9.122468948364258,-0.0778070017695427,-0.0036161865573376417,-0.017137091606855392
Full,p5jxr34o,10,0.09085802733898163,0.3007502555847168,0.12239943444728851,0.7752653360366821,1.479196310043335,9.120908737182617,-0.07525067031383514,-0.0034187480341643095,-0.015190094709396362
Full,p5jxr34o,11,0.0912277027964592,0.3015962541103363,0.12229456007480621,0.7759202718734741,1.4799041748046875,9.104942321777344,-0.07334127277135849,-0.0033379688393324614,-0.014302107505500317
Full,p5jxr34o,12,0.08896122872829437,0.2967979311943054,0.12151935696601868,0.7719998359680176,1.4779632091522217,9.110198974609375,-0.07091004401445389,-0.0031197720672935247,-0.0117244403809309
Full,p5jxr34o,13,0.08854125440120697,0.2999323010444641,0.12053345143795013,0.769902229309082,1.4802249670028687,9.081750869750977,-0.06841400265693665,-0.0030059670098125935,-0.01087051909416914
Full,p5jxr34o,14,0.088315948843956,0.3001108169555664,0.11999260634183884,0.7654292583465576,1.477673888206482,9.07049560546875,-0.06642448157072067,-0.0028655563946813345,-0.010106628760695457
Full,p5jxr34o,15,0.08791817724704742,0.3004881739616394,0.12025012075901031,0.7647545337677002,1.4799714088439941,9.047751426696777,-0.06537570059299469,-0.0028154272586107254,-0.009330635890364647
Full,p5jxr34o,16,0.08660143613815308,0.2996109426021576,0.11932282149791718,0.7602181434631348,1.4837942123413086,9.07376480102539,-0.0629458799958229,-0.0026826593093574047,-0.008315837942063808
Full,p5jxr34o,17,0.08641259372234344,0.29914963245391846,0.11901812255382538,0.7578654289245605,1.4848647117614746,9.075523376464844,-0.061592407524585724,-0.0025610080920159817,-0.00698475306853652
