Configuration,Run ID,Action-rate penalty contribution mean,Action-rate penalty contribution temporal SD,Action-rate penalty contribution change vs Full (%),Action-rate penalty contribution N,Action-rate penalty contribution source,Joint-limit penalty contribution mean,Joint-limit penalty contribution temporal SD,Joint-limit penalty contribution change vs Full (%),Joint-limit penalty contribution N,Joint-limit penalty contribution source,Self-collision penalty contribution mean,Self-collision penalty contribution temporal SD,Self-collision penalty contribution change vs Full (%),Self-collision penalty contribution N,Self-collision penalty contribution source,Policy mean std from W&B,Policy mean std temporal SD,Policy std from checkpoint,Checkpoint std across-action SD,Checkpoint std minimum,Checkpoint std maximum
Full,p5jxr34o,-0.42750167459249494,0.016937655881679028,0.0,100,W&B run.scan_history,-0.023256125282496213,0.0016404120264445965,0.0,100,W&B run.scan_history,-0.009477166538126768,0.002080751369476934,0.0,100,W&B run.scan_history,0.4026588568091392,0.0010212232316857,0.4011688705148368,0.063987552762385,0.3034110069274902,0.5390875935554504
No global root,09yrh4qp,-0.29472744077444074,0.017418100611902895,31.058178647982572,100,W&B run.scan_history,-0.012479608673602342,0.0012296796664822394,46.33840107924103,100,W&B run.scan_history,-0.00632270922884345,0.0016329924658774568,33.28481457609607,100,W&B run.scan_history,0.3662834650278091,0.0017034812671629,0.3675812061490683,0.0622086049144692,0.2830168902873993,0.5180349946022034
No body pose,y84gf3sj,-0.17662927702069284,0.008703183291381925,58.68337189811943,100,W&B run.scan_history,-0.005850022044032812,0.00048112143808093675,74.84524196111101,100,W&B run.scan_history,-0.003233045198721811,0.001074483564070911,65.88595139997565,100,W&B run.scan_history,0.3374056312441826,0.0022583532707993,0.3410275331858931,0.0524830682240612,0.2702281177043915,0.4664581418037414
No velocity,6rlspqk0,-0.3084816747903824,0.01253720490097184,27.840826568823456,100,W&B run.scan_history,-0.010918279718607664,0.0005672064454775099,53.05202570943606,100,W&B run.scan_history,-0.007486357926391065,0.0018459997466871662,21.006369400882136,100,W&B run.scan_history,0.3690930354595184,0.0004097746347429,0.3688764325503645,0.0465463614475675,0.3092931807041168,0.4636103808879852
No action rate,p6vbd18i,0.0,0.0,100.0,100,W&B run.scan_history,-0.03697667624801397,0.0015081500123059256,-58.99757934243917,100,W&B run.scan_history,-0.012300195856951177,0.0023143520677744002,-29.787693478502508,100,W&B run.scan_history,1.5380267524719238,0.0093758561933076,1.5542466578812435,0.6722094261668898,0.7139081358909607,2.8599865436553955
No joint limit,6gq87ju7,-0.4256046089529991,0.01619976819602792,0.44375630605521027,100,W&B run.scan_history,0.0,0.0,100.0,100,W&B run.scan_history,-0.007539001437835396,0.0016797249871985235,20.45089207300629,100,W&B run.scan_history,0.4233276423811912,0.000850865097984,0.4222550957367338,0.0685017416720854,0.2938462495803833,0.5732389688491821
No self collision,q2l4sxxn,-0.5076426479220391,0.025367575175473174,-18.746353077081267,100,W&B run.scan_history,-0.02363400423899293,0.0014657049267266693,-1.6248577607256374,100,W&B run.scan_history,0.0,0.0,100.0,100,W&B run.scan_history,0.3963077077269554,0.0017077557484642,0.3930488228797912,0.0695914246768596,0.2897343039512634,0.5535720586776733
