motion,method,penetration_frame_ratio_percent_gt_0mm,penetration_frame_ratio_percent_gt_5mm,maximum_ground_penetration_cm,current_contact_sample_ratio_percent,valid_contact_sample_ratio_percent,deep_penetration_counted_as_contact_percent,actual_floor_contact_frame_ratio_percent,current_sliding_total_cm,current_sliding_cm_s,valid_contact_sliding_total_cm,valid_contact_sliding_cm_s,strict_2cm_sliding_total_cm,strict_2cm_sliding_cm_s,mujoco_floor_contact_sliding_total_cm,mujoco_floor_contact_sliding_cm_s
05_04,Direct Mapping,56.00000000000001,55.00000000000001,6.248313145010003,60.83333333333333,35.333333333333336,25.5,56.00000000000001,145.91116029416673,14.639915748578602,84.16566876414048,8.444715929512423,66.7530843897372,6.697633885257913,71.79755958544206,7.203768520278468
111_23,Direct Mapping,48.76325088339223,41.69611307420495,4.862603743290161,53.18021201413428,39.75265017667844,13.427561837455832,48.76325088339223,583.7933312246628,62.10567353453859,366.4946868100349,38.988796469152646,156.5693740073837,16.65631638376422,225.5605380904731,23.995801924518414
113_20,Direct Mapping,22.92817679558011,9.668508287292818,2.4904778758625565,32.87292817679558,29.41988950276243,3.4530386740331496,22.92817679558011,516.7254803228536,42.94117565009864,417.71155304405386,34.7128714441042,286.1365000257179,23.778656511832512,148.80641944914896,12.366184441757532
113_21,Direct Mapping,99.12280701754386,97.36842105263158,2.9529155743662128,100.0,38.30409356725146,61.69590643274854,99.12280701754386,370.07993981073935,32.55835247601812,159.3074932721567,14.015321988752788,126.88492863009186,11.162896946928903,249.95477159896086,21.990155859146117
114_15,Direct Mapping,22.832369942196532,15.606936416184972,3.1523883371601538,36.84971098265896,31.9364161849711,4.913294797687861,22.832369942196532,575.0931042492134,50.00809602167073,472.1005112359052,41.05221836833958,131.81344941204514,11.462039079308273,97.27671277401821,8.45884458904506
124_11,Direct Mapping,56.39999999999999,49.2,8.77856033190536,62.6,36.199999999999996,26.400000000000002,56.39999999999999,33.70054897271897,4.0603071051468635,17.321979127909742,2.086985437097559,15.1675397688351,1.8274144299801325,18.41798928539302,2.2190348536618094
135_04,Direct Mapping,67.17325227963525,35.56231003039514,12.142428314908802,78.26747720364742,51.21580547112462,27.0516717325228,67.17325227963525,252.5071474429565,23.095165924660655,156.73109325131782,14.335160968108337,86.76735574033934,7.936038634787135,133.1797511361624,12.181074799039243
47_01,Direct Mapping,14.242424242424242,12.727272727272727,4.848629389390993,8.787878787878787,6.666666666666667,2.1212121212121215,14.242424242424242,92.27690658947942,8.414307591745844,75.63336514915603,6.896659436093255,19.21851365893965,1.752448054006655,17.51157959573465,1.5968005710396336
76_10,Direct Mapping,99.12280701754386,65.49707602339181,4.065753785070001,100.0,66.52046783625731,33.47953216374269,99.12280701754386,238.21171775871179,20.957042618068485,151.7669609618042,13.351932049425589,151.7669609618042,13.351932049425589,153.53085768687657,13.507113579490607
05_04,Basic IK,93.0,85.33333333333334,4.645110201903293,71.33333333333334,33.666666666666664,37.666666666666664,93.0,259.7127943934747,26.058139905699804,194.72854226640672,19.537980829405356,46.32228195254345,4.647720597245162,75.40773290941262,7.565993268502938
111_23,Basic IK,74.91166077738515,69.96466431095406,4.415156077875319,63.957597173144876,31.272084805653712,32.685512367491164,74.91166077738515,341.2850441506317,36.30691959049273,190.73041322421997,20.290469491938293,50.540802733730786,5.3766811418862535,166.1919880563134,17.67999872939504
113_20,Basic IK,29.2817679558011,28.45303867403315,3.651341382991179,38.67403314917127,22.375690607734807,16.298342541436465,29.2817679558011,190.73398016783062,15.850469266024705,148.16130165585602,12.31257354480798,63.817471903773324,5.3033910169340714,44.52896128800275,3.70046769706394
113_21,Basic IK,100.0,100.0,4.8997797753988195,96.9298245614035,13.742690058479532,83.18713450292398,100.0,85.41128877009912,7.514189627867958,6.846044746330063,0.6022913266566037,6.463470898647983,0.5686338034001157,82.1212245671121,7.224741164262061
114_15,Basic IK,99.42196531791907,99.42196531791907,5.786855856553038,64.73988439306359,7.658959537572255,57.08092485549133,99.42196531791907,459.5498115267663,39.96085317624055,108.81551506078159,9.46221870093753,38.567767010829215,3.353718870506888,347.23154074033783,30.194047020898942
124_11,Basic IK,84.8,84.8,6.38867249122894,75.0,0.0,75.0,84.8,98.06332259245517,11.814858143669296,0.0,0.0,0.0,0.0,98.06332259245517,11.814858143669296
135_04,Basic IK,97.26443768996961,95.74468085106383,11.533858051736196,81.15501519756839,6.838905775075988,74.3161094224924,97.26443768996961,167.91960331128516,15.358500302861447,9.97013331468277,0.9119024373185459,6.334580587545899,0.5793823708121248,158.10680480598182,14.460988244449556
47_01,Basic IK,99.39393939393939,94.54545454545455,7.680329051675862,56.81818181818182,10.757575757575758,46.06060606060606,99.39393939393939,413.6785955564788,37.72145248235369,148.44089682378763,13.535644087275466,17.44587516365804,1.590809285439943,254.2394283796824,23.18292659997104
76_10,Basic IK,100.0,100.0,5.434111572818489,99.85380116959064,0.0,99.85380116959064,100.0,66.11379123394825,5.816462571901605,0.0,0.0,0.0,0.0,66.11379123394825,5.816462571901605
05_04,GMR,99.66442953020133,99.32885906040269,6.0065680932525,73.3221476510067,24.161073825503358,49.16107382550335,99.66442953020133,129.41170017123392,13.039181928104714,56.92826316736096,5.735941798987684,14.579644220022491,1.4690065363515807,72.79604782755553,7.334737972026892
