motion,frames,current_contact_proxy_frame_ratio_percent,visual_mesh_nonparent_gt1mm_frame_ratio_percent,visual_mesh_nonlocal_gt1mm_frame_ratio_percent
05_04,300,49.0,100.0,51.0
111_23,283,22.614840989399294,100.0,19.434628975265017
113_20,362,0.5524861878453039,100.0,0.5524861878453039
113_21,342,31.871345029239766,100.0,23.976608187134502
114_15,346,68.4971098265896,100.0,69.07514450867052
124_11,250,6.8,100.0,6.4
135_04,329,11.854103343465045,100.0,9.72644376899696
47_01,330,57.57575757575758,100.0,49.696969696969695
76_10,342,16.95906432748538,100.0,16.374269005847953
