method,penetration_frame_ratio_percent_gt_0mm,penetration_frame_ratio_percent_gt_5mm,maximum_ground_penetration_cm,current_contact_sample_ratio_percent,valid_contact_sample_ratio_percent,deep_penetration_counted_as_contact_percent,actual_floor_contact_frame_ratio_percent,current_sliding_total_cm,current_sliding_cm_s,valid_contact_sliding_total_cm,valid_contact_sliding_cm_s,strict_2cm_sliding_total_cm,strict_2cm_sliding_cm_s,mujoco_floor_contact_sliding_total_cm,mujoco_floor_contact_sliding_cm_s
Direct Mapping,54.065009797590676,42.48073751237489,5.504674499662694,59.26572672204981,37.26103585989393,22.00469086215589,54.065009797590676,312.0332596295003,28.753337407836284,211.24814573516431,19.320518010065154,115.67530073276599,10.51393066392126,124.00401991135666,11.50208657088632
Basic IK,86.45264123722382,84.25145967030645,6.048357162464571,72.05129675505083,14.034730356528748,58.01656639852209,86.45264123722382,231.38535907810774,21.82242722967909,89.74364967689608,8.517008935371086,25.499138916747633,2.380037454024951,143.55608828591625,13.515609271123825
GMR,93.7134968759429,92.8563444471467,6.970761054969898,74.28474716304969,11.02904986408028,63.25569729896941,93.7134968759429,164.78470662230265,15.482457293271402,33.60272028707652,3.1553357956515433,13.10529963715662,1.2288948541370124,130.41449423704577,12.237079069512868
