trial_id,stage,mode,root_mode,motion_name,source_motion_pkl,returncode,log_path,command,num_frames,duration,duration_completed_ratio,has_nan,fall_down,mean_joint_position_error,max_joint_position_error,mean_joint_velocity_error,max_joint_velocity_error,mean_root_position_error,max_root_position_error,mean_root_rotation_error,max_root_rotation_error,mean_ctrl,max_ctrl,mean_torque,max_torque,root_height_min,root_height_mean,root_height_max,min_root_height,mean_jerk,max_jerk,foot_slip_score,foot_contact_accuracy,ground_penetration_depth,kp,kd,torque_clip,ignore_actuator_ctrlrange,time_scale,smooth_window,target_blend,root_height_offset,extra_joint_damping,score,success,failure_reason,output_pkl,video_path,video_error
4,stage3_free,pd,free,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_debug3/logs/stage3_free_00004_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00004_08_01_unitree_g1_gmr --mode pd --root_mode free --kp 80.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.5 --target_blend 0.8 --root_height_offset 0.08 --extra_joint_damping 0.3 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --smooth_ref --smooth_window 5 --sim_dt 0.002 --max_time 0.8,16,0.7527173913043479,0.7067725631768957,False,True,0.178473395740674,2.023284988192611,1.580778245259393,12.945898597732702,0.2549963343004116,0.5478400654621274,0.4750820498322919,0.9494960970759786,0.9191361100478748,1.0,0.9191361100478748,1.0,0.2493254559035209,0.5085049351329548,0.7704251911484099,0.2493254559035209,358422.0889604078,2516036.5100572687,0.8589325707080593,,,80.0,3.0,150.0,False,1.5,5,0.8,0.08,0.3,-3135.992592490677,False,root height below threshold: 0.2493 < 0.25; duration completed ratio too low: 0.7068 < 0.9,outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00004_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
5,stage3_free,pd,free,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_debug3/logs/stage3_free_00005_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00005_08_01_unitree_g1_gmr --mode pd --root_mode free --kp 80.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.5 --target_blend 0.8 --root_height_offset 0.05 --extra_joint_damping 0.3 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --smooth_ref --smooth_window 5 --sim_dt 0.002 --max_time 0.8,16,0.7527173913043479,0.6270613718411556,False,True,0.1668460999759589,2.0115650714230013,1.6065596478586754,18.71681485237133,0.1990664719033703,0.5026354686271972,0.5079195669266842,0.9038296001385488,0.9340841666752048,1.0,0.9340841666752048,1.0,0.2497066162834715,0.5323020160645714,0.74042519114841,0.2497066162834715,354051.6582605731,2232757.9757896,0.8626951306472266,,,80.0,3.0,150.0,False,1.5,5,0.8,0.05,0.3,-3133.5704208747848,False,root height below threshold: 0.2497 < 0.25; duration completed ratio too low: 0.6271 < 0.9,outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00005_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
6,stage3_free,pd,free,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_debug3/logs/stage3_free_00006_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00006_08_01_unitree_g1_gmr --mode pd --root_mode free --kp 80.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.5 --target_blend 0.8 --root_height_offset 0.05 --extra_joint_damping 0.1 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --smooth_ref --smooth_window 5 --sim_dt 0.002 --max_time 0.8,16,0.7527173913043479,0.5951768953068596,False,True,0.1724284065629029,2.0454959302399915,1.96869238721335,31.878314382610267,0.1973690754263627,0.5003773633846751,0.5352317814812617,0.9736019720423278,0.933247133516014,1.0,0.933247133516014,1.0,0.2496948546694778,0.5330167900339694,0.74042519114841,0.2496948546694778,512699.9986526493,3520598.3179123765,1.010104301872612,,,80.0,3.0,150.0,False,1.5,5,0.8,0.05,0.1,-3145.216344365834,False,root height below threshold: 0.2497 < 0.25; duration completed ratio too low: 0.5952 < 0.9,outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00006_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
7,stage3_free,pd,free,08_01_unitree_g1_gmr.pkl,outputs/final product/pkl/08_01_unitree_g1_gmr.pkl,0,outputs/final product/pd_tracking_tuning_debug3/logs/stage3_free_00007_08_01_unitree_g1_gmr.log,/home/ubuntu/miniconda3/envs/gmr/bin/python /mnt/d/GMR_WORK/GMR/scripts/run_pd_tracking_from_gmr.py --motion_pkl outputs/final product/pkl/08_01_unitree_g1_gmr.pkl --xml_path assets/unitree_g1/g1_mocap_29dof.xml --save_dir outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00007_08_01_unitree_g1_gmr --mode pd --root_mode free --kp 80.0 --kd 3.0 --torque_clip 150.0 --time_scale 1.5 --target_blend 0.8 --root_height_offset 0.08 --extra_joint_damping 0.3 --max_joint_position_error 3.0 --max_mean_joint_position_error 1.5 --fall_height_threshold 0.25 --min_duration_completed_ratio 0.9 --stop_on_fall --smooth_ref --smooth_window 5 --ignore_actuator_ctrlrange --sim_dt 0.002 --max_time 0.8,16,0.7527173913043479,0.6084620938628162,False,True,0.0640531434757933,0.5456241543640037,10.903528442709131,84.23414901218719,0.1645883954753224,0.5395124782986688,0.3443001388692827,0.8349305901663081,32.18676935550623,150.0,32.18676935550623,150.0,0.2478157500933473,0.596272690579945,0.7704251911484099,0.2478157500933473,13202214.695767105,86523020.6309722,3.832473744261226,,,80.0,3.0,150.0,True,1.5,5,0.8,0.08,0.3,-3281.674171784458,False,root height below threshold: 0.2478 < 0.25; duration completed ratio too low: 0.6085 < 0.9,outputs/final product/pd_tracking_tuning_debug3/trial_pkls/stage3_free_00007_08_01_unitree_g1_gmr/08_01_unitree_g1_gmr_pd_tracking.pkl,,
