motion,gmr_body_shape,ik_body_shape,gmr_foot_shape,ik_foot_shape,body_mean_dist_m,body_max_dist_m,foot_mean_dist_m,foot_max_dist_m,contact_mismatch_ratio,gmr_fall_count,ik_fall_count,gmr_terminated_count,ik_terminated_count
08_01,"(68, 39, 3)","(68, 39, 3)","(68, 2, 3)","(68, 2, 3)",0.11197155207371222,0.35339542450055117,0.16144396078150489,0.44684406132238313,nan,60,0,60,0
08_04,"(120, 39, 3)","(120, 39, 3)","(120, 2, 3)","(120, 2, 3)",0.12373370861584579,0.34054236247984554,0.15024389049947837,0.4266347390397159,nan,115,0,115,0
08_05,"(73, 39, 3)","(73, 39, 3)","(73, 2, 3)","(73, 2, 3)",0.1332751343376885,0.41424713413733366,0.1781560020777428,0.5127807706474682,nan,64,0,64,0
09_01,"(36, 39, 3)","(36, 39, 3)","(36, 2, 3)","(36, 2, 3)",0.14897178512604808,0.38917141470450245,0.19675016499721218,0.453139686895146,nan,3,0,3,0
09_12,"(478, 39, 3)","(478, 39, 3)","(478, 2, 3)","(478, 2, 3)",0.04097520387656742,0.15936666811294253,0.11574834113759817,0.23691523003562753,nan,193,0,193,0
10_01,"(199, 39, 3)","(199, 39, 3)","(199, 2, 3)","(199, 2, 3)",0.023903844464499058,0.4609629816504215,0.11550453800514315,0.4923196716594792,nan,45,0,45,0
13_01,"(577, 39, 3)","(577, 39, 3)","(577, 2, 3)","(577, 2, 3)",0.023135003862346643,0.09172811915081826,0.11028935955580382,0.18218015323719947,nan,352,0,352,0
13_11,"(103, 39, 3)","(103, 39, 3)","(103, 2, 3)","(103, 2, 3)",0.05477447952104755,0.22757524635353557,0.13069839053416257,0.25044236890918464,nan,59,0,59,0
13_17,"(1209, 39, 3)","(1209, 39, 3)","(1209, 2, 3)","(1209, 2, 3)",0.0335908992267181,0.3150891644393695,0.11121112184076896,0.2685756587256335,nan,383,0,383,0
