method,motion_count,mean_total_foot_sliding_m,mean_mean_foot_sliding_velocity_mps,mean_max_ground_penetration_m,mean_mean_ground_penetration_m,mean_penetration_frame_ratio,mean_root_xy_path_m,mean_root_min_height_m,mean_mean_abs_joint_velocity,mean_mean_abs_joint_acceleration,mean_mean_abs_joint_jerk,mean_sudden_jump_count,mean_self_collision_count,sum_fall_count,sum_terminated_count
Basic IK,9,1.3907122731369868,0.3274284066675368,0.0214728386888894,0.0020196825722808144,0.18252481525208797,4.943990541485631,0.6521390386051312,0.9687102838635536,19.988628536838267,793.492745320616,78.77777777777777,0.0,0,0
GMR,9,0.9722667861506397,0.14689612071618305,0.01994621378128896,0.003868803986951325,0.2887253403491658,5.0901041985419715,0.6639610660189681,0.9539166607587065,18.20991874457751,690.8337949004381,83.88888888888889,19.666666666666668,1274,1274
