motion,gmr_frames,ik_frames,gmr_fps,ik_fps,gmr_dur,ik_dur,gmr_keys,ik_keys,gmr_has_metadata,ik_has_metadata,gmr_root_xy_path_m,ik_root_xy_path_m,root_mean_abs_diff_m,root_max_abs_diff_m,gmr_dof_min,gmr_dof_max,ik_dof_min,ik_dof_max,dof_mean_abs_diff_rad,dof_max_abs_diff_rad,gmr_mean_abs_vel,ik_mean_abs_vel,gmr_mean_abs_acc,ik_mean_abs_acc
08_01,68,70,29.891696750902526,30.0,2.2414251207729468,2.3,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,3.17217426788138,2.9053819906993623,0.054595645176784016,0.20649082367602212,-0.656472205978772,1.2624250339499303,-0.7367952469607025,1.4380926842621955,0.10559585550088318,0.7797442554192604,1.1776784487846235,1.2327511056863127,20.26598129938836,24.710785542989434
08_04,120,121,30.0,30.0,3.966666666666667,4.0,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,3.6651204871856873,3.2836305348942623,0.0623717726342236,0.20415007918386086,-0.5831174209545392,1.2420085199375368,-0.872669998025049,1.36861903228173,0.10930666873570034,0.7130433684792246,0.771843062998058,0.7437620298561963,12.787941387020988,14.193756744501849
08_05,73,75,29.798657718120804,30.0,2.4162162162162164,2.466666666666667,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,3.433883574238881,3.083907975054276,0.06499158610694324,0.24480738290802528,-1.0946080433042595,1.2976065745685614,-0.9462755295331922,1.376925268036179,0.12314799010005781,0.7677779155570756,1.3054706480049518,1.2869105492982313,19.203739396385153,23.12614441124687
09_01,36,37,30.0,30.0,1.1666666666666667,1.2,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,3.5057762766732616,3.483649274352259,0.05373870910763984,0.18395087857380554,-0.8170682779779533,1.9452681776245482,-0.8726699993478269,1.9491163098827398,0.08979629243444512,0.6700811564158732,1.816179798405797,1.8657331325408468,38.67740821615012,39.618889894265735
09_12,478,480,29.96871741397289,30.0,15.916597077244258,15.966666666666667,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,12.8413163270646,12.812329803571245,0.015927274200367873,0.0658710347390381,-0.8763538480928119,1.5201618294924613,-0.9175295948975021,1.449944310306375,0.04688709085422421,0.3719883192690764,0.7763770621613633,0.7805511347458842,14.789418512037804,15.39928222345721
10_01,199,201,29.9625468164794,30.0,6.60825,6.666666666666667,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,1.7004978718893877,1.6945472580452443,0.00686204955343436,0.09076339124274685,-1.250390942809885,1.446400030554013,-1.213854753019559,1.4438373451413093,0.042838300781297585,0.6857299921411328,0.5393699945764461,0.5543117961473205,9.795591913646188,10.929725955360368
13_01,577,579,29.987029831387808,30.0,19.208304498269896,19.266666666666666,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,2.8704828252597907,2.8339342765724282,0.010083053047770445,0.028095311441112228,-1.187047705214634,2.156664260504181,-1.1661483141188809,2.1240903728871148,0.04408530286146145,0.3945934265499919,0.29544356642042696,0.28472231335256,5.183895231570272,4.758852508815727
13_11,102,104,29.783132530120483,30.0,3.3911812297734625,3.433333333333333,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,1.1859079020577548,1.2486583748878657,0.023522169747757674,0.1058242348428462,-1.1235461899368442,1.5606268269434256,-1.1070576226116555,1.4137666655841992,0.0575301785095492,0.7721007918378373,0.5912177162422309,0.5705750129949588,11.319748034422702,10.673398351720914
13_17,1209,1210,30.0,30.0,40.266666666666666,40.3,qpos|fps|dt|joint_names|robot_joint_names|dof_joint_names|body_pos|body_quat|body_names|root_pos|root_quat|root_rot|dof_pos|local_body_pos|link_body_list|foot_pos|foot_names|contacts|self_collision|terminated|fall|metadata,qpos|fps|dt|joint_names|body_pos|body_quat|body_names|root_pos|root_quat|foot_pos|foot_names|contacts|self_collision|terminated|fall|root_rot|dof_pos|local_body_pos|link_body_list|metadata,True,True,13.435778254626992,13.149875385293736,0.011755593976937425,0.06402934712710107,-2.021186810952901,1.5163433819125491,-2.2515,1.5290120919024965,0.07272063218369011,2.418083465248308,1.3116696492344626,1.399075480149673,31.865544710576017,36.4868211991863
