motion,synced_frames,body_mean_distance_m,body_max_distance_m,foot_mean_distance_m,foot_max_distance_m,root_mean_distance_m,root_max_distance_m,dof_mean_abs_diff_rad,dof_max_abs_diff_rad
08_01,68,0.11197155207371222,0.35339542450055117,0.16144396078150489,0.44684406132238313,0.11146026987315759,0.21694245868395062,0.10559585550088318,0.7797442554192604
08_04,120,0.12373370861584579,0.34054236247984554,0.15024389049947837,0.4266347390397159,0.12633981204435502,0.21615454576633328,0.10930666873570034,0.7130433684792246
08_05,73,0.1332751343376885,0.41424713413733366,0.1781560020777428,0.5127807706474682,0.1330534622898766,0.2494670084963503,0.12314799010005781,0.7677779155570756
09_01,36,0.14897178512604808,0.38917141470450245,0.19675016499721218,0.453139686895146,0.13932434428599946,0.1860963019069469,0.08979629243444512,0.6700811564158732
09_12,478,0.04097520387656742,0.15936666811294253,0.11574834113759817,0.23691523003562753,0.036583520311635136,0.0672315748955457,0.04688709085422421,0.3719883192690764
10_01,199,0.023903844464499058,0.4609629816504215,0.11550453800514315,0.4923196716594792,0.014260482652396397,0.0940551944585116,0.042838300781297585,0.6857299921411328
13_01,577,0.023135003862346643,0.09172811915081826,0.11028935955580382,0.18218015323719947,0.020749640502597724,0.0350431324616851,0.04408530286146145,0.3945934265499919
13_11,103,0.05477447952104755,0.22757524635353557,0.13069839053416257,0.25044236890918464,0.049431366326792875,0.11227464674725972,0.0575301785095492,0.7721007918378373
13_17,1209,0.0335908992267181,0.3150891644393695,0.11121112184076896,0.2685756587256335,0.023770764809318803,0.0665865372884861,0.07272063218369011,2.418083465248308
