motion,tightening_percent,run_path,run_id,metric,numeric_points
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Termination/ee_body_pos,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Termination/ee_body_pos,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Termination/ee_body_pos,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Termination/ee_body_pos,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Termination/ee_body_pos,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Termination/ee_body_pos,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Termination/ee_body_pos,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Termination/ee_body_pos,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Termination/ee_body_pos,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Termination/ee_body_pos,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Termination/time_out,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Termination/time_out,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Termination/time_out,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Termination/time_out,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Termination/time_out,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Termination/time_out,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Termination/time_out,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Termination/time_out,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Termination/time_out,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Termination/time_out,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Loss/entropy,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Loss/entropy,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Loss/entropy,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Loss/entropy,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Loss/entropy,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Loss/entropy,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Loss/entropy,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Loss/entropy,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Loss/entropy,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Loss/entropy,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Loss/learning_rate,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Loss/learning_rate,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Loss/learning_rate,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Loss/learning_rate,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Loss/learning_rate,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Loss/learning_rate,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Loss/learning_rate,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Loss/learning_rate,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Loss/learning_rate,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Loss/learning_rate,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Loss/surrogate,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Loss/surrogate,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Loss/surrogate,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Loss/surrogate,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Loss/surrogate,1000
