frame,time_s,method,joint_limit.max_violation,joint_limit.violated,smoothness.dof_velocity,smoothness.dof_acceleration,smoothness.dof_jerk,stability.base_height,stability.fallen
0,0.0,Direct Mapping,0.0,0,0.02472089143344679,0.5505474944658374,6.504517877855422,0.80335868423521,0
1,0.03333333333333333,Direct Mapping,0.0,0,0.02783154967438935,0.569576586817928,11.410402985355779,0.80348672298521,0
2,0.06666666666666667,Direct Mapping,0.0,0,0.03951790212124471,0.5572298067716429,13.030219992563467,0.8038016879852099,0
3,0.1,Direct Mapping,0.0,0,0.04292073101737583,0.5959572515091411,7.98299091099617,0.80420536923521,0
4,0.13333333333333333,Direct Mapping,0.0,0,0.05030271849855115,0.35570991929701584,9.052370098126831,0.8046624517352101,0
5,0.16666666666666666,Direct Mapping,0.0,0,0.04997919484018608,0.29060600213467425,7.2399121622656155,0.80512388298521,0
6,0.2,Direct Mapping,0.0,0,0.04817397763350964,0.32276361303578416,6.717460520625392,0.80556301048521,0
7,0.23333333333333334,Direct Mapping,0.0,0,0.04935205261016615,0.3841229255256125,8.722579019285932,0.80598184673521,0
8,0.26666666666666666,Direct Mapping,0.0,0,0.05278944042670409,0.4516441131643192,6.040018892293924,0.80641830548521,0
9,0.3,Direct Mapping,0.0,0,0.06385450076608068,0.4345568442897274,8.766287739524616,0.8069114379852099,0
10,0.3333333333333333,Direct Mapping,0.0,0,0.07228970464160975,0.2857175156726223,13.593766830790415,0.8074460979852099,0
11,0.36666666666666664,Direct Mapping,0.0,0,0.0658768114008554,0.6372909160440755,11.02555345620955,0.8079702754852099,0
12,0.4,Direct Mapping,0.0,0,0.059247165433541686,0.6990485237665414,8.857401937304365,0.8083196804852101,0
13,0.43333333333333335,Direct Mapping,0.0,0,0.05841951823088541,0.5530033642295402,11.608434225018724,0.80846640923521,0
14,0.4666666666666667,Direct Mapping,0.0,0,0.056318904609289226,0.5218683553429092,12.34518352532041,0.80848349798521,0
15,0.5,Direct Mapping,0.0,0,0.048832704368497654,0.6121730287491203,11.50160743244277,0.8083870379852099,0
16,0.5333333333333333,Direct Mapping,0.0,0,0.04031789323585919,0.6612467933681418,8.838691820429052,0.8082021854852101,0
17,0.5666666666666667,Direct Mapping,0.0,0,0.036069649992693936,0.5753414257786205,9.51217601400217,0.80805492298521,0
18,0.6,Direct Mapping,0.0,0,0.04283899547035909,0.38346407737410076,13.471042606542184,0.8079252742352101,0
19,0.6333333333333333,Direct Mapping,0.0,0,0.04134981573758366,0.4699273922672163,12.06466587065761,0.8077690692352101,0
20,0.6666666666666666,Direct Mapping,0.0,0,0.04571124097249001,0.6622574215985848,12.800590881429057,0.80759616923521,0
21,0.7,Direct Mapping,0.0,0,0.05970283145686901,0.788559015990464,10.290336124648933,0.8073786704852101,0
