motion_name,num_frames,duration,duration_completed_ratio,has_nan,fall_down,mean_joint_position_error,max_joint_position_error,mean_joint_velocity_error,max_joint_velocity_error,mean_root_position_error,max_root_position_error,mean_root_rotation_error,max_root_rotation_error,mean_ctrl,max_ctrl,mean_torque,max_torque,root_height_min,root_height_mean,root_height_max,min_root_height,mean_jerk,max_jerk,foot_slip_score,foot_contact_accuracy,ground_penetration_depth,kp,kd,torque_clip,ignore_actuator_ctrlrange,time_scale,smooth_window,target_blend,root_height_offset,extra_joint_damping,score,success,failure_reason,output_pkl,video_path,video_error
08_01_unitree_g1_gmr.pkl,16,0.7527173913043479,0.6323754512635383,False,True,0.1686871111058848,2.0154179337704496,1.5957438703961835,18.34296858614715,0.20174707310951173,0.5034204534580082,0.5055763396834018,0.9074737640558005,0.9418654761796096,1.0,0.9418654761796096,1.0,0.2491840129369352,0.529795207925663,0.74042519114841,0.2491840129369352,366363.6828947854,2251172.139637299,0.875230734086023,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3502.2506468260294,False,root height below threshold: 0.2492 < 0.25; duration completed ratio too low: 0.6324 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/08_01_unitree_g1_gmr_pd_tracking.pkl,,
08_04_unitree_g1_gmr.pkl,17,0.8,0.5425000000000004,False,True,0.17425738613708341,2.3044237874664084,1.4249249702963054,12.947780522784793,0.17498765218583706,0.48053082195993657,0.3419638113801387,0.7490527199275551,0.9300265603311538,1.0,0.9300265603311538,1.0,0.2496444680653713,0.5595941158088675,0.7481463761544744,0.2496444680653713,344513.7488624184,2347681.6028570663,0.9261752057592552,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3490.432806447146,False,root height below threshold: 0.2496 < 0.25; duration completed ratio too low: 0.5425 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/08_04_unitree_g1_gmr_pd_tracking.pkl,,
08_05_unitree_g1_gmr.pkl,16,0.7550675675675677,1.0,False,False,0.26644421318878453,1.863274708720653,1.4565939103042915,15.942289847847674,0.280373228662292,0.6754791004644713,0.823115228271873,1.914618921858476,0.9412562959532425,1.0,0.9412562959532425,1.0,0.2612529550793144,0.4845837375319839,0.7535264119215963,0.2612529550793144,356892.04193350184,2514356.1592307966,0.5343028182222657,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,1109.2153121221709,True,,outputs/final product/pd_tracking_tuning_debug/pkl_best/08_05_unitree_g1_gmr_pd_tracking.pkl,,
09_01_unitree_g1_gmr.pkl,17,0.8,0.5950000000000004,False,True,0.11556822193385678,1.4271865074474788,1.26412773801868,11.004759815565848,0.29259624289392977,0.6504874559726145,0.35941632819996455,1.3079788130985057,0.8481191801552316,1.0,0.8481191801552316,1.0,0.24942290288952285,0.5641698524090396,0.798831835004375,0.24942290288952285,394107.1437384347,2077677.1984790436,0.5396123648723784,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3486.2236701287084,False,root height below threshold: 0.2494 < 0.25; duration completed ratio too low: 0.5950 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/09_01_unitree_g1_gmr_pd_tracking.pkl,,
09_12_unitree_g1_gmr.pkl,16,0.7507828810020877,0.7725269377824128,False,True,0.15641645022308956,1.9457256960657396,1.282659154109999,10.273662368293571,0.25834224348106455,0.5803867623135015,0.549247572519148,1.07886061603564,0.9051305429531576,1.0,0.9051305429531576,1.0,0.24950532215484145,0.5585374204797813,0.810130970417946,0.24950532215484145,397946.5720079117,2171967.3120407825,0.6680638092693985,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3517.712593299052,False,root height below threshold: 0.2495 < 0.25; duration completed ratio too low: 0.7725 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/09_12_unitree_g1_gmr_pd_tracking.pkl,,
10_01_unitree_g1_gmr.pkl,16,0.7509375,0.6205576362879738,False,True,0.11991460881099555,2.244679203499663,1.2535494669258331,12.338034569786211,0.20291651622915238,0.582878971288369,0.3818313914194622,1.1453297074020055,0.8444690025650347,1.0,0.8444690025650347,1.0,0.2496919569327263,0.6292253155174266,0.8315937076708501,0.2496919569327263,408892.56489910494,2210766.952073876,0.8943886963352976,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3540.001538280241,False,root height below threshold: 0.2497 < 0.25; duration completed ratio too low: 0.6206 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/10_01_unitree_g1_gmr_pd_tracking.pkl,,
13_01_unitree_g1_gmr.pkl,16,0.7503243944636677,1.0,False,False,0.20393294690428249,2.312992577707347,1.2525428499997873,17.036418224088592,0.27833231335108605,0.5601902697386529,0.22194237597166944,0.42305921628750015,0.8883271909086031,1.0,0.8883271909086031,1.0,0.27674072880662,0.5467132614797332,0.822458882984194,0.27674072880662,342192.9669715826,2290330.4470181353,0.7225349068296497,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,1116.7834030695776,True,,outputs/final product/pd_tracking_tuning_debug/pkl_best/13_01_unitree_g1_gmr_pd_tracking.pkl,,
13_11_unitree_g1_gmr.pkl,16,0.7554611650485435,0.9848289156626515,False,True,0.1754137598747088,2.2870940168892746,1.1736819648040742,11.12661604382161,0.2897012687225023,0.5688842393068116,0.4031039321738098,1.0797563365079115,0.8813848978169531,1.0,0.8813848978169531,1.0,0.24937264137652385,0.5230065880607166,0.811467975885832,0.24937264137652385,385948.83316997316,2245375.2763021444,0.6997003767636751,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3519.0849919273073,False,root height below threshold: 0.2494 < 0.25,outputs/final product/pd_tracking_tuning_debug/pkl_best/13_11_unitree_g1_gmr_pd_tracking.pkl,,
13_17_unitree_g1_gmr.pkl,17,0.8,0.6900000000000004,False,True,0.16694373517599173,1.8133985113612818,1.2905403952501895,11.545623871242388,0.29541443711237597,0.53438959040443,0.18837198887398554,0.6837544665480118,0.8139358328814948,1.0,0.8139358328814948,1.0,0.24970319048226072,0.5097313545299544,0.7998197037866058,0.24970319048226072,315623.32279303635,2297663.377306404,0.8633031426866992,,,80.0,4.0,150.0,False,1.5,5,0.8,0.05,0.3,-3443.9861704395103,False,root height below threshold: 0.2497 < 0.25; duration completed ratio too low: 0.6900 < 0.9,outputs/final product/pd_tracking_tuning_debug/pkl_best/13_17_unitree_g1_gmr_pd_tracking.pkl,,
