motion_name,method,body_name,global_position_error_mean,root_relative_position_error_mean,scale_normalised_position_error_mean,motion_range_difference,body_orientation_error_mean_deg,body_orientation_error_max_deg,body_or_pair,metric,value
111_23,direct_mapping,right_hip,1.2058972214410821,1.1760622215451886,0.9853112993104081,0.8907938669665637,,,,,
111_23,direct_mapping,left_knee,1.192208777821929,1.218119998238163,1.024246345546542,0.7349083856504236,,,,,
111_23,direct_mapping,right_knee,1.205050391444107,1.1982323893432758,1.0002390658368854,0.7682667184287896,,,,,
111_23,direct_mapping,left_foot,1.187583824720478,1.1447834361695857,0.9548151102670452,0.7965361756734914,,,,,
111_23,direct_mapping,right_foot,1.210364677026899,1.1561699413641506,0.9703062251945708,0.7080012224263633,,,,,
111_23,direct_mapping,pelvis/root,,,,,4.444503106711446,10.153010510192257,,,
111_23,direct_mapping,torso,,,,,4.538754990954882,9.897404598609777,,,
111_23,direct_mapping,left_foot,,,,,8.849024382943087,25.58676434056216,,,
111_23,direct_mapping,right_foot,,,,,10.710510854497961,28.451436861011118,,,
111_23,direct_mapping,left_hand,,,,,18.12911020637632,54.91033707900595,,,
111_23,direct_mapping,right_hand,,,,,14.891500380292408,38.1397376464814,,,
111_23,direct_mapping,,,,,,,,right_shoulder_yaw_link | torso_link,self_collision_frame_count,13.0
111_23,direct_mapping,,,,,,,,left_shoulder_yaw_link | torso_link,self_collision_frame_count,6.0
111_23,basic_ik,pelvis/root,1.2170591594339828,0.36167106381434183,0.1288362859042669,0.19846454331839639,,,,,
111_23,basic_ik,torso,1.282410414536787,0.5391111270675241,0.19091283891952002,0.20239452284384066,,,,,
111_23,basic_ik,head,1.2517690048611194,0.46939361885859143,0.0992063832811677,0.17679641594897913,,,,,
111_23,basic_ik,left_shoulder,1.2479276165291198,0.379460996041964,0.1297655899732189,0.23715949076129325,,,,,
111_23,basic_ik,right_shoulder,1.2174902506195913,0.4522143343773592,0.1303130501180293,0.20055483744592723,,,,,
111_23,basic_ik,left_elbow,1.2289758393489605,0.366030205283248,0.13362260381728827,0.1857967940420091,,,,,
111_23,basic_ik,right_elbow,1.216949327789822,0.3895015734529135,0.1499013146909725,0.19836399384120348,,,,,
111_23,basic_ik,left_hand,1.225503467639942,0.35204954563558816,0.10795153519712287,0.21680743762151908,,,,,
111_23,basic_ik,right_hand,1.207026145531001,0.38675372736299257,0.1237050946610639,0.2088133055202699,,,,,
111_23,basic_ik,left_hip,1.212975142147826,0.36147905691404575,0.10595454996003356,0.16471364921794754,,,,,
111_23,basic_ik,right_hip,1.21377598350171,0.348475298415012,0.11547726864113664,0.18480858874872796,,,,,
111_23,basic_ik,left_knee,1.2119378696756107,0.32687442666471267,0.10883227984574993,0.17616888561767377,,,,,
111_23,basic_ik,right_knee,1.2038383086217874,0.3522825255502753,0.1187688559399608,0.20608372013722903,,,,,
111_23,basic_ik,left_foot,1.2082195451522697,0.3049750783583118,0.10858272392699898,0.1793779958714429,,,,,
111_23,basic_ik,right_foot,1.199035523531155,0.3310074891885943,0.11834465768765656,0.21179243538754544,,,,,
111_23,basic_ik,pelvis/root,,,,,27.67503233147405,36.142067099610315,,,
111_23,basic_ik,torso,,,,,8.851540923801961,19.117435698714427,,,
111_23,basic_ik,left_foot,,,,,70.79297171058558,102.4129379890757,,,
111_23,basic_ik,right_foot,,,,,118.75679063804154,172.61054264332435,,,
111_23,basic_ik,left_hand,,,,,17.453998101657618,38.15941114302804,,,
111_23,basic_ik,right_hand,,,,,20.245609652457638,37.626178490972215,,,
111_23,basic_ik,,,,,,,,left_knee_link | right_ankle_pitch_link,self_collision_frame_count,1.0
111_23,basic_ik,,,,,,,,left_shoulder_yaw_link | torso_link,self_collision_frame_count,79.0
111_23,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_yaw_link,self_collision_frame_count,46.0
111_23,basic_ik,,,,,,,,left_hip_pitch_link | left_wrist_yaw_link,self_collision_frame_count,43.0
111_23,basic_ik,,,,,,,,left_hip_pitch_link | left_wrist_pitch_link,self_collision_frame_count,38.0
111_23,basic_ik,,,,,,,,left_ankle_pitch_link | right_knee_link,self_collision_frame_count,1.0
111_23,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_pitch_link,self_collision_frame_count,48.0
111_23,basic_ik,,,,,,,,left_knee_link | right_knee_link,self_collision_frame_count,1.0
111_23,basic_ik,,,,,,,,right_hip_pitch_link | right_wrist_pitch_link,self_collision_frame_count,51.0
111_23,basic_ik,,,,,,,,right_hip_pitch_link | right_wrist_yaw_link,self_collision_frame_count,53.0
111_23,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_pitch_link,self_collision_frame_count,74.0
111_23,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_yaw_link,self_collision_frame_count,72.0
111_23,basic_ik,,,,,,,,right_shoulder_yaw_link | torso_link,self_collision_frame_count,6.0
111_23,basic_ik,,,,,,,,left_elbow_link | torso_link,self_collision_frame_count,2.0
111_23,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_roll_link,self_collision_frame_count,18.0
111_23,basic_ik,,,,,,,,right_elbow_link | right_hip_roll_link,self_collision_frame_count,2.0
111_23,basic_ik,,,,,,,,right_hip_pitch_link | right_wrist_roll_link,self_collision_frame_count,12.0
111_23,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_roll_link,self_collision_frame_count,15.0
111_23,basic_ik,,,,,,,,left_hip_pitch_link | left_wrist_roll_link,self_collision_frame_count,7.0
111_23,basic_ik,,,,,,,,right_ankle_roll_link | right_knee_link,self_collision_frame_count,4.0
111_23,gmr,pelvis/root,0.24751444982265083,0.31772243697798624,0.22543866373715138,0.449190627998649,,,,,
111_23,gmr,torso,0.4650131546319218,0.5062072027824913,0.2740416973160072,0.4333078043547065,,,,,
111_23,gmr,head,0.3809071304768944,0.43133773714527507,0.22985092012659017,0.4991113892066581,,,,,
111_23,gmr,left_shoulder,0.29639431260957544,0.3433628597252068,0.24711210779044163,0.5195319694928645,,,,,
111_23,gmr,right_shoulder,0.3361863666736018,0.4091793609007897,0.23689445730060335,0.47162709985769896,,,,,
111_23,gmr,left_elbow,0.2850733467735108,0.35830430963227494,0.2642803568543961,0.47439088946287544,,,,,
111_23,gmr,right_elbow,0.2681908176470991,0.35016532756605717,0.29410776904197844,0.5294897985768426,,,,,
111_23,gmr,left_hand,0.24849079247569633,0.3190629281009755,0.26821069910492984,0.5635365413451489,,,,,
111_23,gmr,right_hand,0.2510887544851015,0.34659485985958394,0.3048598880188036,0.5898277500008721,,,,,
111_23,gmr,left_hip,0.2581624619127487,0.3290970461712156,0.21956635424319773,0.44823775560521856,,,,,
111_23,gmr,right_hip,0.25069171013354874,0.3234953855076939,0.23249058291154348,0.4755969120731448,,,,,
111_23,gmr,left_knee,0.22563325795439176,0.29655046612649555,0.2150772495425433,0.4241334463021582,,,,,
111_23,gmr,right_knee,0.2323505653491825,0.3053509347508116,0.24424280793590566,0.504463250194457,,,,,
111_23,gmr,left_foot,0.1894450964320069,0.26342487646902896,0.22751881013707098,0.4348159154762621,,,,,
111_23,gmr,right_foot,0.18620353678254176,0.2679567377544536,0.25961566882558706,0.5143389319619202,,,,,
111_23,gmr,pelvis/root,,,,,6.479928444605095,12.21340978540985,,,
111_23,gmr,torso,,,,,4.873486435905295,10.465285178519986,,,
111_23,gmr,left_foot,,,,,14.129863108182684,28.857335456281255,,,
111_23,gmr,right_foot,,,,,6.843836840325581,24.283779119370028,,,
111_23,gmr,left_hand,,,,,10.848953955838958,44.31953624300899,,,
111_23,gmr,right_hand,,,,,11.101699974926259,24.53943031159376,,,
111_23,gmr,,,,,,,,left_hip_roll_link | left_wrist_yaw_link,self_collision_frame_count,21.0
111_23,gmr,,,,,,,,left_hip_roll_link | left_wrist_pitch_link,self_collision_frame_count,15.0
111_23,gmr,,,,,,,,left_hip_pitch_link | left_wrist_yaw_link,self_collision_frame_count,12.0
111_23,gmr,,,,,,,,left_hip_pitch_link | left_wrist_pitch_link,self_collision_frame_count,12.0
