motion_name,method,joint_name,maximum_velocity_rad_s,maximum_acceleration_rad_s2,mean_jerk_rad_s3,maximum_jerk_rad_s3,joint_limit_violation_count,joint_limit_maximum_violation_rad
05_04,direct_mapping,left_hip_pitch_joint,3.0507652553771796,51.35309809507982,94.6677644522215,776.1775739207637,0,0.0
05_04,direct_mapping,left_hip_roll_joint,3.1770163309717723,52.88442327492459,84.13917881500039,1620.9697866551169,0,0.0
05_04,direct_mapping,left_hip_yaw_joint,3.339206062202317,66.92799821149009,125.92140043298454,1581.4988755267018,0,0.0
05_04,direct_mapping,left_knee_joint,4.105012512377562,77.28656810230642,155.86405056714057,2068.146536399303,101,0.2898053403801491
05_04,direct_mapping,left_ankle_pitch_joint,8.79878965626317,132.9125363263508,184.96615704460928,3532.9835949970047,13,0.18904072903323998
05_04,direct_mapping,left_ankle_roll_joint,7.404369181496882,146.69064691820714,156.344277349352,3112.044334354161,96,0.5164500815067246
05_04,direct_mapping,right_hip_pitch_joint,4.201076497721773,45.42463693464435,97.44192634681603,687.5490463179764,0,0.0
05_04,direct_mapping,right_hip_roll_joint,3.1406859024962457,40.18713688918149,71.98511365162459,1312.1039337649904,0,0.0
05_04,direct_mapping,right_hip_yaw_joint,5.318890331913499,61.599460984394504,120.44704364530133,1208.0856430266992,0,0.0
05_04,direct_mapping,right_knee_joint,6.277584500692856,57.543408917666575,155.3939098752808,1198.5011756234335,0,0.0
05_04,direct_mapping,right_ankle_pitch_joint,8.935144464961915,109.37118175989346,170.05643785564465,2412.237649628077,19,0.25561657270372296
05_04,direct_mapping,right_ankle_roll_joint,4.899372878987244,62.39642575689747,137.68682341872608,1425.550992700726,40,0.46293907415185337
05_04,direct_mapping,waist_yaw_joint,3.018564180464263,33.06487157200241,87.82711820528121,812.3155588919826,0,0.0
05_04,direct_mapping,waist_roll_joint,2.7844708316628592,33.00791388831501,83.0945544334808,1008.0426215294393,0,0.0
05_04,direct_mapping,waist_pitch_joint,3.217070296018495,26.91949391836036,96.44012757798008,586.7278991948298,26,0.4841551205740289
05_04,direct_mapping,left_shoulder_pitch_joint,4.536912340622554,47.513904747074605,155.2689500999847,860.5620853575076,14,0.12752602818330372
05_04,direct_mapping,left_shoulder_roll_joint,6.106517513899951,84.95694605244142,155.30468528042158,1280.8516338679087,85,0.7598211958465998
05_04,direct_mapping,left_shoulder_yaw_joint,8.841886279832954,53.41201892792146,144.70934171629426,1103.7691665222333,0,0.0
05_04,direct_mapping,left_elbow_joint,7.6083265548897785,99.57142196033703,208.0408959471319,1877.1385106921523,0,0.0
05_04,direct_mapping,left_wrist_roll_joint,8.880357062083283,132.8914979425796,435.49321541048107,3074.3010757999427,0,0.0
05_04,direct_mapping,left_wrist_pitch_joint,7.504937538880499,102.20963340430227,257.036441184428,2439.930792757345,0,0.0
05_04,direct_mapping,left_wrist_yaw_joint,11.29940357859831,143.8207859330141,380.15315494271675,3925.3263417051944,0,0.0
05_04,direct_mapping,right_shoulder_pitch_joint,4.457126477357436,51.54047585032248,161.0416332814281,945.6322082958144,0,0.0
05_04,direct_mapping,right_shoulder_roll_joint,6.700367337167798,53.85989294360986,120.40835514628361,902.1167284142766,65,0.49598804566643506
05_04,direct_mapping,right_shoulder_yaw_joint,6.281466888708224,65.21721155222792,143.10464847153472,928.5089491169373,9,0.21153937001735534
05_04,direct_mapping,right_elbow_joint,9.404394821103791,100.04748031587694,202.26643605112503,1604.684650071238,7,0.4907657693495515
05_04,direct_mapping,right_wrist_roll_joint,8.434211351484732,148.2190360834141,368.13590561315175,3211.1185276512997,0,0.0
05_04,direct_mapping,right_wrist_pitch_joint,6.9680735705561965,80.29846266455786,229.08094964578416,2265.3939014012726,0,0.0
05_04,direct_mapping,right_wrist_yaw_joint,13.072497172930289,159.56972346413372,369.3663091008329,3941.5487548640376,0,0.0
05_04,basic_ik,left_hip_pitch_joint,4.953840298963797,77.71046038308569,214.42423608374995,1249.800648767544,0,0.0
05_04,basic_ik,left_hip_roll_joint,6.4898696053486695,146.2147019534451,189.59067539438533,3424.3683300992607,0,0.0
05_04,basic_ik,left_hip_yaw_joint,23.220631207247006,523.6466539665898,1049.3142539931043,13516.055966103824,140,2.4754850902245007
05_04,basic_ik,left_knee_joint,9.872580610002135,186.9281039034953,403.3554179891018,4447.775107237579,150,1.2137803048588844
05_04,basic_ik,left_ankle_pitch_joint,32.25087949102184,562.9596302168208,1364.0752316382154,16209.728580799665,233,2.1534173966104464
05_04,basic_ik,left_ankle_roll_joint,82.0617810464929,1492.2990201868608,3616.213949088819,35201.873883151704,298,13.332869898626146
05_04,basic_ik,right_hip_pitch_joint,6.022105064828809,132.41516929653847,218.07132412490884,2592.6680513072483,0,0.0
05_04,basic_ik,right_hip_roll_joint,3.3097040339936563,65.98640038093124,151.55021838452808,1839.5908484996144,0,0.0
05_04,basic_ik,right_hip_yaw_joint,30.217031299700228,342.53278495993396,732.1307608297129,10148.169248458327,86,2.224453667763128
05_04,basic_ik,right_knee_joint,10.385607479418175,165.55455388345456,262.0366861865155,3891.734748021885,251,1.1629357027928853
05_04,basic_ik,right_ankle_pitch_joint,25.287602092909257,738.9738793818399,651.2363427306128,16932.841385672218,246,1.9642900712632927
05_04,basic_ik,right_ankle_roll_joint,48.857029601376745,1301.010497177885,1848.3924726855812,33050.70195229702,275,2.928134641249275
05_04,basic_ik,waist_yaw_joint,3.6737244202674764,65.27385131400865,132.00105859129994,1085.238985893661,0,0.0
