motion_name,method,source_file,source_fps_original,source_frames_original,source_duration_original,pkl_file,fps_original,fps_evaluation,frames_original,frames_evaluated,duration_original,duration_evaluated,success,failure_reason,global_body_position_error_mean,global_body_position_error_max,root_relative_position_error_mean,scale_normalised_position_error_mean,end_effector_error_mean,root_trajectory_error_mean,body_orientation_error_mean,total_foot_sliding_distance,mean_contact_sliding_velocity,maximum_ground_penetration,penetration_frame_ratio,self_collision_frame_ratio,joint_limit_violation_ratio,mean_joint_velocity,rms_joint_acceleration,rms_joint_jerk,root_linear_jerk,root_angular_jerk,discontinuity_count,discontinuity_frame_ratio,truncated_duration,reference_to_robot_scale,global_body_position_error_median,global_body_position_error_std,global_body_position_error_p95,root_relative_position_error_median,root_relative_position_error_std,root_relative_position_error_max,root_relative_position_error_p95,scale_normalised_position_error_median,scale_normalised_position_error_std,scale_normalised_position_error_max,scale_normalised_position_error_p95,end_effector_error_median,end_effector_error_std,end_effector_error_max,end_effector_error_p95,left_foot_end_effector_error_mean,left_foot_end_effector_error_max,right_foot_end_effector_error_mean,right_foot_end_effector_error_max,left_hand_end_effector_error_mean,left_hand_end_effector_error_max,right_hand_end_effector_error_mean,right_hand_end_effector_error_max,head_end_effector_error_mean,head_end_effector_error_max,root_horizontal_trajectory_error_mean,root_vertical_position_error_mean,root_displacement_error_mean,root_heading_error_mean_deg,final_root_displacement_difference,motion_range_preservation_error_mean,body_orientation_error_median,body_orientation_error_std,body_orientation_error_max,body_orientation_error_p95,rms_joint_velocity,maximum_joint_velocity,p95_joint_velocity,mean_joint_acceleration,maximum_joint_acceleration,p95_joint_acceleration,mean_joint_jerk,maximum_joint_jerk,p95_joint_jerk,root_linear_velocity_rms,root_linear_acceleration_rms,root_angular_velocity_rms,root_angular_acceleration_rms,maximum_discontinuity,first_discontinuity_frame,worst_discontinuity_frame,discontinuity_type,left_foot_sliding_distance,right_foot_sliding_distance,maximum_contact_sliding_velocity,sliding_frame_count,sliding_frame_ratio,left_foot_contact_duration,right_foot_contact_duration,minimum_ground_clearance,mean_ground_clearance,unexpected_ground_contact_count,penetration_frame_count,mean_ground_penetration,left_foot_maximum_penetration,right_foot_maximum_penetration,maximum_penetration_frame_index,penetration_geom_names,self_collision_frame_count,total_self_contact_count,maximum_contacts_in_one_frame,involved_body_pairs,first_collision_frame,worst_collision_frame,maximum_self_penetration_depth,joint_limit_violation_frame_count,mean_joint_limit_violation,maximum_joint_limit_violation,joint_with_maximum_violation
05_04,direct_mapping,/mnt/d/GMR_WORK/use mode/05_04_poses.npz,120.0,1199,9.983333333333333,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/05_04_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,30.0,30.0,300,298,9.966666666666667,9.9,False,severe_ground_penetration;long_ground_penetration;long_self_collision;joint_limit_violation,1.466364524772201,2.055786608381473,0.4130266140875111,0.24640012591594884,0.35105921273239,0.15145609778240943,23.36684536659474,1.5832695170516704,0.1270002286405083,0.062483131450100336,0.5536912751677853,0.47315436241610737,0.714765100671141,0.780988358251477,17.2475743944547,354.4617475833975,14.411094554023634,131.03480950563292,0,0.0,0.06666666666666643,0.766898421010705,1.4875103490558312,0.24118468405161297,1.9117909194909268,0.3828972131121209,0.20979411820766794,1.1558966002796378,0.7542173481791918,0.21045162095559672,0.15819206691361398,0.7146747272894883,0.5715270203313682,0.37887592581227125,0.18819829829162085,0.7146747272894883,0.6337988720153992,0.5475989915511069,0.7146747272894883,0.12305531328312522,0.35375558310154187,0.3485373153110119,0.6165939359477179,0.5189855783111805,0.6941353139171776,0.21711886520552515,0.408674726187915,0.15145609778240943,0.13154866283874792,0.1514560977824094,35.25525530493062,0.3758544494205869,0.3282996438494031,12.390387757641363,30.482561653371555,171.46922474636412,90.72821740963036,1.4871899641062716,13.072497172930289,3.4579171140802103,8.978278765975523,159.56972346413372,36.391857133436126,177.64437260562218,3941.5487548640376,699.5677647741933,0.17993821582835157,0.9955113974684151,0.657265481783221,5.2599883944300245,0.5330676811298172,-1,250,,0.29016108415286784,1.2931084328988027,1.2693067353728815,227,0.761744966442953,4.266666666666667,8.2,-0.05568205716499629,0.17170163035872343,13,165,0.013877457159195226,0.062483131450100336,0.04669390920268182,133,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",141,1213,17,left_elbow_link | right_elbow_link; left_elbow_link | right_shoulder_yaw_link; left_elbow_link | torso_link; left_shoulder_roll_link | torso_link; left_shoulder_yaw_link | right_elbow_link; left_shoulder_yaw_link | right_shoulder_yaw_link; left_shoulder_yaw_link | torso_link; left_wrist_pitch_link | pelvis; left_wrist_pitch_link | right_elbow_link; left_wrist_pitch_link | right_shoulder_yaw_link; left_wrist_pitch_link | right_wrist_pitch_link; left_wrist_pitch_link | right_wrist_roll_link; left_wrist_pitch_link | torso_link; left_wrist_roll_link | right_elbow_link; left_wrist_roll_link | right_shoulder_yaw_link; left_wrist_roll_link | torso_link; left_wrist_yaw_link | pelvis; left_wrist_yaw_link | right_elbow_link; left_wrist_yaw_link | right_wrist_pitch_link; left_wrist_yaw_link | right_wrist_roll_link; left_wrist_yaw_link | torso_link; pelvis | right_wrist_pitch_link; pelvis | right_wrist_yaw_link; right_elbow_link | torso_link; right_hip_roll_link | right_wrist_pitch_link; right_hip_roll_link | right_wrist_yaw_link; right_shoulder_pitch_link | right_wrist_pitch_link; right_shoulder_pitch_link | right_wrist_yaw_link; right_shoulder_roll_link | right_wrist_pitch_link; right_shoulder_roll_link | right_wrist_roll_link; right_shoulder_roll_link | torso_link; right_shoulder_yaw_link | right_wrist_roll_link; right_shoulder_yaw_link | torso_link; right_wrist_pitch_link | torso_link; right_wrist_roll_link | torso_link; right_wrist_yaw_link | torso_link,132,160,0.12159801622968024,213,0.24630999820173088,0.7598211958465998,left_shoulder_roll_joint
05_04,basic_ik,/mnt/d/GMR_WORK/use mode/05_04_poses.npz,120.0,1199,9.983333333333333,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/05_04_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,30.0,30.0,300,298,9.966666666666667,9.9,False,long_ground_penetration;long_self_collision;joint_limit_violation;motion_discontinuity,1.470608018476251,1.7068197803955556,0.26096810909743756,0.08118564773165207,0.07789296107732047,0.12503333559207652,65.16247691432768,3.2760823914479618,0.22286274771754844,0.046451102019033165,0.8557046979865772,0.3087248322147651,1.0,1.8411720634761415,106.28821398880564,2736.318089215739,14.767150077670637,176.60205841723737,73,0.24496644295302014,0.06666666666666643,0.766898421010705,1.4887774594020031,0.1516687602225246,1.683351717585961,0.28024997040416566,0.11052320401454095,0.5069522609840446,0.45406075020847064,0.08223989134381335,0.0323456194192337,0.17396061355452624,0.13564885718626218,0.08368265386525692,0.03554199488824445,0.17396061355452624,0.13770518514300154,0.05835638296578946,0.1051575165489132,0.0472762389581005,0.10368459364668257,0.09697919578457938,0.16767449392380043,0.09346722099554525,0.17396061355452624,0.09338576668258773,0.15436511161570746,0.12503333559207652,0.13522896666700268,0.12456022890506852,36.93494423640964,0.31417659606836046,0.11277536187876701,47.43441059348925,59.03192631550929,179.9326021339023,170.64679961710354,5.0828462821136755,87.91901652256959,7.362935949009036,36.77782960343247,1492.2990201868608,159.32936076975795,941.4781900308104,35201.873883151704,4201.004760416351,0.19026711210738895,1.0359566722884297,0.6988497364583294,6.846552268053193,3.0989365211053137,5,225,"joint_angle,body_orientation",1.5803968755663695,1.6956855158815922,3.372002720288202,246,0.825503355704698,6.2,8.5,-0.04248411985613468,0.09802323308098247,28,255,0.02745787388826256,0.046451102019033165,0.04285123081813542,133,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",92,161,6,left_ankle_roll_link | left_knee_link; left_elbow_link | torso_link; left_shoulder_roll_link | torso_link; left_shoulder_yaw_link | torso_link; left_wrist_pitch_link | right_elbow_link; left_wrist_roll_link | torso_link; right_ankle_roll_link | right_knee_link; right_elbow_link | torso_link; right_shoulder_roll_link | torso_link; right_shoulder_yaw_link | torso_link,0,159,0.034137869307041394,298,2.1700831127369957,13.332869898626146,left_ankle_roll_joint
05_04,gmr,/mnt/d/GMR_WORK/use mode/05_04_poses.npz,120.0,1199,9.983333333333333,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/05_04_poses_unitree_g1_gmr.pkl,29.924937447873226,30.0,298,298,9.924832775919732,9.9,False,severe_ground_penetration;long_ground_penetration,0.26869883574157166,0.479747316928851,0.2584587983256616,0.11870540849604881,0.1241525831786068,0.09829903086147455,11.003764053725797,1.8095895098935522,0.11575199423626131,0.059602389219424304,0.9899328859060402,0.020134228187919462,0.006711409395973154,0.9168360996825123,25.952847033666714,478.32201815553356,26.279900587310824,392.1872267145263,0,0.0,0.024832775919731986,0.766898421010705,0.2738950804263922,0.10500054274869762,0.44625586948799545,0.26737549002349603,0.1037733680068243,0.5870067828135613,0.4209269043509962,0.1028858929403978,0.07689148613009711,0.4159164308909858,0.2596600491203063,0.09641666669544591,0.08006356298710175,0.4159164308909858,0.2775022424051936,0.10380207811739804,0.28777262844187845,0.09667032032326278,0.34753207014058535,0.1535082534144818,0.4159164308909858,0.1494439654425625,0.39358257180540546,0.11733829859532881,0.27165609928649176,0.09829903086147455,0.16795216558416493,0.09594245152348976,35.93813586046824,0.24978925669249508,0.23077445416234685,9.045378404933974,9.062031903985174,72.29852205292211,28.044262441072483,1.900633433609024,31.81100679576885,4.044822517862259,11.14342745537125,450.69124215687685,46.39839503594276,208.86684750495138,6778.501131615832,887.910396635295,0.19520864379220162,1.3363909001406586,0.7788272283382527,10.491992961711896,0.827003874623547,-1,1,,0.5887504679254378,1.220839041968114,3.0858251228701974,223,0.7483221476510067,6.866666666666666,8.766666666666667,-0.05158943449974177,0.11281341767302401,17,295,0.030376934081208305,0.04823320540172656,0.059602389219424304,178,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",6,16,5,left_shoulder_roll_link | torso_link; left_shoulder_yaw_link | torso_link; left_wrist_pitch_link | right_elbow_link; left_wrist_pitch_link | right_shoulder_yaw_link; right_shoulder_yaw_link | torso_link,154,159,0.014027321019010431,2,8.326672684688674e-17,1.1102230246251565e-16,right_ankle_pitch_joint
111_23,direct_mapping,/mnt/d/GMR_WORK/use mode/111_23_poses.npz,120.0,1129,9.4,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/111_23_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,30.0,30.0,283,281,9.4,9.333333333333334,False,long_ground_penetration;joint_limit_violation,1.2105310094660269,1.8261533688813556,1.1830974915165475,0.9925791670623122,0.9839728379484545,0.2985815937123134,10.260567320296017,6.122334560018787,0.602196841969061,0.048626037432901566,0.4199288256227758,0.06761565836298933,0.7686832740213523,0.7409337362127396,14.538792342948815,282.0104103277523,14.346867810487083,137.02191907119618,0,0.0,0.06666666666666643,0.7691692013648124,1.2282209422015393,0.23650867154101335,1.563836244478694,1.3360367995255535,0.618251266085046,2.185414692324712,2.037262914413772,1.1182669712458493,0.525674967673902,1.873896533800523,1.7162306656186677,1.079649535113367,0.4838289550780086,1.7653265333916137,1.6828205445080011,0.9548151102670452,1.7462047684525073,0.9703062251945708,1.7214804996621218,0.9922000824619736,1.7059804717195999,0.9903121798701765,1.7653265333916137,1.0122305919485064,1.7600251425084945,0.2985815937123134,0.1275265490347328,0.2985815937123132,78.65750425283044,0.3680910220541307,0.831343257840894,8.126212033678062,7.8335068054503,54.91033707900595,26.25580901199359,1.1145022127268356,6.994311439164321,2.4053303938153126,9.444046074977003,148.26090927749203,30.658768096096896,175.79838629438495,3825.432424290638,583.1549895927142,0.40342648217683913,0.9434542655184396,0.6959301412617834,6.0497268224810155,0.28848033043406934,-1,114,,2.0468641017062965,4.075470458312491,2.719109235286009,212,0.7544483985765125,3.7333333333333334,6.433333333333334,-0.04073237373727968,0.0290729554356409,37,118,0.008213314406450935,0.048626037432901566,0.04112885828746057,124,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",19,19,1,left_shoulder_yaw_link | torso_link; right_shoulder_yaw_link | torso_link,18,18,0.011309198454494414,216,0.2548011640556738,0.6990482232736704,left_knee_joint
111_23,basic_ik,/mnt/d/GMR_WORK/use mode/111_23_poses.npz,120.0,1129,9.4,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/111_23_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,30.0,30.0,283,281,9.4,9.333333333333334,False,long_ground_penetration;long_self_collision;joint_limit_violation,1.2229929065947123,1.5304102898249798,0.381418671132365,0.12467833550427915,0.111558078950802,0.2829748793113215,43.962657226336404,3.8506551164523115,0.2852337123298009,0.04415156077875319,0.697508896797153,0.6512455516014235,1.0,0.9043371536642045,35.712069718046976,694.0427901126956,17.957801618427776,1198.638345468212,1,0.0035587188612099642,0.06666666666666643,0.7691692013648124,1.2527300444527938,0.16740185176758035,1.4450810107612144,0.3987663954802107,0.14772185766844897,0.7069345446700812,0.5874278175178357,0.13445565819678013,0.056668955007703824,0.2604082905081118,0.20691554126813727,0.12387329959108061,0.05696960315230908,0.2133596241512553,0.19718804422907427,0.10858272392699898,0.19087674015938383,0.11834465768765656,0.2073073142959695,0.10795153519712287,0.18848949711072413,0.1237050946610639,0.2133596241512553,0.0992063832811677,0.19431527260263107,0.2829748793113215,0.1641519919869753,0.28226967172977807,79.6227112853849,0.3303334620115599,0.1965397744216003,27.02046036782935,40.94720251697359,172.61054264332435,135.330506444355,1.8051127707785986,48.8246564393661,3.1592982838604584,13.740723524804267,1189.4664506440106,47.90692725034565,281.1613091722552,14587.914300150747,1033.708526978285,0.4124685902448892,1.1985748421970561,0.9197098792296009,29.31918413235128,1.1013713005775743,1,1,"joint_angle,body_orientation",2.316251203677006,1.5344039127753053,3.2232124938851485,261,0.9288256227758007,7.066666666666666,6.433333333333334,-0.03639096856547675,0.020537816764380042,42,196,0.01844943006773768,0.02177892750241925,0.04415156077875319,24,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",183,573,8,left_ankle_pitch_link | right_knee_link; left_elbow_link | torso_link; left_hip_pitch_link | left_wrist_pitch_link; left_hip_pitch_link | left_wrist_roll_link; left_hip_pitch_link | left_wrist_yaw_link; left_hip_roll_link | left_wrist_pitch_link; left_hip_roll_link | left_wrist_roll_link; left_hip_roll_link | left_wrist_yaw_link; left_knee_link | right_ankle_pitch_link; left_knee_link | right_knee_link; left_shoulder_yaw_link | torso_link; right_ankle_roll_link | right_knee_link; right_elbow_link | right_hip_roll_link; right_hip_pitch_link | right_wrist_pitch_link; right_hip_pitch_link | right_wrist_roll_link; right_hip_pitch_link | right_wrist_yaw_link; right_hip_roll_link | right_wrist_pitch_link; right_hip_roll_link | right_wrist_roll_link; right_hip_roll_link | right_wrist_yaw_link; right_shoulder_yaw_link | torso_link,0,0,0.050403754275170166,281,0.9988084546070923,2.2399953977414886,right_ankle_pitch_joint
111_23,gmr,/mnt/d/GMR_WORK/use mode/111_23_poses.npz,120.0,1129,9.4,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/111_23_poses_unitree_g1_gmr.pkl,29.973427812223207,30.0,281,281,9.34160756501182,9.333333333333334,False,severe_ground_penetration;long_ground_penetration,0.2747563836106982,0.5159198278617053,0.3445208312980227,0.24955386885911668,0.25801119724259636,0.17496448270934786,9.046294793297312,5.092634431610874,0.37910430011991614,0.06832324499104456,0.9786476868327402,0.07829181494661921,0.0,0.7924321072934357,15.060274476037241,288.309573717403,14.43025880803278,165.1354585646581,0,0.0,0.008274231678486288,0.7691692013648124,0.2605303294627763,0.08050875875661496,0.45122924020503524,0.34615282941071984,0.12531315077887392,0.6265752995757293,0.5413422104338464,0.2678232479908844,0.11803468178663365,0.5329586191996848,0.4121204514126378,0.2756993008759396,0.12590889219031864,0.5329586191996848,0.43469791736284397,0.22751881013707098,0.43266759246840636,0.25961566882558706,0.5246418353257787,0.26821069910492984,0.4554860701450902,0.3048598880188036,0.5329586191996848,0.22985092012659017,0.43415678356807463,0.17496448270934786,0.18122745983375704,0.17334624518068908,79.94844197834098,0.22348382078985707,0.4887733387939652,8.000003264755374,5.688924929974189,44.31953624300899,19.929655875541485,1.163367222245207,9.067461878720923,2.524754025048288,9.876160500963264,184.76881446761865,31.696892744672233,178.89704146285175,4495.939498728836,597.8479052256633,0.4452320277720828,0.9735586243869235,0.7271002921226201,6.9488960951689664,0.3466053316790327,-1,112,,2.332529105849006,2.7601053257618675,3.6847983300302816,209,0.7437722419928826,6.0,7.433333333333334,-0.058276798071552394,-0.014214447972199394,42,275,0.04223308465069612,0.06832324499104456,0.05970796926020734,16,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",22,60,4,left_hip_pitch_link | left_wrist_pitch_link; left_hip_pitch_link | left_wrist_yaw_link; left_hip_roll_link | left_wrist_pitch_link; left_hip_roll_link | left_wrist_yaw_link,3,249,0.03373261687955854,0,0.0,0.0,left_hip_pitch_joint
113_20,direct_mapping,/mnt/d/GMR_WORK/use mode/113_20_poses.npz,120.0,1448,12.058333333333334,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/113_20_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,30.0,30.0,362,361,12.033333333333333,12.0,False,joint_limit_violation,1.9610694705054508,2.8639167106008867,2.7359681884804865,2.369889722206703,2.389292022301086,0.2999457880842132,15.751078268184617,6.37100590693518,0.7212459517285109,0.02490477875862544,0.09695290858725762,0.0,0.12742382271468145,0.5720952886404077,11.193460114923877,202.42846158723162,10.018413376968942,83.54500684160796,0,0.0,0.033333333333333215,0.7612150442828164,1.9768657093832156,0.3044661630399478,2.434898873770379,2.5201636981547804,2.0901252601062796,6.559806281651105,6.213311447744572,2.181245823836121,1.817254307013605,5.675711841545333,5.38946734030377,2.1726630857469824,1.8133348973532013,5.675711841545333,5.432488398053016,2.355267869980829,5.489879459964366,2.3772620415444696,5.675711841545333,2.423700064770925,5.673771014788644,2.436773504657216,5.636259986591457,2.353456630551991,5.489397226742451,0.2999457880842132,0.12216484299945146,0.2999457880842128,84.37337718368754,0.03458334229844842,0.5777283877997481,15.739657646854537,8.020751037465377,40.69225211243569,28.735756480855734,0.9573450627587795,7.786727291138945,1.8631462713958442,6.421468900831593,133.89181672822164,22.343070895053195,111.31145957085613,2593.860047584839,381.7309183896275,0.3206811105488908,0.7645104118053698,0.6904436474074608,4.464592286385249,0.2692223571805604,-1,255,,3.770019959726745,2.600985947208434,2.097705196612071,162,0.4487534626038781,5.066666666666666,3.7666666666666666,-0.016863979517852522,0.12824568294866587,19,35,0.0013293429423048685,0.02490477875862544,0.010797706772249924,291,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",0,0,0,,-1,0,0.0,46,0.07173726519937858,0.2879304584645179,right_ankle_pitch_joint
113_20,basic_ik,/mnt/d/GMR_WORK/use mode/113_20_poses.npz,120.0,1448,12.058333333333334,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl Basic IK/113_20_poses_unitree_g1_basic_ik_pure_unconstrained.pkl,30.0,30.0,362,361,12.033333333333333,12.0,False,long_ground_penetration;long_self_collision;joint_limit_violation,1.9583906032641039,2.3680477917585847,1.372157389833279,1.1428481438673759,1.141641754444426,0.3015140618299532,56.732204194728276,2.025471506993118,0.20881149556630085,0.0360519967424579,0.28254847645429365,0.9307479224376731,1.0,0.7729292090940899,35.5354508351145,931.6203969784615,11.660301716239765,2111.594513634861,4,0.0110803324099723,0.033333333333333215,0.7612150442828164,1.9796916301131995,0.23627510231688,2.278493687023998,1.2620026717773476,0.9848114385287265,3.3343972834553663,2.988868770153875,1.0594540538344746,0.8565298096179881,2.8365141903211275,2.5421921962482967,1.0632744007264479,0.8603765820049559,2.8365141903211275,2.537605612121888,1.1500392563991364,2.7113856512433254,1.1252195330288906,2.527648237894017,1.168926834133307,2.8365141903211275,1.1364811162566049,2.5852162706058652,1.1275420324041914,2.580303884763224,0.3015140618299532,0.16092676854949065,0.30039847078339493,52.762227360972894,0.04284966453731384,2.5854965293315444,44.44823733359928,44.864103484931775,179.65378113500657,147.54246038086202,1.7824175851463344,45.55944370619963,2.903148783935464,11.722049255238739,1397.0287591988772,43.43201496958058,253.66344223561543,59984.64270787377,965.5983365112806,0.3209763535114301,0.8359111927659815,1.0586825283455656,49.91089200615674,2.4303848999551896,1,3,"joint_angle,body_orientation",1.2661352082895707,0.7593362987035475,2.12714354807465,190,0.5263157894736842,4.466666666666667,5.233333333333333,-0.027736477408528633,0.12434075136872694,21,102,0.007674035218803474,0.020962374549511813,0.0360519967424579,324,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",336,1486,9,left_ankle_roll_link | left_knee_link; left_hip_pitch_link | left_wrist_pitch_link; left_hip_pitch_link | left_wrist_yaw_link; left_hip_roll_link | left_wrist_pitch_link; left_hip_roll_link | left_wrist_roll_link; left_hip_roll_link | left_wrist_yaw_link; left_shoulder_roll_link | torso_link; left_shoulder_yaw_link | torso_link; right_ankle_roll_link | right_knee_link; right_hip_pitch_link | right_wrist_pitch_link; right_hip_pitch_link | right_wrist_yaw_link; right_hip_roll_link | right_wrist_pitch_link; right_hip_roll_link | right_wrist_roll_link; right_hip_roll_link | right_wrist_yaw_link; right_hip_yaw_link | right_wrist_pitch_link; right_hip_yaw_link | right_wrist_yaw_link; right_shoulder_yaw_link | torso_link,0,68,0.05873678468289589,361,1.242693009009674,4.329293876731451,left_ankle_roll_joint
113_20,gmr,/mnt/d/GMR_WORK/use mode/113_20_poses.npz,120.0,1448,12.058333333333334,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl gmr/113_20_poses_unitree_g1_gmr.pkl,30.0,30.0,361,361,12.0,12.0,False,severe_ground_penetration;long_ground_penetration,0.29232545977025365,0.5519953351099548,0.33357432010466886,0.2148947899053741,0.21176240766309065,0.18380968725315083,5.426662841328698,2.728378668639743,0.22003053779352766,0.09803114730019175,0.7008310249307479,0.0997229916897507,0.00554016620498615,0.6392631078197779,12.620918270781505,230.66688025585813,21.208921345783565,116.9676066221041,0,0.0,0.0,0.7612150442828164,0.280078287117187,0.09369083636806587,0.4750408103766536,0.32159552058874435,0.13209657461288335,0.660766298357854,0.5520177633139033,0.19059511217730712,0.14038369956294355,0.5467136801259028,0.4597868320313501,0.1819602598715811,0.14163801169300078,0.545277985913519,0.46993708407486656,0.21942139567245714,0.545277985913519,0.21945085319861848,0.5120135180625242,0.2113399205165839,0.5219380840956601,0.21157004213830943,0.5073025469818891,0.1970298267894843,0.465565332532384,0.18380968725315083,0.20443866434144636,0.18303136058775024,83.28877580895748,0.023798435759342873,0.4481905500010763,4.596903485107706,4.504252963249222,28.146495811936823,14.498861456058673,1.0487631776416584,8.304719752145031,2.097727311013248,7.436225976352029,135.92809853268633,26.68910316146829,129.55491263041466,2431.804260155849,476.4447728082142,0.3545362509398435,1.1562549940955624,0.745963635452903,5.699579798938078,0.2964192124250833,-1,253,,2.2117483074058213,0.5166303612339216,2.9052357057295364,204,0.5650969529085873,6.866666666666666,5.533333333333333,-0.09409591075328302,0.07702087598057986,25,253,0.04584265952926332,0.09609025506145205,0.09803114730019175,0,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",36,70,4,left_hip_pitch_link | left_wrist_pitch_link; left_hip_roll_link | left_wrist_pitch_link; left_hip_roll_link | left_wrist_yaw_link; right_hip_pitch_link | right_wrist_pitch_link; right_hip_pitch_link | right_wrist_yaw_link; right_hip_roll_link | right_wrist_pitch_link; right_hip_roll_link | right_wrist_yaw_link,39,65,0.019899335692128095,2,5.551115123125783e-17,5.551115123125783e-17,left_ankle_roll_joint
113_21,direct_mapping,/mnt/d/GMR_WORK/use mode/113_21_poses.npz,120.0,1367,11.383333333333333,/mnt/d/GMR_WORK/GMR/outputs/final results/pkl direct/113_21_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,30.0,30.0,342,340,11.366666666666667,11.3,False,long_ground_penetration;joint_limit_violation,1.960136829547169,2.2629875580926724,0.2140769393623605,0.15789900808296875,0.2101701815632824,0.01446887404257766,12.451215455170239,3.696163960514848,0.16306605708153743,0.02952915574366213,0.9735294117647059,0.0,0.20294117647058824,0.09165527364716358,1.4837051785335729,28.460440874037083,2.5295836633693938,15.177770733589279,0,0.0,0.06666666666666643,0.7677532716501471,1.9823922684947082,0.1767034377072979,2.2083689413418055,0.2015548354072898,0.08465055904609373,0.4203527504893477,0.3945340126870644,0.13317737535582136,0.08321658663513248,0.4250884686903274,0.33740131460864525,0.2155054018266354,0.1126630001782281,0.4250884686903274,0.3993572489380299,0.14249120248288885,0.28931161874912686,0.13740693827917178,0.2898707154390041,0.32016734494828114,0.40045796197108985,0.3332950870061606,0.4250884686903274,0.11749033509990968,0.1825829006085309,0.01446887404257766,0.12321559239342848,0.014468874042568355,3.4566645704875207,0.014773546015345487,0.18482683426382157,10.081135837489157,8.314487631437686,38.11707494173329,31.672023738087834,0.14754977323284318,1.4936022753525717,0.2977851325297426,0.8816615099223976,32.64849233243792,2.9398115908302205,16.945640060604056,333.9312300073765,57.03790213975392,0.04732263967120652,0.1558544279520875,0.08441918381223455,0.8317188983040379,0.05132653606719289,-1,155,,1.8108398561605155,1.8853241043543327,0.5962823309325944,331,0.9735294117647059,11.333333333333334,11.333333333333334,,,0,331,0.01775306621302601,0.02952915574366213,0.013632240107296998,183,"geom_15,geom_16,geom_17,geom_18,geom_30,geom_31,geom_32,geom_33",0,0,0,,-1,0,0.0,69,0.01968292690397937,0.045504522859167576,left_knee_joint
