method,metric,label,unit,direction,valid_motion_count,mean,median,standard_deviation,minimum,maximum,p95,confidence_interval_95_lower,confidence_interval_95_upper,total_motion_count,successful_motion_count,failed_motion_count,success_rate
direct_mapping,global_body_position_error_mean,Global MPBPE,m,lower,9,1.3570358684878925,1.466364524772201,0.5456260008889248,0.368466257441651,1.9610694705054508,1.9606964141221381,0.9376305970463017,1.7764411399294833,9,0,9,0.0
direct_mapping,root_relative_position_error_mean,Root-relative MPBPE,m,lower,9,0.9103765225814704,0.4154309633066986,0.8834654438088553,0.15913081879888785,2.7359681884804865,2.39983303747947,0.23128486700373585,1.5894681781592048,9,0,9,0.0
direct_mapping,scale_normalised_position_error_mean,Scale-normalised position error,m,lower,9,0.7483332933000304,0.28880977003552183,0.7930270041069505,0.15260265705721543,2.369889722206703,2.0949667466850164,0.1387587763669641,1.3579078102330966,9,0,9,0.0
direct_mapping,end_effector_error_mean,End-effector error,m,lower,9,0.7943529991791144,0.3623018272047508,0.768673950109312,0.2101701815632824,2.389292022301086,2.1099328685547403,0.20349789665384965,1.3852081017043791,9,0,9,0.0
direct_mapping,body_orientation_error_mean,Body orientation error,deg,lower,9,13.163798640239639,12.634051216495143,5.264780101036876,6.392487658183432,23.36684536659474,21.046839645709372,9.116930412262425,17.210666868216855,9,0,9,0.0
direct_mapping,root_trajectory_error_mean,Root trajectory error,m,lower,9,0.21719495383969106,0.27084700470123413,0.13296120520489813,0.01446887404257766,0.3752375116666271,0.36012028805072344,0.11499192416494948,0.31939798351443266,9,0,9,0.0
direct_mapping,total_foot_sliding_distance,Foot sliding,m,lower,9,3.5563747819579947,2.4417303550526714,2.584928526818129,0.32336082282107864,7.707468559700104,7.172883498594134,1.5694228246080555,5.543326739307934,9,0,9,0.0
direct_mapping,maximum_ground_penetration,Ground penetration,m,lower,9,0.05504674499662692,0.04848629389390993,0.03149887905645833,0.02490477875862544,0.12142428314908803,0.10796881121707422,0.030834563210463985,0.07925892678278985,9,0,9,0.0
direct_mapping,self_collision_frame_ratio,Self-collision ratio,ratio,lower,9,0.19467728788086597,0.08536585365853659,0.23499383358957862,0.0,0.6811594202898551,0.5979573971403559,0.014045037212516681,0.3753095385492152,9,0,9,0.0
direct_mapping,joint_limit_violation_ratio,Joint-limit violation ratio,ratio,lower,9,0.4470834323080126,0.3932926829268293,0.27204144339547515,0.12742382271468145,0.8144927536231884,0.7961689617824539,0.23797386783572072,0.6561929967803045,9,0,9,0.0
direct_mapping,rms_joint_jerk,RMS joint jerk,rad/s^3,lower,9,236.2134032032954,202.42846158723162,142.1164432903877,28.460440874037083,420.54377093573333,418.29984671473443,126.97303456724794,345.45377183934283,9,0,9,0.0
direct_mapping,discontinuity_frame_ratio,Discontinuity ratio,ratio,lower,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,0.0
direct_mapping,global_body_position_error_median,Global Body Position Error Median,,lower,9,1.3698955600597822,1.4875103490558312,0.551545692541142,0.3676526359627551,1.9823922684947082,1.980181644850111,0.9459400108084759,1.7938511093110885,9,0,9,0.0
direct_mapping,global_body_position_error_std,Global Body Position Error Std,,lower,9,0.23279065924724543,0.24118468405161297,0.05483518403977627,0.14667572302123122,0.3044661630399478,0.2936325808492999,0.1906406055304436,0.27494071296404726,9,0,9,0.0
direct_mapping,global_body_position_error_max,Global Body Position Error Max,,lower,9,1.962443790728294,2.0409877356595683,0.610917654324019,0.8132732667844464,2.8639167106008867,2.724609567310877,1.4928509116814883,2.4320366697750995,9,0,9,0.0
direct_mapping,global_body_position_error_p95,Global Body Position Error P95,,lower,9,1.7259860014127035,1.887374527212106,0.5906472456699278,0.6204190777238245,2.434898873770379,2.3690381129605234,1.2719743377587687,2.1799976650666384,9,0,9,0.0
direct_mapping,root_relative_position_error_median,Root Relative Position Error Median,,lower,9,0.8855435877536867,0.3944563075136277,0.8267512727922225,0.15104914228485095,2.5201636981547804,2.22098561254638,0.2500463031389626,1.5210408723684108,9,0,9,0.0
direct_mapping,root_relative_position_error_std,Root Relative Position Error Std,,lower,9,0.5249959903319851,0.22918560030695548,0.6404523445194689,0.08246589644795876,2.0901252601062796,1.5770603665395457,0.032700738710952304,1.0172912419530178,9,0,9,0.0
