time_s,frame_index,root_position_error_cm,root_height_error_cm,root_yaw_error_deg,root_relative_mpjpe_cm,end_effector_error_cm,left_hand_error_cm,right_hand_error_cm,left_foot_error_cm,right_foot_error_cm,left_foot_contact,right_foot_contact,left_foot_sliding_speed_cm_s,right_foot_sliding_speed_cm_s,penetration_depth_cm,self_collision_pair_count,mean_absolute_joint_jerk_rad_s3,max_joint_jerk_rad_s3,pelvis_root_error_cm,torso_error_cm,head_error_cm,left_shoulder_error_cm,right_shoulder_error_cm,left_elbow_error_cm,right_elbow_error_cm,left_hip_error_cm,right_hip_error_cm,left_knee_error_cm,right_knee_error_cm,global_end_effector_error_cm,joint_limit_violation_count,maximum_joint_limit_excess_deg_per_frame,mean_foot_sliding_speed_cm_s,left_foot_penetration_depth_cm,right_foot_penetration_depth_cm,self_collision_penetration_depth_cm,mean_joint_acceleration_rad_s2_per_frame
0.0,0,0.0,9.684982858288848,1.1928706917119428e-15,17.945015188231668,30.92203471539541,24.04281717237365,47.859280827903476,19.733157940889466,32.05288292041503,True,False,0.0,0.0,0.0,0,51.95480567644387,214.50790356250423,0.0,20.334857307456332,6.939326220720836,17.334918233840437,17.794116382380135,8.766156069809607,27.221466629215463,7.711355872457551,8.258994572627962,18.679834052896126,12.44606362048894,33.17594869258867,0,0.0,0.0,0.0,0.0,0.0,8.299708114877422
0.03333333333333333,1,6.127738999847712,9.82119738680829,4.7647924855964036e-05,18.965952871220182,33.36784130505298,29.718371445503887,50.85569150313485,21.646253454410207,31.251048817162964,True,False,229.83302979768942,0.0,0.0,1,51.95480567644387,214.50790356250423,0.0,20.305603300204616,7.378157441846678,18.9634994784291,17.766093820211047,10.692338377226507,28.30826861019974,7.5045781841358,8.470188131947676,18.39815385544095,13.231046648448702,39.038364753181135,0,0.0,114.91651489884471,0.0,0.0,0.28185962966353634,6.852005810393486
0.06666666666666667,2,12.001819338333409,9.850886689166083,0.00043392950166819033,19.719861986517202,34.91042409005658,34.81639874147869,52.675583012918146,22.359923144994053,29.789791460835417,False,False,0.0,0.0,0.0,2,51.95480567644387,214.50790356250423,0.0,20.31681476703385,7.888503953023014,20.457045003431652,17.993410284710556,12.638327970722557,29.01941275195571,7.304304471638099,8.699369794854066,18.06172583148717,13.777318608675035,44.65307384416145,2,1.4100221300488989,0.0,0.0,0.0,1.7281222049149898,5.437647007170264
0.1,3,18.013778785590585,9.77656343797111,0.009216714772885081,20.55252724730159,36.469882908429334,39.3202065021498,54.04328893316694,23.553120766021117,28.962915432379475,False,True,0.0,0.0,0.0,3,51.95480567644387,214.50790356250423,0.0,20.35746581879963,7.976379904691658,21.15300403388804,18.642008363851144,14.303805887669993,30.029256187538095,7.3572628289806925,8.669058084862288,18.94314180685908,14.976994158665951,50.68166362761891,2,3.299939633633139,0.0,0.0,0.0,3.039798002034926,4.069379642930361
0.13333333333333333,4,24.275762240814178,9.630309846376662,0.014698601563865103,21.28613602376819,37.75654166947036,43.32178253697297,54.64868356220198,23.60913473287765,29.446565845828836,True,True,0.0,263.0921939558679,0.0,3,51.95480567644375,214.50790356250388,0.0,20.3649488378021,8.134616165532993,21.942350006915294,19.231799771314552,16.032934854581917,30.85616795687497,7.352780852228552,8.688651777834693,19.86769329795385,15.793930157602453,57.276693101618505,2,6.003424985303109,131.54609697793396,0.0,0.0,3.7879192318802803,3.3370257866845465
0.16666666666666666,5,30.68575421009333,9.403585618079068,0.015229010361119311,21.860705286250877,38.527953166111686,46.139509934272525,54.987024129249626,22.89661400599898,30.088664594925586,False,False,0.0,0.0,0.0,4,65.8691311313977,203.65156834042983,0.0,20.416015027583427,8.135501929252218,22.364680595167062,19.92049879891687,17.379762476479343,31.741890112826272,7.434047517664469,8.627490382232425,21.143029835720707,16.635849953473702,63.25146191053097,2,8.844527528464358,0.0,0.0,0.0,4.153358039771517,3.6620149368825294
0.2,6,37.34816250448698,9.151592809894293,0.000505343946438956,22.48574129334169,39.70106869954006,47.69303542025145,55.221150394777105,22.462040064355822,33.428048918775865,False,False,0.0,0.0,0.0,5,68.8112114438915,236.09933550952417,0.0,20.431566914356498,8.144772185410309,22.529178479244898,20.725078389090505,18.13990769004049,32.309747122432306,7.554813491966687,8.486673157694796,22.268666577003856,17.891440594724756,69.95124803507231,2,12.001674491457093,0.0,0.0,0.0,4.6621703213435906,3.8002521270131466
0.23333333333333334,7,44.24130397439514,8.923384930394052,0.0019663521157645392,22.782464484881423,40.0051144408994,49.37493844186206,55.184964494980726,20.844224485605732,34.61633034114909,True,False,0.0,0.0,0.0,5,74.42727834842661,238.14640292984626,0.0,20.429894152629263,8.273037304978219,22.926016938547455,21.050694075505554,19.098157887348975,32.56876717660768,7.5411863035094715,8.501786493789874,23.124572035099487,18.20239714160775,75.94840177696338,2,14.319560860475123,0.0,0.0,0.0,4.920084983142482,5.069222543417644
0.26666666666666666,8,51.34221197698017,8.751248834276826,0.005362208389163282,22.732050232839597,39.42533142758342,50.544615659667954,55.33223940058907,17.794259328974437,34.030211321102215,False,True,0.0,0.0,0.17335965824555624,5,80.49317820470573,228.39944416350056,0.0,20.437684923282642,8.15359222203851,23.005976792671568,21.28208703321128,19.63436604236043,32.70712562143785,7.522245100331398,8.535473756349973,23.80671781093648,18.19415847964021,81.53246088574261,2,17.219176712400806,0.0,0.0,0.17335965824555624,5.120331962608093,5.75808786888258
0.3,9,58.91456851846198,8.650208234073576,0.018257575290272877,22.381243591988824,38.19715218437942,51.497359263514284,55.86456839833491,14.230088632961232,31.196592442707242,False,False,0.0,0.0,0.0,5,96.2394509281332,423.6966129667018,0.0,20.493659546687553,7.725387728927734,22.854740577169665,21.39249682234758,19.9616201739508,32.70784303333993,7.507756508477008,8.615628517431242,24.00288489235497,17.66802734162814,87.04370977834456,2,18.850624223494695,0.0,0.0,0.0,5.0879233572091085,6.200775048769081
0.3333333333333333,10,66.39419786250522,8.664213389822761,0.06731957876781795,21.680290394984887,36.229755081475744,51.98094162436217,56.650423725306375,7.819230472607733,28.468424503626714,False,False,0.0,0.0,0.0,5,110.5612710604164,366.2643330810431,0.0,20.49915336337091,7.675571587473801,22.78418720395247,21.047843942457035,19.984094031100806,32.359365109514954,7.415869685330419,8.800870692357341,23.281858104656823,16.43652187865579,91.57518231545134,2,19.491154857473248,0.0,0.0,0.0,4.8800004685413745,6.950690482074822
0.36666666666666664,11,73.61625317064232,8.781947391527966,0.19246081130206638,21.381617672979775,35.820489706092694,52.28451028537404,57.101672217450414,5.954472075310082,27.941304246236243,False,False,0.0,0.0,0.0,5,96.76284221492809,277.9978166178901,0.0,20.416255474309605,9.071571667110248,23.6810750059193,19.788436298388103,20.04960663375459,31.31377578082894,7.153211696670117,9.157530371216449,21.727531798523213,15.083311543605218,96.04685269040381,2,17.153162257679448,0.0,0.0,0.0,4.375127852895078,7.750234085732878
0.4,12,80.99776619504193,8.948930241461673,0.1747123375505049,21.607947114891576,37.4610916439818,50.39141413140745,57.67901833900232,13.386264346809767,28.387669758707673,False,False,0.0,0.0,1.368681059343484,3,73.59321546025953,293.9003401284473,0.0,20.343060967761957,9.361162139128421,23.65708381542852,19.316175430150974,18.94975446351135,30.79785551105211,7.0943401277677385,9.166889647552964,20.73668261836302,14.851835426729403,101.62493146528588,2,14.173708783282503,0.0,1.368681059343484,0.0,3.9772101813208693,7.982362335148844
0.43333333333333335,13,87.80991788285444,9.185521447898537,0.13153054387743798,21.010435183948424,36.80137483585704,46.69523233973979,57.293271242796116,16.597328536775766,26.619667224116476,True,False,0.0,0.0,1.8155114254757794,3,101.15462035625534,273.45904338561303,0.0,20.298108335974327,9.07596393649379,22.475726113487315,19.200650693545917,16.77746631617737,30.38906678756407,7.111687658943514,9.092988142513986,19.56352925285009,13.965841178247862,107.11607237949448,2,9.951346405363847,0.0,1.8155114254757794,0.0,3.6682024255604158,6.400931302484533
0.4666666666666667,14,94.37445192965329,9.458116776192881,0.09031011731835703,20.018199584841756,34.760836287856186,41.64444490984738,55.64478900301746,18.299391984709324,23.454719253850616,False,False,0.0,0.0,1.4649924165219597,3,119.47156184906336,398.45619923706835,0.0,20.295436294773747,8.81238553542033,20.77836963780606,19.242806185064545,14.22497851742716,29.485830621550218,7.211099583708609,8.957406944177933,19.203258880649273,13.01807642062371,111.90238472831832,2,4.467847673861831,0.0,1.4649924165219597,0.0,3.1652846250369215,4.272772778172667
0.5,15,100.97646557516529,9.743090592499337,0.04085314772668308,18.843254827115167,31.779354194598223,35.79952158659822,53.390346263508135,17.631657613007608,20.295891315278944,False,True,0.0,0.0,0.08568998505125879,1,92.85143180174612,392.5174806881611,0.0,20.33825684249404,8.065915614503423,19.00267484457114,19.276864997509303,12.16918203198936,28.49417911936435,7.3590892552868175,8.755470968499344,19.82780071166139,12.241971242455435,116.84882430927352,2,0.9556378990038022,0.0,0.08568998505125879,0.0,1.7456850429024666,3.6052814217009703
0.5333333333333333,16,107.62128523547456,10.015709175514731,0.0006634194333609361,17.614378343980455,28.407406837838188,30.521068835885124,50.46929820991952,13.28166705157253,19.35759325397559,False,False,0.0,0.0,0.0,0,61.97421730556072,329.990491207879,0.0,20.32436938388539,6.853096132608165,17.726211435249493,19.151248381327605,10.868897848869482,26.823277867431006,7.529804823071642,8.465707645710348,20.698840882500242,12.144593407700622,123.95526094992016,0,0.0,0.0,0.0,0.0,0.0,4.007804543931383
