Configuration,Short configuration,Mean,Temporal SD,N
Full,Full,,,0
No global root,No root,0.0025883329403586686,0.001420849957506227,100
No body pose,No body,0.0017363464209483937,0.0007344561395193099,100
No velocity,No velocity,0.0029772870417218654,0.0015716676474731234,100
No action rate,No action,0.0019054695952218025,0.002505724767693478,100
No joint limit,No joint,0.0028815605526324364,0.000960514408716139,100
No self collision,No collision,0.11317683421075345,0.011915714409798215,100
