Configuration,Short configuration,Mean,Temporal SD,N
Full,Full,,,0
No global root,No root,0.005045407121069729,0.0004739059929249428,100
No body pose,No body,0.0036858874466270206,0.00033628782368979785,100
No velocity,No velocity,0.004259276408702135,0.0002898108667614109,100
No action rate,No action,0.00518954151077196,0.0006466678191927666,100
No joint limit,No joint,0.2341832421720028,0.00417763679928645,100
No self collision,No collision,0.006979320296086371,0.0005057223833947975,100
