Configuration,Short configuration,Mean,Temporal SD,N
Full,Full,,,0
No global root,No root,8.337305002212524,0.08141463450216928,100
No body pose,No body,6.678506784439087,0.10121778380320935,100
No velocity,No velocity,7.99992124080658,0.035812466733967915,100
No action rate,No action,335.27831878662107,4.619078519669055,100
No joint limit,No joint,10.728398885726929,0.0462034801136924,100
No self collision,No collision,9.866602716445923,0.05612359953250623,100
