Configuration,Short configuration,W&B final-window mean,W&B temporal SD,W&B N,Checkpoint mean,Checkpoint across-action SD,Checkpoint minimum,Checkpoint maximum
Full,Full,0.40265885680913927,0.0010212232316857736,100,0.4011688705148368,0.06398755276238502,0.30341100692749023,0.5390875935554504
No global root,No root,0.3662834650278091,0.0017034812671629957,100,0.36758120614906836,0.062208604914469216,0.2830168902873993,0.5180349946022034
No body pose,No body,0.3374056312441826,0.0022583532707993663,100,0.3410275331858931,0.0524830682240612,0.2702281177043915,0.46645814180374146
No velocity,No velocity,0.36909303545951844,0.00040977463474290305,100,0.3688764325503645,0.04654636144756754,0.3092931807041168,0.46361038088798523
No action rate,No action,1.5380267524719238,0.009375856193307615,100,1.5542466578812435,0.6722094261668898,0.7139081358909607,2.8599865436553955
No joint limit,No joint,0.42332764238119125,0.0008508650979840812,100,0.4222550957367338,0.06850174167208549,0.2938462495803833,0.5732389688491821
No self collision,No collision,0.3963077077269554,0.001707755748464258,100,0.39304882287979126,0.06959142467685966,0.2897343039512634,0.5535720586776733
