Configuration,Time-out total (final window),Anchor-pos total (final window),Anchor-ori total (final window),EE-body-pos total (final window)
Full,313.29167437553406,191.33333885669708,0.0,1414.5833654403687
No global root,200.7500056028366,215.08334052562714,0.0416666679084301,1865.2500495910645
No body pose,87.54166904091835,663.0000166893005,0.0,2401.1250648498535
No velocity,247.50000715255737,297.50000834465027,0.0,1638.583384513855
No action rate,766.166684627533,23.9583340883255,0.0,88.83333626389503
No joint limit,265.29167580604553,382.0833468437195,0.0833333358168602,1483.1250371932983
No self collision,410.500013589859,200.58333909511566,0.0833333358168602,995.2917022705078
