motion,method,root_position_error_cm,relative_mpjpe_cm,end_effector_error_cm,zero_tol_joint_limit_frame_ratio_percent,current_contact_sliding_cm_s,current_penetration_frame_ratio_percent,mujoco_self_collision_frame_ratio_percent,mean_joint_jerk_rad_s3
05_04,Direct Mapping,90.71590587589913,27.43767847975449,47.21598786299502,71.47651006711409,15.992621384360309,55.369127516778526,48.65771812080537,95.45707685214836
05_04,Basic IK,85.24275720022041,26.05935383353976,45.0088615039345,100.0,33.09174132775723,85.57046979865773,34.56375838926174,505.973081890077
05_04,GMR,88.13329407355982,26.46894912290212,45.03025271971529,0.6711409395973155,18.27868191811669,98.99328859060402,2.348993288590604,121.43205449259936
111_23,Direct Mapping,70.03672397029264,20.38807927671063,35.1645273228294,76.86832740213522,65.596441714487,41.99288256227758,22.419928825622776,109.42659868870912
111_23,Basic IK,165.68397612772492,17.79982275970114,26.500879986280815,100.0,41.257019104846194,69.7508896797153,82.56227758007117,145.59530275766508
111_23,GMR,176.42482854283617,18.634270998618245,28.899752033163335,0.0,54.56394033868793,97.86476868327402,9.252669039145909,115.87973791641292
113_20,Direct Mapping,147.59369384546983,19.18883251634854,31.936754400488315,12.742382271468143,53.09171589112649,9.695290858725762,0.554016620498615,73.76815051322745
113_20,Basic IK,62.38834188359489,15.858374722835787,22.498498219126585,100.0,16.878929224942652,28.254847645429365,93.90581717451524,121.8431134792617
113_20,GMR,176.27380103970432,17.360359457826643,26.21501380808197,0.554016620498615,22.73648890533119,70.08310249307479,19.113573407202217,85.46343394128255
113_21,Direct Mapping,0.9809081333406416,17.198730161808754,27.15721022138186,20.294117647058822,32.70941557977742,97.35294117647058,32.05882352941177,9.983738205144528
113_21,Basic IK,6.270653167734723,14.663575820690143,18.182636582824397,100.0,7.636954953541859,100.0,100.0,55.87464817826315
113_21,GMR,8.302682101784988,15.99388812485245,22.26520919398124,0.0,2.70106633598971,100.0,9.705882352941178,9.89754131392923
114_15,Direct Mapping,137.3872637306738,20.29210361352058,34.576636865569355,81.44927536231884,67.21629557877996,15.65217391304348,68.40579710144927,61.2725622969885
114_15,Basic IK,170.8322003872597,18.2657564073408,26.503924555104184,100.0,52.078206311476805,99.42028985507248,49.275362318840585,272.6345725776649
114_15,GMR,126.49823525912308,18.975262143868623,27.837654052530645,0.0,52.558842260159125,100.0,0.0,68.97747332412413
124_11,Direct Mapping,223.38354691643497,20.679463073056255,31.76899849321104,25.0,3.927459386490834,48.79032258064516,6.854838709677419,106.78893725118374
124_11,Basic IK,214.31685742196427,18.738509135665844,25.54276516421637,100.0,13.018263120429063,84.67741935483872,70.96774193548387,199.9946502345988
124_11,GMR,225.75248804296825,20.04288720741268,28.40348460113929,0.0,3.904387478714615,83.87096774193549,8.870967741935484,110.23845800296648
135_04,Direct Mapping,171.64531791006505,25.2264297076061,45.03528095946152,39.329268292682926,22.40119591791442,35.670731707317074,11.890243902439025,79.65867228721834
135_04,Basic IK,185.40598484708207,24.53949260904373,40.34236497673748,100.0,17.662750772765648,95.73170731707316,20.73170731707317,334.74085861872163
135_04,GMR,227.0755055627509,25.417131978191787,42.48273558814754,0.3048780487804878,12.411957013145186,85.67073170731707,0.0,90.45458417025084
47_01,Direct Mapping,129.6626152019145,19.366018646868717,33.193482862615284,56.09756097560976,12.68902728217604,12.804878048780488,57.3170731707317,63.02048125883926
47_01,Basic IK,136.45960624450376,17.403173838473588,25.63384553508498,100.0,38.33232681934838,94.5121951219512,93.90243902439023,169.59796271992974
47_01,GMR,123.05706631900276,18.880149339815738,29.682881258885224,0.0,51.49895782981595,99.6951219512195,0.6097560975609756,61.5448156845982
76_10,Direct Mapping,0.8101143092620312,17.66332043740873,29.78697496530134,19.11764705882353,21.05252550239314,65.88235294117646,17.058823529411764,13.925331251125922
76_10,Basic IK,8.27536735047295,16.834475276307014,23.431670765622275,100.0,5.828344056384828,100.0,85.88235294117646,118.1470084253042
76_10,GMR,8.194679276133686,17.675906356905855,26.33533064376841,0.0,11.74328641764856,100.0,5.88235294117647,20.862236313099555
