method,root_position_error_cm,relative_mpjpe_cm,end_effector_error_cm,zero_tol_joint_limit_frame_ratio_percent,current_contact_sliding_cm_s,current_penetration_frame_ratio_percent,mujoco_self_collision_frame_ratio_percent,mean_joint_jerk_rad_s3,motion_count,joint_limit_frame_ratio_gt_0p1deg_percent,joint_limit_frame_ratio_gt_5deg_percent,maximum_joint_limit_excess_deg_audit,ground_penetration_frame_ratio_gt_5mm_percent,maximum_ground_penetration_cm,valid_contact_sample_ratio_percent,deep_penetration_counted_as_contact_percent,valid_contact_sliding_cm_s
Direct Mapping,108.02400998815028,20.82673954589809,35.09287266153924,44.70834323080126,32.74185535972285,42.57896681169057,29.468584834449743,68.14461651162058,9,44.44101876729199,31.585945767075216,26.402786814693386,42.48073751237489,5.504674499662694,37.26103585989393,22.00469086215589,19.320518010065157
Basic IK,114.98619384783973,18.906948267066426,28.182827476547956,100.0,25.087170632388073,84.21309097474867,70.1990507423125,213.82235543127626,9,100.0,99.93502274204027,725.4943516504258,84.25145967030645,6.048357162464571,14.034730356528748,58.01656639852209,8.517008935371086
GMR,128.85695335754042,19.938756081154903,30.794701544379215,0.17000395654182424,25.599734277512106,92.90866457415832,6.198243874283649,76.08337057325147,9,0.0,0.0,1.766974823035287e-15,92.8563444471467,6.970761054969898,11.02904986408028,63.25569729896941,3.1553357956515438
